NumberOfAncestors;NumberPublicMethods;NumberOfInheritedMethods;NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfPolymorphicMethods;Cohesion;NumberOfAttributes;Bugged;NumberOfPrivateAttributes;NumberOfPublicAttributes;NumberOfCoupledClasses;NumberOfProtectedAttributes
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;88.0;86.0;0.025172612197928653;17.0;True;1.0;0.0;0.0;16.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;3.0;False;3.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;2.0;2.0;0.5;1.0;False;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;8.0;7.0;0.5;2.0;True;0.0;0.0;0.0;2.0
0.0;12.0;0.0;0.0;1.0;13.0;0.0;0.13846153846153847;5.0;True;5.0;0.0;1.0;0.0
0.0;12.0;0.0;0.0;1.0;13.0;0.0;0.13846153846153847;5.0;True;5.0;0.0;1.0;0.0
0.0;17.0;0.0;1.0;0.0;20.0;20.0;0.13;4.0;True;0.0;0.0;0.0;4.0
0.0;17.0;0.0;1.0;0.0;20.0;20.0;0.13;4.0;True;0.0;0.0;0.0;4.0
0.0;17.0;0.0;1.0;0.0;20.0;20.0;0.13;4.0;True;0.0;0.0;0.0;4.0
0.0;17.0;0.0;1.0;0.0;20.0;20.0;0.13;4.0;True;0.0;0.0;0.0;4.0
0.0;2.0;0.0;0.0;0.0;2.0;2.0;0.5;1.0;False;0.0;0.0;0.0;1.0
0.0;2.0;0.0;0.0;0.0;12.0;4.0;0.15833333333333333;2.0;True;2.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;12.0;4.0;0.15833333333333333;2.0;True;2.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;5.0;0.0;0.0;0.0;9.0;0.0;0.2;3.0;False;3.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;7.0;5.0;0.19047619047619047;2.0;False;2.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;7.0;5.0;0.19047619047619047;2.0;False;2.0;0.0;0.0;0.0
0.0;2.0;0.0;0.0;0.0;7.0;5.0;0.19047619047619047;2.0;False;2.0;0.0;0.0;0.0
0.0;9.0;0.0;0.0;0.0;9.0;0.0;0.2222222222222222;5.0;False;5.0;0.0;0.0;0.0
0.0;14.0;0.0;3.0;0.0;14.0;5.0;0.16071428571428573;3.0;False;0.0;1.0;0.0;2.0
