;Bugged;MHF;MIF;Aa;AIF;AHF
count;2471;2471.0;2471.0;2471.0;2471.0;2471.0
unique;2;;;;;
top;False;;;;;
freq;2437;;;;;
mean;;0.5359410082084177;0.0;3.4111695669769326;0.0;0.1261925374989883
std;;0.4175191898041128;0.0;4.907494546163869;0.0;0.2890347724350317
min;;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0
50%;;0.666666667;0.0;2.0;0.0;0.0
75%;;1.0;0.0;5.0;0.0;0.0
max;;1.0;0.0;46.0;0.0;1.0
