Bugged;MHF;MIF;Aa;AIF;AHF
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.6;0.0;6.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.75;0.0;3.0;0.0;0.0
False;0.75;0.0;3.0;0.0;0.0
False;0.5;0.0;5.0;0.0;0.0
False;0.5;0.0;5.0;0.0;0.0
False;0.5;0.0;5.0;0.0;0.0
False;0.4;0.0;3.0;0.0;0.0
False;0.833333333;0.0;1.0;0.0;0.0
False;1.0;0.0;9.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.583333333;0.0;17.0;0.0;0.05882352900000001
False;1.0;0.0;7.0;0.0;0.0
False;0.454545455;0.0;1.0;0.0;0.0
False;1.0;0.0;2.0;0.0;0.0
False;1.0;0.0;0.0;0.0;0.0
False;1.0;0.0;3.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.5;0.0;5.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.6764705879999999;0.0;10.0;0.0;0.4
False;0.6764705879999999;0.0;10.0;0.0;0.4
False;0.965116279;0.0;15.0;0.0;0.133333333
False;0.0;0.0;0.0;0.0;0.0
False;0.571428571;0.0;2.0;0.0;1.0
False;1.0;0.0;10.0;0.0;0.5
False;0.911764706;0.0;18.0;0.0;0.0
False;0.911764706;0.0;18.0;0.0;0.0
False;0.911764706;0.0;18.0;0.0;0.0
False;0.911764706;0.0;18.0;0.0;0.0
False;1.0;0.0;3.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.916666667;0.0;4.0;0.0;0.75
False;0.92;0.0;19.0;0.0;0.947368421
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
False;1.0;0.0;9.0;0.0;0.0
False;0.5;0.0;5.0;0.0;0.0
False;0.75;0.0;1.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0
