NPM;WMC_CK_std;WMC_CK_count;WMC_CK_75%;DIT;WMC_CK_min;NORM;Bugged;NMI;WMC_CK_max;NOCh;WMC_CK_25%;WMC;WMC_CK_mean;WMC_CK_50%
1.0;4.242640687119285;2.0;5.5;1.0;1.0;0.0;False;0.0;7.0;0.0;2.5;10.0;4.0;4.0
4.0;2.5819888974716108;4.0;5.5;1.0;1.0;0.0;False;0.0;7.0;0.0;2.5;29.0;4.0;4.0
11.0;0.7071067811865476;9.0;1.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;17.0;1.3333333333333333;1.0
13.0;0.0;14.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;16.0;1.0;1.0
2.0;3.2041639575194436;10.0;4.5;1.0;1.0;0.0;True;0.0;11.0;0.0;2.0;52.0;3.6;2.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
0.0;2.1213203435596424;2.0;3.25;1.0;1.0;0.0;False;0.0;4.0;0.0;1.75;6.0;2.5;2.5
0.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
2.0;2.6457513110645907;3.0;5.5;1.0;1.0;0.0;True;0.0;6.0;0.0;3.0;15.0;4.0;5.0
0.0;1.0;3.0;2.5;1.0;1.0;0.0;False;0.0;3.0;0.0;1.5;7.0;2.0;2.0
2.0;0.7071067811865476;2.0;4.75;1.0;4.0;0.0;False;0.0;5.0;0.0;4.25;9.0;4.5;4.5
0.0;3.5355339059327378;2.0;4.75;1.0;1.0;0.0;False;0.0;6.0;0.0;2.25;8.0;3.5;3.5
0.0;0.0;1.0;2.0;1.0;2.0;0.0;False;0.0;2.0;0.0;2.0;3.0;2.0;2.0
4.0;1.3451854182690983;7.0;3.5;1.0;1.0;0.0;False;0.0;5.0;0.0;2.0;20.0;2.8571428571428568;3.0
0.0;1.5275252316519463;3.0;3.0;1.0;1.0;0.0;False;0.0;4.0;0.0;1.5;8.0;2.333333333333333;2.0
2.0;1.1547005383792517;3.0;5.0;1.0;3.0;0.0;False;0.0;5.0;0.0;4.0;11.0;4.333333333333333;5.0
12.0;0.9003366373785201;12.0;2.0;1.0;1.0;0.0;False;0.0;4.0;0.0;1.0;17.0;1.5833333333333333;1.0
4.0;1.914854215512676;4.0;7.5;1.0;5.0;0.0;False;0.0;9.0;0.0;5.0;23.0;6.5;6.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.8944271909999159;5.0;1.0;0.0;1.0;0.0;False;0.0;3.0;0.0;1.0;0.0;1.4;1.0
0.0;0.0;6.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.1547005383792517;3.0;2.0;0.0;1.0;0.0;True;0.0;3.0;0.0;1.0;0.0;1.6666666666666667;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.7320508075688772;3.0;2.5;0.0;1.0;0.0;False;0.0;4.0;0.0;1.0;0.0;2.0;1.0
0.0;1.0;4.0;1.5;0.0;1.0;0.0;False;0.0;3.0;0.0;1.0;0.0;1.5;1.0
0.0;0.0;4.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.5936168397046637;15.0;1.0;0.0;1.0;0.0;True;0.0;3.0;0.0;1.0;0.0;1.2666666666666666;1.0
0.0;0.0;2.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.8164965809277259;4.0;2.25;0.0;1.0;0.0;False;0.0;3.0;0.0;1.75;0.0;2.0;2.0
0.0;0.6324555320336759;10.0;1.0;0.0;1.0;0.0;False;0.0;3.0;0.0;1.0;0.0;1.2;1.0
0.0;0.0;15.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;4.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.0690449676496976;14.0;1.0;0.0;1.0;0.0;False;0.0;5.0;0.0;1.0;0.0;1.2857142857142858;1.0
0.0;0.8164965809277259;6.0;2.0;0.0;1.0;0.0;False;0.0;3.0;0.0;1.0;0.0;1.6666666666666667;1.5
0.0;5.704862359904448;12.0;2.0;0.0;1.0;0.0;True;0.0;21.0;0.0;1.0;0.0;3.0;1.0
0.0;0.0;2.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;6.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.0606601717798212;8.0;1.0;0.0;1.0;0.0;False;0.0;4.0;0.0;1.0;0.0;1.375;1.0
0.0;0.0;6.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.40824829046386296;6.0;1.0;0.0;1.0;0.0;False;0.0;2.0;0.0;1.0;0.0;1.1666666666666667;1.0
0.0;0.0;10.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;6.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.4472135954999579;5.0;1.0;0.0;1.0;0.0;False;0.0;2.0;0.0;1.0;0.0;1.2;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;7.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;8.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;8.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;4.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;16.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;2.780887148615228;10.0;3.75;0.0;1.0;0.0;False;0.0;9.0;0.0;1.0;0.0;2.8;1.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;8.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.3280197150781925;11.0;2.5;0.0;1.0;0.0;False;0.0;5.0;0.0;1.0;0.0;1.818181818181818;1.0
0.0;0.0;2.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.8755950357709131;10.0;2.75;0.0;1.0;0.0;False;0.0;3.0;0.0;1.0;0.0;1.9;2.0
0.0;0.6685579234215214;12.0;2.0;0.0;1.0;0.0;False;0.0;3.0;0.0;1.0;0.0;1.5833333333333333;1.5
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;2.5727509827123995;7.0;2.5;0.0;1.0;0.0;False;0.0;8.0;0.0;1.0;0.0;2.4285714285714284;1.0
0.0;0.0;9.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.2672612419124244;14.0;1.0;0.0;1.0;0.0;False;0.0;2.0;0.0;1.0;0.0;1.0714285714285714;1.0
0.0;0.0;8.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.1547005383792517;3.0;2.0;0.0;1.0;0.0;True;0.0;3.0;0.0;1.0;0.0;1.6666666666666667;1.0
0.0;3.5841531560682283;27.0;3.0;0.0;1.0;0.0;True;0.0;18.0;0.0;1.0;0.0;2.6666666666666665;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.5353033790313108;19.0;1.0;0.0;1.0;0.0;True;0.0;3.0;0.0;1.0;0.0;1.2105263157894737;1.0
0.0;0.0;4.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.1645001528813148;12.0;2.0;0.0;1.0;0.0;False;0.0;5.0;0.0;1.0;0.0;1.5833333333333333;1.0
0.0;0.0;7.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;5.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;2.4966644414765344;10.0;1.75;0.0;1.0;0.0;False;0.0;7.0;0.0;1.0;0.0;2.3;1.0
0.0;0.0;3.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.5222329678670935;11.0;2.0;0.0;1.0;0.0;False;0.0;2.0;0.0;1.0;0.0;1.4545454545454546;1.0
0.0;2.160246899469287;19.0;1.5;0.0;1.0;0.0;True;0.0;9.0;0.0;1.0;0.0;2.0;1.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.5666989036012806;11.0;4.5;0.0;1.0;0.0;False;0.0;6.0;0.0;3.0;0.0;3.636363636363636;3.0
0.0;0.5773502691896257;3.0;2.0;0.0;1.0;0.0;False;0.0;2.0;0.0;1.5;0.0;1.6666666666666667;2.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;1.9663841605003505;6.0;4.5;0.0;1.0;0.0;True;0.0;5.0;0.0;1.0;0.0;2.6666666666666665;2.0
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;2.8284271247461903;2.0;4.0;0.0;1.0;0.0;False;0.0;5.0;0.0;2.0;0.0;3.0;3.0
0.0;0.7071067811865476;2.0;1.75;0.0;1.0;0.0;False;0.0;2.0;0.0;1.25;0.0;1.5;1.5
0.0;0.0;1.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.7071067811865476;2.0;1.75;0.0;1.0;0.0;False;0.0;2.0;0.0;1.25;0.0;1.5;1.5
0.0;0.0;2.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;0.0;13.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
