blame_merge_priorityMinor_mean;issues_priorityMajor_max;issues_priorityMinor_mean;NM;issues_priorityMinor_std;NumberOfMathOperations_mean;Maximum Complexity*;issues_priorityMajor_std;Maximum Depth_max;PMi;MaxNumberOfNestedBlocks_25%;blame_merge_priorityMinor_min;NMIR;Maximum Depth_min;NMI;SIX;blame_merge_priorityMinor_count;blamemerge_priorityMinor_mean;Ad;Bugged;Average Statements per Method;NumberOfMathOperations_25%;Ai;MaxNumberOfNestedBlocks_max;blame_merge_priorityMajor_max;NumberOfMathOperations_75%;NOPa;NumberOfModifiers_std;blamemerge_priorityMajor_mean;Maximum Block Depth;NumberOfModifiers_50%;NumberOfModifiers_max;Maximum Depth_std;NumberOfMethods_Mood;Mi;Ao;blamemerge_priorityMajor_max;MaxNumberOfNestedBlocks_50%;issues_priorityMinor_max;blame_merge_priorityMajor_std;NumberOfModifiers_count;blamemerge_priorityMinor_std;Maximum Depth_50%;Maximum Depth_75%;NumberOfMathOperations_50%;NF;NumberOfMathOperations_std;blame_merge_priorityMajor_min;NumberOfMathOperations_min;MaxNumberOfNestedBlocks_std;NumberOfModifiers_75%;Ait;HMi;MaxNumberOfNestedBlocks_min;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_75%;NumberOfModifiers_min;blame_merge_priorityMinor_std;NumberOfMathOperations_max;Av;issues_priorityMajor_min;issues_priorityMajor_count;issues_priorityMinor_min;Maximum Depth_25%;issues_priorityMinor_count;issues_priorityMajor_mean;HMd;blamemerge_priorityMajor_std;blamemerge_priorityMajor_count;blame_merge_priorityMajor_count;MaxNumberOfNestedBlocks_mean;Average Block Depth;Ma;NumberOfModifiers_mean;PMR;Maximum Depth_mean;Mit;blamemerge_priorityMinor_count;NMA;Maximum Depth_count;Md;NumberOfMathOperations_count;Average Complexity*;blamemerge_priorityMinor_max;blame_merge_priorityMinor_max;Mo;blamemerge_priorityMinor_min;MaxNumberOfNestedBlocks_count;blamemerge_priorityMajor_min;NumberOfModifiers_25%;PMd
0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;251.0;0.0;0.0;251.0;1.0;0.0;0.0;672.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;672.0;5.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0
0.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;4.0;0.0;0.25;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;False;6.33;0.0;0.0;1.0;0.0;0.0;0.0;5.656854249492381;1.0;4.0;6.0;10.0;0.7071067811865476;2.0;0.0;0.0;1.0;0.5;0.0;0.0;2.0;0.0;3.5;3.75;0.0;1.0;0.0;0.0;0.0;0.7071067811865476;8.0;0.0;0.0;0.0;0.0;0.75;2.0;0.0;0.0;0.0;1.0;114.0;0.0;3.25;114.0;1.0;2.0;0.0;356.0;0.0;0.5;2.19;3.0;6.0;0.333333333;3.5;0.0;356.0;3.0;2.0;3.0;2.0;2.67;0.0;0.0;0.0;0.0;2.0;1.0;4.0;1.0
0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;133.0;0.0;0.0;133.0;1.0;0.0;0.0;699.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;699.0;4.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0
0.0;1.0;0.0;5.0;0.0;0.2;5.0;0.0;4.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;7.0;False;7.2;0.0;0.0;2.0;0.0;0.0;0.0;11.180339887498945;1.0;4.0;33.0;33.0;1.1547005383792517;5.0;0.0;0.0;1.0;2.0;0.0;0.0;5.0;0.0;2.0;3.0;0.0;7.0;0.4472135954999581;0.0;0.0;0.8944271909999159;33.0;0.0;0.0;0.0;0.0;2.0;8.0;0.0;1.0;0.0;1.0;75.0;0.0;2.0;75.0;1.0;0.0;0.0;661.0;0.0;1.4;1.73;5.0;28.0;1.0;2.6666666666666665;0.0;661.0;5.0;3.0;5.0;5.0;2.8;0.0;0.0;0.0;0.0;5.0;1.0;33.0;5.0
0.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;3.0;0.0;1.75;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;False;13.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;2.5;0.0;0.0;2.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;2.1213203435596424;1.0;0.0;0.0;1.0;0.0;3.25;1.0;0.0;0.0;0.0;1.0;3.0;0.0;3.0;3.0;1.0;0.0;0.0;309.0;0.0;2.5;1.8;0.0;1.0;0.0;3.0;0.0;309.0;0.0;1.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;2.0;3.0;1.0;0.0;0.0;78.0;0.0;0.0;0.75;0.0;1.0;0.0;2.0;0.0;78.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0
0.0;1.0;0.0;20.0;0.0;0.1;5.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;False;1.05;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;0.5773502691896257;20.0;0.0;0.0;1.0;0.0;0.0;0.0;20.0;0.0;2.0;2.0;0.0;1.0;0.44721359549995787;0.0;0.0;0.22360679774997894;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;145.0;0.0;2.0;145.0;1.0;0.0;0.0;1512.0;0.0;0.05;1.36;21.0;1.0;1.0;1.8333333333333333;0.0;1512.0;21.0;12.0;21.0;20.0;1.19;0.0;0.0;0.0;0.0;20.0;1.0;1.0;21.0
0.0;1.0;0.0;27.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;False;0.86;0.0;0.0;0.0;0.0;0.0;0.0;7.792172272091316;1.0;2.0;1.0;41.0;0.0;27.0;0.0;0.0;1.0;0.0;0.0;0.0;27.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;140.0;0.0;2.0;140.0;1.0;1.0;0.0;2053.0;0.0;0.0;1.14;28.0;2.7777777777777777;0.964285714;2.0;0.0;2053.0;28.0;11.0;28.0;27.0;1.0;0.0;0.0;0.0;0.0;27.0;1.0;1.0;27.0
0.0;1.0;0.010526315789473684;6.0;0.10232605238616796;0.16666666666666666;5.0;0.10232605238616796;4.0;0.0;0.25;0.0;0.0;2.0;0.0;0.0;0.0;0.008529997156667614;5.0;False;5.33;0.0;0.0;2.0;0.0;0.0;0.0;17.527121840165314;0.9914700028433324;4.0;17.0;33.0;0.8164965809277259;6.0;0.0;0.0;1.0;1.0;1.0;0.0;6.0;0.09197631033307313;3.0;3.25;0.0;5.0;0.40824829046386296;0.0;0.0;0.8944271909999159;33.0;0.0;0.0;0.0;0.0;1.75;1.0;0.0;1.0;0.0;0.0;190.0;0.0;2.75;190.0;0.9894736842105264;0.0;0.09197631033307313;3517.0;0.0;1.0;1.68;6.0;17.0;1.0;3.0;0.0;3517.0;6.0;4.0;6.0;6.0;2.33;1.0;0.0;0.0;0.0;6.0;0.0;1.0;6.0
0.0;1.0;0.0;16.0;0.0;0.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;False;4.81;0.0;0.0;2.0;0.0;0.0;0.0;1.6278820596099706;1.0;4.0;2.0;8.0;0.6602252917735248;16.0;0.0;0.0;1.0;1.0;0.0;0.0;16.0;0.0;2.0;3.0;0.0;1.0;0.0;0.0;0.0;0.6191391873668903;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;236.0;0.0;2.0;236.0;1.0;12.0;0.0;2385.0;0.0;0.625;1.81;16.0;2.125;0.25;2.5384615384615383;0.0;2385.0;16.0;13.0;16.0;16.0;2.0;0.0;0.0;0.0;0.0;16.0;1.0;1.75;4.0
0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;0.75;0.0;0.0;0.0;0.0;0.0;0.0;4.0414518843273814;1.0;2.0;9.0;9.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;80.0;0.0;2.0;80.0;1.0;1.0;0.0;150.0;0.0;0.0;1.0;4.0;6.666666666666668;0.75;2.0;0.0;150.0;4.0;2.0;4.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;5.5;3.0
0.0;1.0;0.017964071856287425;6.0;0.13322025842794805;0.3333333333333333;4.0;0.13322025842794805;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.01018062397372742;6.0;False;4.83;0.0;0.0;2.0;0.0;0.75;0.0;17.527121840165314;0.9898193760262726;4.0;17.0;33.0;0.957427107756338;6.0;0.0;0.0;1.0;0.5;1.0;0.0;6.0;0.1004006439674157;2.5;3.25;0.0;6.0;0.5163977794943223;0.0;0.0;0.983192080250175;33.0;0.0;0.0;0.0;0.0;1.75;1.0;0.0;1.0;0.0;0.0;167.0;0.0;2.0;167.0;0.9820359281437124;0.0;0.1004006439674157;3045.0;0.0;0.8333333333333334;1.52;6.0;17.0;1.0;2.75;0.0;3045.0;6.0;4.0;6.0;6.0;2.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0;6.0
0.0;1.0;0.0;12.0;0.0;0.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;6.0;False;4.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;12.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;338.0;0.0;3.0;338.0;1.0;9.0;0.0;2080.0;0.0;0.0;1.77;13.0;0.0;0.307692308;3.0;0.0;2080.0;13.0;2.0;13.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0
0.0;1.0;0.0;12.0;0.0;0.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;False;4.73;0.0;0.0;2.0;0.0;0.0;0.0;0.7844645405527362;1.0;4.0;1.0;2.0;1.130388330520878;12.0;0.0;0.0;1.0;1.0;0.0;0.0;14.0;0.0;3.0;3.0;0.0;6.0;0.0;0.0;0.0;0.6112498455021267;1.75;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;338.0;0.0;2.0;338.0;1.0;9.0;0.0;2080.0;0.0;0.7142857142857143;1.77;13.0;1.0;0.307692308;2.555555555555556;0.0;2080.0;13.0;9.0;13.0;14.0;2.2;0.0;0.0;0.0;0.0;14.0;1.0;0.25;4.0
0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;36.0;0.0;0.0;36.0;1.0;0.0;0.0;560.0;0.0;0.0;0.67;2.0;1.0;1.0;0.0;0.0;560.0;2.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0
0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;False;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5773502691896257;1.0;2.0;1.0;2.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;55.0;0.0;2.0;55.0;1.0;1.0;0.0;860.0;0.0;0.0;0.96;3.0;1.3333333333333333;0.666666667;2.0;0.0;860.0;3.0;1.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;2.0
0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;False;7.67;0.0;0.0;2.0;0.0;0.0;0.0;561.7818081782285;1.0;4.0;4.0;1028.0;0.7071067811865476;5.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;3.5;3.75;0.0;0.0;0.0;0.0;0.0;0.8944271909999157;1028.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;109.0;0.0;3.25;109.0;1.0;0.0;0.0;1046.0;0.0;0.6;1.35;0.0;412.6;0.0;3.5;0.0;1046.0;0.0;2.0;0.0;5.0;1.67;0.0;0.0;0.0;0.0;5.0;1.0;2.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;4.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;36.0;0.0;2.0;36.0;1.0;0.0;0.0;707.0;0.0;0.0;1.09;0.0;4.0;0.0;2.0;0.0;707.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;4.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.25;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;8.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;4.0;4.0;0.7071067811865476;2.0;0.0;0.0;1.0;0.5;0.0;0.0;2.0;0.0;2.5;2.75;0.0;0.0;0.0;0.0;0.0;0.7071067811865476;4.0;0.0;0.0;0.0;0.0;0.75;4.0;0.0;0.0;0.0;1.0;37.0;0.0;2.25;37.0;1.0;0.0;0.0;186.0;0.0;0.5;1.27;0.0;4.0;0.0;2.5;0.0;186.0;0.0;2.0;0.0;2.0;1.5;0.0;0.0;0.0;0.0;2.0;1.0;4.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;72.0;0.0;2.0;72.0;1.0;0.0;0.0;390.0;0.0;0.0;0.5;0.0;1.0;0.0;2.0;0.0;390.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0
0.0;1.0;0.0;0.0;0.0;0.5;2.0;0.0;3.0;0.0;0.25;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;False;6.5;0.25;0.0;1.0;0.0;0.75;0.0;1.4142135623730951;1.0;3.0;3.0;4.0;0.0;2.0;0.0;0.0;1.0;0.5;0.0;0.0;2.0;0.0;3.0;3.0;0.5;0.0;0.7071067811865476;0.0;0.0;0.7071067811865476;3.5;0.0;0.0;0.0;0.0;0.75;2.0;0.0;1.0;0.0;1.0;72.0;0.0;3.0;72.0;1.0;0.0;0.0;894.0;0.0;0.5;1.0;0.0;3.0;0.0;3.0;0.0;894.0;0.0;1.0;0.0;2.0;1.5;0.0;0.0;0.0;0.0;2.0;1.0;2.5;0.0
0.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;19.5;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;6.0;1.0;1.0;0.0;5.0;0.0;0.0;1.0;0.5;0.0;0.0;6.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.8164965809277259;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;297.0;0.0;2.0;297.0;1.0;0.0;0.0;3407.0;0.0;0.6666666666666666;1.96;0.0;1.0;0.0;2.0;0.0;3407.0;0.0;3.0;0.0;6.0;2.33;0.0;0.0;0.0;0.0;6.0;1.0;1.0;0.0
0.0;1.0;0.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;False;1.25;0.0;0.0;0.0;0.0;0.0;0.0;3.3166247903554;1.0;2.0;4.0;9.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;5.25;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;229.0;0.0;2.0;229.0;1.0;2.0;0.0;551.0;0.0;0.0;0.9;4.0;4.5;0.5;2.0;0.0;551.0;4.0;4.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;3.25;2.0
0.0;1.0;0.0;4.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;False;1.25;0.0;0.0;0.0;0.0;0.0;0.0;3.3166247903554;1.0;2.0;4.0;9.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;5.25;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;117.0;0.0;2.0;117.0;1.0;2.0;0.0;563.0;0.0;0.0;0.9;4.0;4.5;0.5;2.0;0.0;563.0;4.0;4.0;4.0;4.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;3.25;2.0
0.0;1.0;0.0;5.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;False;1.2;0.0;0.0;0.0;0.0;0.0;0.0;3.271085446759225;1.0;2.0;4.0;9.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;2.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;117.0;0.0;2.0;117.0;1.0;2.0;0.0;609.0;0.0;0.0;0.96;5.0;3.8;0.6;2.0;0.0;609.0;5.0;4.0;5.0;5.0;1.0;0.0;0.0;0.0;0.0;5.0;1.0;1.0;3.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;15.0;1.0;0.0;0.0;517.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;517.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;15.0;1.0;0.0;0.0;341.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;341.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;15.0;1.0;0.0;0.0;484.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;484.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.0;1.0;0.0;1.0;0.0;0.0;7.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;5.0;0.0;0.0;2.0;0.0;0.0;0.0;0.5773502691896257;1.0;6.0;1.5;2.0;0.0;1.0;0.0;0.0;1.0;1.5;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.957427107756338;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;15.0;1.0;0.0;0.0;1265.0;0.0;1.25;2.93;1.0;1.5;1.0;0.0;0.0;1265.0;1.0;0.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;1.0
0.0;1.0;0.9411764705882352;0.0;0.2370435403783839;0.0;0.0;0.2370435403783839;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.4986383946711772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.0;0.0;0.0;68.0;0.05882352941176471;0.0;0.4986383946711772;144.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;144.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
