;blame_merge_priorityMinor_mean;issues_priorityMajor_max;issues_priorityMinor_mean;NM;issues_priorityMinor_std;NumberOfMathOperations_mean;Maximum Complexity*;issues_priorityMajor_std;Maximum Depth_max;PMi;MaxNumberOfNestedBlocks_25%;blame_merge_priorityMinor_min;NMIR;Maximum Depth_min;NMI;SIX;blame_merge_priorityMinor_count;blamemerge_priorityMinor_mean;Ad;Bugged;Average Statements per Method;NumberOfMathOperations_25%;Ai;MaxNumberOfNestedBlocks_max;blame_merge_priorityMajor_max;NumberOfMathOperations_75%;NOPa;NumberOfModifiers_std;blamemerge_priorityMajor_mean;Maximum Block Depth;NumberOfModifiers_50%;NumberOfModifiers_max;Maximum Depth_std;NumberOfMethods_Mood;Mi;Ao;blamemerge_priorityMajor_max;MaxNumberOfNestedBlocks_50%;issues_priorityMinor_max;blame_merge_priorityMajor_std;NumberOfModifiers_count;blamemerge_priorityMinor_std;Maximum Depth_50%;Maximum Depth_75%;NumberOfMathOperations_50%;NF;NumberOfMathOperations_std;blame_merge_priorityMajor_min;NumberOfMathOperations_min;MaxNumberOfNestedBlocks_std;NumberOfModifiers_75%;Ait;HMi;MaxNumberOfNestedBlocks_min;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_75%;NumberOfModifiers_min;blame_merge_priorityMinor_std;NumberOfMathOperations_max;Av;issues_priorityMajor_min;issues_priorityMajor_count;issues_priorityMinor_min;Maximum Depth_25%;issues_priorityMinor_count;issues_priorityMajor_mean;HMd;blamemerge_priorityMajor_std;blamemerge_priorityMajor_count;blame_merge_priorityMajor_count;MaxNumberOfNestedBlocks_mean;Average Block Depth;Ma;NumberOfModifiers_mean;PMR;Maximum Depth_mean;Mit;blamemerge_priorityMinor_count;NMA;Maximum Depth_count;Md;NumberOfMathOperations_count;Average Complexity*;blamemerge_priorityMinor_max;blame_merge_priorityMinor_max;Mo;blamemerge_priorityMinor_min;MaxNumberOfNestedBlocks_count;blamemerge_priorityMajor_min;NumberOfModifiers_25%;PMd
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;1503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;0.9461684610512983;0.04989337497867553;1.8480050664977834;0.024398265102971994;0.10882996214645732;2.078530715642812;0.027010625887107387;1.1272957568081063;0.0;0.1220709309689677;0.0;0.0;1.0044331855604813;0.0;0.0;0.0;0.04933951636873247;0.6833438885370487;;2.64025332488917;0.06222292590246992;0.0;0.4914502849905003;0.0;0.11985433818872704;0.0;8.251987595411569;0.9281603696552115;2.0829639012032932;10.21469284357188;20.436352121595945;0.06405644866959928;2.953768207726409;0.0;0.0;0.9537682077264091;0.19854338188727041;0.11462951234958835;0.0;3.0151994933502215;0.027698370231751937;1.0478150728309057;1.0771057631412286;0.07726409119696011;0.6833438885370487;0.10088376205567666;0.0;0.0512982900569981;0.1872318650070148;14.325364154528183;0.0;0.0;0.07916402786573781;0.0;0.3036732108929702;5.594680177327422;0.0;0.2773907536415453;0.026599113362887904;0.8461051298290057;227.9246358454718;0.025965801139962;1.0272324255858138;227.9246358454718;0.923822530104347;0.6440785307156428;0.027990446068540044;4391.332488917036;0.0;0.2307645979409581;0.8105319822672578;1.8752374920835972;11.592504695744596;0.21175578430905634;1.0558951595800559;0.0;4391.332488917036;2.102596580113996;1.4376187460417986;1.8752374920835972;3.0151994933502215;1.1818682710576314;0.11842938568714376;0.0;0.0;0.02026599113362888;3.0151994933502215;0.8467384420519316;8.072039265357821;1.2311589613679543
std;0.0;0.22575646556036205;0.19699772111541758;4.304735596128122;0.0906285682522426;0.36962283212819375;3.455150101679125;0.09399968684175539;1.2555109324278553;0.0;0.4209789484843672;0.0;0.0;1.0882972851198156;0.0;0.0;0.0;0.19155084595493233;1.6780986782092653;;4.306221579962547;0.3220843648879104;0.0;1.0356859983745104;0.0;0.43053969322048874;0.0;67.68988544096875;0.23780939775881446;1.7166396066891034;84.12327327902463;132.81856353551507;0.25827388615398633;4.59828762688862;0.0;0.0;0.21005322393308273;0.5253441444186793;0.31867523056533753;0.0;4.675641054721584;0.09751868485250502;1.1234452605651186;1.1644147758320016;0.3511467551414499;1.6780986782092653;0.3497593937472041;0.0;0.31325273196658115;0.42284127441864106;104.99735694864549;0.0;0.0;0.37601109700069985;0.0;0.6906209873349793;68.09789696587245;0.0;0.8678538896789023;0.26508103985856096;0.36096226358737893;325.8743761310476;0.15908364443678266;1.099481098285841;325.8743761310476;0.24711413345907027;1.9382044096275004;0.09708914678765317;9336.122254072792;0.0;0.528077691218951;0.6949374022993985;4.371124703070997;85.72876539022096;0.36708342535108085;1.1317589502943879;0.0;9336.122254072792;4.597030186559071;2.463241221879052;4.371124703070997;4.675641054721584;1.3514312435182;0.323218236550553;0.0;0.0;0.1409534082513452;4.675641054721584;0.3603535643873195;75.45772027732436;3.324890478112822
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;28.0;0.0;0.0;28.0;1.0;0.0;0.0;370.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;370.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
50%;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;110.0;0.0;0.0;110.0;1.0;0.0;0.0;1095.0;0.0;0.0;0.77;0.0;1.0;0.0;0.0;0.0;1095.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0
75%;0.0;1.0;0.0;2.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;;3.67;0.0;0.0;1.0;0.0;0.0;0.0;0.4791184274255697;1.0;3.0;1.0;4.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;300.0;0.0;2.0;300.0;1.0;0.0;0.0;4169.0;0.0;0.1111111111111111;1.23;2.0;2.0;0.333333333;2.0;0.0;4169.0;2.0;2.0;2.0;4.0;1.4;0.0;0.0;0.0;0.0;4.0;1.0;1.0;1.0
