;MethodLength_50%;TotalNumberOfOperators;blamemerge_blamegetEffort_mean;blamemerge_blamegetVocabulary_max;blame_merge_blame_getVolume_std;blamemerge_blamegetVolume_std;FileLength_min;blame_merge_blame_getEffort_count;blame_merge_blame_getLength_mean;blame_merge_blame_getLength_max;FileLength_50%;blame_merge_blame_getVolume_min;FileLength_count;FileLength_25%;blamemerge_blamegetVolume_mean;AnonymousInnerClassLength_50%;blame_merge_blame_getVolume_max;Difficulty;blame_merge_blame_getEffort_max;blame_merge_blame_getDifficulty_min;TotalNumberOfOperands;blame_merge_blame_getVocabulary_std;blame_merge_blame_getLength_min;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVocabulary_count;blame_merge_blame_getDifficulty_count;MethodLength_count;MethodLength_max;blamemerge_blamegetLength_max;FileLength_75%;blame_merge_blame_getVolume_mean;blamemerge_blamegetDifficulty_mean;MethodLength_std;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;Length;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_max;blamemerge_blamegetEffort_std;blame_merge_blame_getVolume_count;Vocabulary;FileLength_max;AnonymousInnerClassLength_std;MethodLength_75%;blame_merge_blame_getEffort_mean;NumberOfDistinctOperands;blamemerge_blamegetVolume_max;blamemerge_blamegetEffort_count;AnonymousInnerClassLength_min;blame_merge_blame_getEffort_std;blame_merge_blame_getEffort_min;NumberOfDistinctOperators;blame_merge_blame_getLength_std;AnonymousInnerClassLength_mean;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_25%;blamemerge_blamegetLength_count;blamemerge_blamegetDifficulty_count;blamemerge_blamegetVolume_count;FileLength_std;blame_merge_blame_getVocabulary_min;blame_merge_blame_getLength_count;blame_merge_blame_getDifficulty_mean;Volume;AnonymousInnerClassLength_75%;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetLength_mean;MethodLength_mean;blame_merge_blame_getVocabulary_max;MethodLength_min;FileLength_mean;Effort;MethodLength_25%;Bugged;blamemerge_blamegetVocabulary_std;AnonymousInnerClassLength_count;blamemerge_blamegetVocabulary_count;blamemerge_blamegetLength_std;blamemerge_blamegetEffort_max
count;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1228;;;;;
mean;13.959094519459889;802.287529785544;51.71746410511887;15.41382049245433;0.0;19.63712065060699;8.459094519459889;0.0;0.0;0.0;13.586973788721208;0.0;5.289912629070691;11.023034154090547;17.06532517226822;0.12430500397140588;0.0;51.676893394124775;0.0;0.0;534.4154090548054;0.0;0.0;4.524310754308813;0.0;0.0;5.289912629070691;30.503574265289913;22.967434471803017;23.435861795075457;0.0;1.2928371942441952;9.01649697814644;5.946596238683213;0.0;1336.7029388403496;0.0;1.2239872915011913;79.2887410030586;0.0;152.5226370135028;130.86338363780777;0.4674187612904101;18.704130262112788;0.0;125.77045274027006;89.25543660971158;16338.796664019063;0.023034154090548053;0.0;0.0;26.752184273232725;0.0;0.25675347272038035;1.362582696460753;0.07088959491660048;16338.796664019063;16338.796664019063;16338.796664019063;43.59820717290808;0.0;0.0;0.0;10501.034302479595;0.2448371723590151;0.0;5.442751643045722;15.877549776035465;0.0;8.597299444003177;27.372181533308204;984758.314043106;10.962470214455918;;4.109950766933012;5.289912629070691;16338.796664019063;5.411930210816298;444.467386958197
std;20.019498511253783;936.3707956906978;33.786911127333305;3.5707030302047786;0.0;7.005392034466095;26.38097792572838;0.0;0.0;0.0;30.25911845868562;0.0;8.696945989668398;27.00305003984397;8.456199838168592;1.027753298080721;0.0;37.479669659040646;0.0;0.0;600.5820902848812;0.0;0.0;1.9131810366845579;0.0;0.0;8.696945989668398;38.371611271907646;6.784536847359793;38.30619756815244;0.0;0.627851852633516;14.030968750056218;2.196955260889898;0.0;1535.4348894049037;0.0;4.726951072500089;44.73398444529274;0.0;109.86867469632607;184.8506562198714;1.907738251112141;23.57968660621356;0.0;101.09630638367187;31.443444608285727;25193.888701046533;0.365799437618896;0.0;0.0;10.459881776730867;0.0;1.1791206121023725;0.4771440153922888;0.5989097166446126;25193.888701046533;25193.888701046533;25193.888701046533;49.24723628945507;0.0;0.0;0.0;13477.672254534951;1.6011761480024311;0.0;2.4432445328900454;20.038124279699794;0.0;16.980930827816874;29.839158308874644;2018449.9649251;17.946931225019355;;1.0088272921475527;8.696945989668398;25193.888701046533;1.6332893281622718;258.0169679863666
min;0.0;3.0;0.002361004371744271;6.0;0.0;0.2066924148462724;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002361004371744271;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0007828810020876827;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.00013048016701461377;0.0;1.0;0.0;7.0;0.0;0.0;0.2066924148462724;0.0;6.0;0.0;0.0;0.0;0.0;4.0;18.094737505048094;8.0;0.0;0.0;0.0;2.0;0.0;0.0;0.011422791559623849;0.0;8.0;8.0;8.0;0.0;0.0;0.0;0.0;18.094737505048094;0.0;0.0;0.0009133611691022963;0.0;0.0;0.0;0.0;18.094737505048094;0.0;;0.06853674935774305;0.0;8.0;0.0799595409173669;18.094737505048094
25%;3.0;216.0;29.319225147739893;14.0;0.0;15.668124483997948;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;11.220433631235869;0.0;0.0;26.51360216091067;0.0;0.0;150.5;0.0;0.0;3.388422166295707;0.0;0.0;1.0;3.0;19.0;0.0;0.0;0.8957204487856446;0.0;4.375;0.0;371.0;0.0;0.0;51.535240027412144;0.0;78.5;0.0;0.0;3.0;0.0;57.0;72.33974351909447;449.0;0.0;0.0;0.0;20.0;0.0;0.0;1.1585668471355173;0.0;449.0;449.0;449.0;0.0;0.0;0.0;0.0;2343.6688169989857;0.0;0.0;3.87645875251509;3.0;0.0;2.0;0.0;61209.79398378293;3.0;;3.71967007231436;1.0;449.0;4.524922952307238;298.87713056405164
50%;6.0;485.0;49.128600616133916;15.0;0.0;20.54252442161841;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;17.32144263698071;0.0;0.0;43.901639344262286;0.0;0.0;333.0;0.0;0.0;4.738410034269426;0.0;0.0;3.0;17.0;23.0;0.0;0.0;1.2991071428571428;2.0615528128088303;6.0;0.0;818.0;0.0;0.0;78.6994772186534;0.0;131.0;80.0;0.0;10.0;0.0;103.0;91.37651812938248;6663.0;0.0;0.0;0.0;27.0;0.0;0.0;1.351124027516709;0.0;6663.0;6663.0;6663.0;34.648232278140824;0.0;0.0;0.0;5849.6148821479455;0.0;0.0;5.6429274199651855;9.333333333333334;0.0;3.0;23.0;260363.3341226775;4.0;;4.327321796444013;3.0;6663.0;5.682212292760163;415.35130644563066
75%;17.0;1012.0;66.72113875420713;17.0;0.0;24.0156879317554;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;22.443287626334442;0.0;0.0;67.2102143218944;0.0;0.0;660.5;0.0;0.0;5.7453237410071925;0.0;0.0;6.0;46.0;27.0;40.0;0.0;1.6525222969527955;13.810350470339614;7.5;0.0;1664.0;0.0;0.0;100.98714345770037;0.0;196.0;171.0;0.0;26.375;0.0;164.0;105.48604608142999;21906.0;0.0;0.0;0.0;34.0;0.0;0.0;1.6012647409064567;0.0;21906.0;21906.0;21906.0;73.73565636970815;0.0;0.0;0.0;12705.124386167345;0.0;0.0;7.03386170741449;21.816666666666663;0.0;7.0;39.92307692307693;811938.417326275;12.375;;4.709259643972892;6.0;21906.0;6.400643420804412;543.9646385667406
max;142.0;6409.0;227.1341897004456;36.0;0.0;45.87196649498858;257.0;0.0;0.0;0.0;257.0;0.0;90.0;257.0;55.981517517981786;20.0;0.0;282.75;0.0;0.0;4522.0;0.0;0.0;11.185936443542934;0.0;0.0;90.0;440.0;76.0;257.0;0.0;3.98411935864842;105.08567932882194;17.5;0.0;10931.0;0.0;66.0;502.31501809167213;0.0;636.0;1638.0;28.284271247461906;142.0;0.0;590.0;310.6471759350258;211786.0;6.0;0.0;0.0;52.0;0.0;20.0;3.3668201172978995;10.0;211786.0;211786.0;211786.0;225.5670631985086;0.0;0.0;0.0;101774.30831632033;30.0;0.0;15.240872210953349;142.0;0.0;142.0;257.0;17550893.21973561;142.0;;7.1213210300626955;90.0;211786.0;11.561848099186866;2845.973813484378
