AnonymousInnerClassLength;BuggedMethods;FileLength;MethodLength
0.0;False;0.0;0.0
0.0;False;0.0;24.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;674.0;3.0
0.0;False;0.0;9.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;5.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;6.0
0.0;False;0.0;3.0
0.0;False;0.0;33.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;32.0
0.0;True;0.0;8.0
0.0;True;0.0;20.0
0.0;False;0.0;3.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;6.0
0.0;False;0.0;6.0
0.0;False;0.0;6.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;366.0;13.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;0.0;5.0
0.0;False;168.0;7.0
0.0;False;0.0;4.0
0.0;False;0.0;4.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;13.0
0.0;False;0.0;35.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;101.0;32.0
0.0;False;0.0;23.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;259.0;23.0
0.0;False;0.0;10.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;5.0
0.0;False;0.0;3.0
0.0;False;0.0;11.0
0.0;False;0.0;0.0
0.0;False;0.0;7.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;399.0;4.0
0.0;False;201.0;25.0
0.0;False;0.0;12.0
0.0;False;0.0;52.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;9.0
0.0;False;276.0;4.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;5.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;67.0;3.0
0.0;False;0.0;11.0
0.0;False;75.0;16.0
0.0;False;0.0;40.0
0.0;False;0.0;66.0
0.0;False;221.0;22.0
0.0;False;0.0;43.0
0.0;False;75.0;5.0
0.0;False;0.0;10.0
0.0;False;0.0;13.0
0.0;False;0.0;13.0
0.0;False;56.0;4.0
0.0;False;0.0;23.0
0.0;False;386.0;10.0
0.0;False;0.0;41.0
0.0;False;0.0;13.0
0.0;False;0.0;54.0
0.0;False;0.0;0.0
0.0;False;0.0;28.0
0.0;False;0.0;0.0
0.0;False;0.0;13.0
0.0;False;0.0;15.0
0.0;False;0.0;9.0
0.0;False;0.0;16.0
0.0;False;51.0;20.0
0.0;False;27.0;4.0
0.0;False;0.0;0.0
0.0;False;0.0;27.0
0.0;False;0.0;21.0
0.0;False;453.0;12.0
0.0;False;0.0;16.0
0.0;False;0.0;17.0
0.0;False;0.0;68.0
0.0;False;0.0;0.0
0.0;False;0.0;16.0
0.0;False;0.0;15.0
0.0;False;0.0;47.0
0.0;False;0.0;17.0
0.0;False;0.0;0.0
0.0;False;0.0;14.0
0.0;False;0.0;15.0
0.0;False;0.0;43.0
0.0;False;0.0;7.0
0.0;False;0.0;8.0
0.0;False;0.0;8.0
0.0;True;0.0;0.0
0.0;False;150.0;17.0
0.0;True;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;6.0
0.0;False;0.0;9.0
0.0;False;0.0;30.0
0.0;False;228.0;25.0
0.0;False;0.0;10.0
0.0;False;0.0;12.0
0.0;False;0.0;12.0
0.0;False;0.0;12.0
0.0;False;0.0;12.0
0.0;False;0.0;17.0
0.0;False;0.0;0.0
0.0;False;0.0;11.0
0.0;False;0.0;0.0
0.0;False;0.0;12.0
0.0;False;0.0;12.0
0.0;False;0.0;7.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;140.0;4.0
0.0;False;0.0;3.0
0.0;False;0.0;8.0
0.0;False;0.0;14.0
0.0;False;0.0;13.0
0.0;False;0.0;12.0
0.0;False;0.0;18.0
0.0;False;0.0;6.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;6.0
0.0;False;0.0;7.0
0.0;False;0.0;17.0
0.0;False;0.0;29.0
0.0;False;0.0;9.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;162.0;9.0
0.0;False;0.0;10.0
0.0;False;138.0;12.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;10.0
0.0;False;0.0;0.0
0.0;False;0.0;10.0
0.0;False;306.0;6.0
0.0;False;0.0;6.0
0.0;False;0.0;11.0
0.0;False;0.0;10.0
0.0;False;0.0;10.0
0.0;False;0.0;0.0
0.0;False;0.0;17.0
0.0;False;0.0;17.0
0.0;False;0.0;6.0
0.0;False;0.0;19.0
0.0;False;0.0;10.0
0.0;False;0.0;10.0
0.0;False;0.0;13.0
0.0;False;0.0;12.0
0.0;False;0.0;14.0
0.0;False;0.0;9.0
0.0;False;0.0;11.0
0.0;False;0.0;9.0
0.0;False;0.0;10.0
0.0;False;0.0;0.0
0.0;False;0.0;8.0
0.0;False;0.0;4.0
0.0;False;0.0;9.0
0.0;False;0.0;13.0
0.0;False;0.0;9.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;8.0
0.0;False;0.0;12.0
0.0;False;188.0;4.0
0.0;False;0.0;12.0
0.0;False;0.0;63.0
0.0;False;0.0;0.0
0.0;False;0.0;10.0
0.0;False;0.0;17.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;39.0;6.0
0.0;False;276.0;23.0
0.0;False;0.0;4.0
0.0;False;0.0;8.0
0.0;False;0.0;11.0
0.0;False;0.0;15.0
0.0;False;0.0;8.0
0.0;False;0.0;5.0
0.0;False;0.0;45.0
0.0;False;0.0;14.0
0.0;False;0.0;11.0
0.0;False;0.0;19.0
0.0;False;0.0;4.0
0.0;False;0.0;8.0
0.0;False;0.0;8.0
0.0;False;0.0;11.0
0.0;False;0.0;13.0
0.0;False;0.0;5.0
0.0;False;183.0;37.0
0.0;False;0.0;27.0
0.0;False;0.0;8.0
0.0;False;0.0;5.0
0.0;False;0.0;7.0
0.0;False;0.0;7.0
0.0;False;0.0;9.0
0.0;False;0.0;7.0
0.0;False;40.0;8.0
0.0;False;52.0;17.0
0.0;False;0.0;8.0
0.0;False;66.0;8.0
0.0;False;0.0;8.0
0.0;False;285.0;7.0
0.0;False;0.0;31.0
0.0;False;0.0;18.0
0.0;False;0.0;186.0
0.0;False;46.0;11.0
0.0;False;84.0;13.0
0.0;False;0.0;6.0
0.0;False;0.0;8.0
0.0;False;0.0;0.0
0.0;False;0.0;8.0
