AnonymousInnerClassLength;BuggedMethods;FileLength;MethodLength
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;83.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;7.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;0.0;25.0
0.0;False;0.0;5.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;14.0
0.0;False;0.0;3.0
0.0;False;0.0;9.0
0.0;False;0.0;13.0
0.0;False;385.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;18.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;10.0
0.0;False;0.0;0.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;15.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;3.0
0.0;False;0.0;10.0
0.0;False;0.0;3.0
0.0;False;984.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;67.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;17.0
0.0;False;93.0;3.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;0.0
0.0;False;0.0;9.0
0.0;False;0.0;4.0
0.0;False;0.0;10.0
0.0;False;0.0;3.0
