;WMC_CK_count;NORM;DIT;WMC;WMC_CK_mean;NMIR;WMC_CK_50%;WMC_CK_min;WMC_CK_25%;WMC_CK_std;Bugged;NOCh;NMI;WMC_CK_75%;WMC_CK_max;NPM
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;;2;;;;;
top;;;;;;;;;;;False;;;;;
freq;;;;;;;;;;;1503;;;;;
mean;3.0151994933502215;0.0;0.3616212792906903;3.8663711209626346;1.1846671354851692;0.0;1.1003799873337556;0.9233692210259657;0.987017099430019;0.3513166858822523;;0.0037998733375554147;0.0;1.2800823305889804;1.7618746041798607;1.0804306523115896
std;4.675641054721584;0.0;0.480622121081771;9.076662797819756;1.3093406031822834;0.0;1.2332116642640085;1.0499947720746614;1.098768999682401;0.9532975127050904;;0.15099417215685007;0.0;1.5183334806589348;2.756541344605484;3.161153760426295
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;;0.0;0.0;1.0;1.0;0.0
50%;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;;0.0;0.0;1.0;1.0;0.0
75%;4.0;0.0;1.0;3.0;1.1742424242424243;0.0;1.0;1.0;1.0;0.0;;0.0;0.0;1.0;2.0;1.0
max;54.0;0.0;1.0;106.0;25.0;0.0;25.0;25.0;25.0;8.48528137423857;;6.0;0.0;25.0;36.0;37.0
