;NumberOfInheritedMethods;NumberOfSubclasses;NumberOfCoupledClasses;Bugged;NumberOfMethods_Mood;NumberUserDefinedAttributes;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfAncestors;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;Cohesion
count;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;2;;;;;;;;;;
top;;;;False;;;;;;;;;;
freq;;;;1228;;;;;;;;;;
mean;0.0;0.0;0.17791898332009531;;7.35583796664019;0.1358220810166799;1.0484511517077044;2.192216044479746;0.0;3.6131850675139;0.3725178713264496;5.424940428911834;5.731532962668784;0.2344713834095272
std;0.0;0.0;0.4981253790684605;;12.279941656352536;0.6045498030312387;2.7910891139068528;3.9017630556145897;0.0;5.299655111305937;1.7417279211489756;10.45033894942244;10.367233839037135;0.27788814448762095
min;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0
50%;0.0;0.0;0.0;;4.0;0.0;0.0;1.0;0.0;2.0;0.0;2.0;3.0;0.15648286140089418
75%;0.0;0.0;0.0;;8.0;0.0;1.0;3.0;0.0;5.0;0.0;5.0;6.0;0.3333333333333333
max;0.0;0.0;4.0;;90.0;7.0;51.0;32.0;0.0;52.0;24.0;72.0;73.0;1.0
