NumberOfInheritedMethods;NumberOfSubclasses;NumberOfCoupledClasses;Bugged;NumberOfMethods_Mood;NumberUserDefinedAttributes;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfAncestors;NumberOfAttributes;NumberOfProtectedAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;Cohesion
0.0;0.0;0.0;False;3.0;0.0;2.0;1.0;0.0;3.0;0.0;3.0;3.0;0.0
0.0;0.0;0.0;False;2.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;2.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;28.0;0.0;0.0;3.0;0.0;3.0;0.0;24.0;24.0;0.1948051948051948
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;17.0;0.0;9.0;0.0;0.0;9.0;0.0;17.0;17.0;0.1176470588235294
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;False;21.0;2.0;2.0;4.0;0.0;6.0;0.0;16.0;21.0;0.13333333333333333
0.0;0.0;1.0;False;21.0;2.0;2.0;4.0;0.0;6.0;0.0;16.0;21.0;0.13333333333333333
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;3.0;0.0;0.0;3.0;0.0;3.0;0.0;2.0;2.0;0.6666666666666666
0.0;0.0;0.0;False;3.0;0.0;0.0;3.0;0.0;3.0;0.0;2.0;2.0;0.6666666666666666
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.8333333333333334
0.0;0.0;0.0;False;6.0;0.0;0.0;2.0;0.0;2.0;0.0;5.0;6.0;0.6666666666666666
0.0;0.0;2.0;False;17.0;1.0;1.0;2.0;0.0;4.0;1.0;10.0;17.0;0.0962566844919786
0.0;0.0;2.0;False;17.0;1.0;1.0;2.0;0.0;4.0;1.0;10.0;17.0;0.0962566844919786
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;17.0;0.0;2.0;7.0;0.0;9.0;0.0;17.0;17.0;0.10084033613445376
0.0;0.0;0.0;False;17.0;0.0;2.0;7.0;0.0;9.0;0.0;17.0;17.0;0.10084033613445376
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;8.0;0.0;3.0;2.0;0.0;5.0;0.0;8.0;8.0;0.125
0.0;0.0;0.0;False;8.0;0.0;3.0;2.0;0.0;5.0;0.0;8.0;8.0;0.125
0.0;0.0;0.0;False;40.0;0.0;3.0;1.0;0.0;4.0;0.0;0.0;39.0;0.3666666666666665
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;False;44.0;0.0;3.0;10.0;0.0;13.0;0.0;44.0;44.0;0.08766233766233766
0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;False;2.0;0.0;1.0;1.0;0.0;2.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;2.0;0.0;3.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0
0.0;0.0;0.0;False;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;14.0;0.0;2.0;8.0;0.0;10.0;0.0;14.0;14.0;0.10714285714285714
0.0;0.0;0.0;False;6.0;0.0;6.0;3.0;0.0;9.0;0.0;4.0;6.0;0.25
0.0;0.0;0.0;False;7.0;0.0;1.0;2.0;0.0;3.0;0.0;5.0;6.0;0.3333333333333333
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.5
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;2.0;1.0;3.0;3.0;0.3333333333333333
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;6.0;0.0;0.0;2.0;0.0;2.0;0.0;6.0;6.0;0.16666666666666666
0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
0.0;0.0;4.0;False;6.0;2.0;0.0;2.0;0.0;2.0;0.0;6.0;6.0;0.16666666666666666
0.0;0.0;4.0;False;6.0;2.0;0.0;2.0;0.0;2.0;0.0;6.0;6.0;0.16666666666666666
0.0;0.0;2.0;False;4.0;1.0;0.0;1.0;0.0;4.0;3.0;4.0;3.0;0.375
0.0;0.0;1.0;False;3.0;0.0;0.0;2.0;0.0;2.0;0.0;3.0;2.0;0.3333333333333333
0.0;0.0;0.0;False;9.0;0.0;0.0;1.0;0.0;6.0;5.0;9.0;9.0;0.1851851851851852
0.0;0.0;0.0;False;9.0;0.0;0.0;1.0;0.0;6.0;5.0;9.0;9.0;0.1851851851851852
0.0;0.0;0.0;False;9.0;0.0;0.0;1.0;0.0;6.0;5.0;9.0;9.0;0.1851851851851852
0.0;0.0;0.0;False;5.0;0.0;0.0;4.0;0.0;4.0;0.0;4.0;4.0;0.5
0.0;0.0;0.0;False;5.0;0.0;0.0;2.0;0.0;5.0;3.0;3.0;3.0;0.26666666666666666
0.0;0.0;0.0;False;5.0;0.0;0.0;2.0;0.0;5.0;3.0;3.0;3.0;0.26666666666666666
0.0;0.0;0.0;False;5.0;0.0;0.0;2.0;0.0;5.0;3.0;3.0;3.0;0.26666666666666666
0.0;0.0;0.0;False;4.0;0.0;0.0;4.0;0.0;4.0;0.0;4.0;4.0;0.25
0.0;0.0;0.0;False;5.0;0.0;0.0;4.0;0.0;4.0;0.0;5.0;5.0;0.3142857142857143
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;14.0;0.0;0.0;7.0;0.0;7.0;0.0;12.0;12.0;0.1836734693877551
0.0;0.0;0.0;False;2.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;2.0;0.75
0.0;0.0;1.0;True;28.0;2.0;6.0;19.0;0.0;25.0;0.0;13.0;12.0;0.0935374149659864
0.0;0.0;1.0;True;28.0;2.0;6.0;19.0;0.0;25.0;0.0;13.0;12.0;0.0935374149659864
0.0;0.0;1.0;True;28.0;2.0;6.0;19.0;0.0;25.0;0.0;13.0;12.0;0.0935374149659864
0.0;0.0;0.0;False;6.0;0.0;7.0;1.0;0.0;8.0;0.0;0.0;5.0;0.2
0.0;0.0;3.0;False;4.0;1.0;2.0;4.0;0.0;6.0;0.0;3.0;3.0;0.25
0.0;0.0;0.0;False;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.8333333333333334
0.0;0.0;0.0;False;7.0;0.0;0.0;2.0;0.0;2.0;0.0;7.0;7.0;0.2857142857142857
0.0;0.0;0.0;False;9.0;0.0;0.0;0.0;0.0;1.0;1.0;9.0;9.0;0.3611111111111111
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;4.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;3.0;0.375
0.0;0.0;1.0;False;8.0;0.0;0.0;0.0;0.0;1.0;1.0;7.0;7.0;0.14583333333333334
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;5.0;0.0;1.0;2.0;0.0;3.0;0.0;5.0;5.0;0.2
0.0;0.0;0.0;False;2.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;2.0;0.75
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;12.0;0.0;0.0;1.0;0.0;3.0;2.0;10.0;5.0;0.25555555555555554
0.0;0.0;0.0;False;12.0;0.0;0.0;1.0;0.0;3.0;2.0;10.0;5.0;0.25555555555555554
0.0;0.0;0.0;False;12.0;0.0;0.0;1.0;0.0;3.0;2.0;10.0;5.0;0.25555555555555554
0.0;0.0;0.0;False;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;False;3.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.5185185185185185
0.0;0.0;0.0;False;14.0;0.0;0.0;2.0;0.0;2.0;0.0;3.0;2.0;0.25892857142857145
0.0;0.0;0.0;True;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0
0.0;0.0;0.0;False;3.0;0.0;0.0;3.0;0.0;3.0;0.0;2.0;2.0;0.4166666666666667
0.0;0.0;0.0;False;3.0;0.0;0.0;3.0;0.0;3.0;0.0;2.0;2.0;0.4166666666666667
0.0;0.0;1.0;False;4.0;1.0;1.0;4.0;0.0;5.0;0.0;4.0;4.0;0.375
0.0;0.0;1.0;False;4.0;1.0;1.0;4.0;0.0;5.0;0.0;4.0;4.0;0.375
0.0;0.0;1.0;False;3.0;1.0;1.0;4.0;0.0;5.0;0.0;3.0;3.0;0.4166666666666667
0.0;0.0;1.0;False;3.0;1.0;1.0;4.0;0.0;5.0;0.0;3.0;3.0;0.4166666666666667
0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;False;7.0;0.0;0.0;1.0;0.0;3.0;2.0;4.0;2.0;0.3392857142857143
0.0;0.0;3.0;False;19.0;7.0;0.0;13.0;0.0;13.0;0.0;2.0;2.0;0.16842105263157894
0.0;0.0;3.0;False;19.0;7.0;0.0;13.0;0.0;13.0;0.0;2.0;2.0;0.16842105263157894
