IOVars;NCOMP;VG;Fin;Fout;Ci;Di;NBD;Si;BuggedMethods;MCLC;NOP;NVAR
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;False;4.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;False;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;False;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
2.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;0.0;False;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
2.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;0.0;False;0.0;1.0;0.0
2.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;0.0;False;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
