;IOVars;NCOMP;VG;Fin;Fout;Ci;Di;NBD;Si;BuggedMethods;MCLC;NOP;NVAR
count;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0;7760.0
unique;;;;;;;;;;2;;;
top;;;;;;;;;;False;;;
freq;;;;;;;;;;7667;;;
mean;0.32899484536082474;0.26597938144329897;0.44484536082474224;0.05;0.029123711340206186;0.5204539643601804;0.31787664477255156;0.3510309278350515;0.20257731958762887;;0.40876288659793814;0.12938144329896908;0.14278350515463917
std;0.6352489264701628;1.9902137994404159;1.3371275242239407;0.5210605145292827;0.4491716023944718;10.488398322154836;0.6210674716998712;0.7078620363678988;10.473427601021083;;2.6868960250113365;0.3668329905558578;0.8314444622690987
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
75%;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;;0.0;0.0;0.0
max;6.0;63.0;34.0;25.0;30.0;900.0645161289999;6.0;14.0;900.0;;88.0;5.0;25.0
