;BuggedMethods;NestedIfElseDepth;NCSSForThisClass;ExecutableStatementCount;NumberOfPrivateMethod;NCSSForThisMethod;NPathComplexity;NCSSForThisFile;ClassDataAbstractionCoupling;FileLength;NumberOfPublicMethods_Checkstyle;ThrowsCount;NestedTryDepth;NumberOfPackageMethod;AnonymousInnerClassLength;NumberOfProtectedMethod;ClassFanOutComplexity;CyclomaticComplexity;BooleanExpressionComplexity;CyclomaticComplexity_Designite;MethodLength;NumberOfMethods_Checkstyle;NestedForDepth
count;5682;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0;5682.0
unique;2;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;
freq;5424;;;;;;;;;;;;;;;;;;;;;;
mean;;0.028335093277015135;4.344244984160507;2.4165786694825764;0.0667018655403027;3.159450897571278;2.131291798662443;4.894051390355509;0.09380499824005632;11.67757831749384;0.48609644491376275;0.2016895459345301;0.0007039774727208729;0.00035198873636043646;0.09873284054910243;0.05103836677226329;0.40390707497360084;0.8447729672650475;0.026399155227032733;0.8187258007743752;5.276311158042943;0.6041886659626892;0.0024639211545230554
std;;0.1906261511869577;36.677610052702924;5.075888766320388;0.9998873368114176;5.665832792881819;62.24293029873832;39.376294359185;0.7409611326477997;91.36427620788834;4.4980662711209485;0.4406041084106675;0.02652556727164854;0.026532573805058433;1.7765320114644096;1.1115560813367473;2.6002868128446845;1.2445331789480392;0.17802141976777788;1.2373128419952288;10.21044358270413;5.352440730736937;0.04958107391950644
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0
75%;;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0
max;;2.0;1310.0;83.0;55.0;90.0;4096.0;1402.0;21.0;3780.0;154.0;5.0;1.0;2.0;107.0;61.0;71.0;31.0;3.0;30.0;188.0;205.0;1.0
