;WMC_CK_std;NOCh;WMC;WMC_CK_max;Bugged;WMC_CK_count;NMIR;WMC_CK_min;DIT;NPM;NORM;WMC_CK_25%;WMC_CK_50%;NMI;WMC_CK_75%;WMC_CK_mean
count;2471.0;2471.0;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;;;;2;;;;;;;;;;;
top;;;;;False;;;;;;;;;;;
freq;;;;;2437;;;;;;;;;;;
mean;0.9446866671223492;0.023067583974099554;15.916632942128693;3.7486847430190204;;6.795629299878592;0.0;1.1938486442735734;0.7616349656009712;5.456900040469446;0.0;1.3180898421691623;1.556252529340348;0.0;2.038243626062323;1.8501423200304616
std;1.504079358375636;0.33529559604340725;27.967337994315635;4.447850466851554;;12.866266233844906;0.0;1.618984849550505;0.42616973806607683;12.621188402925842;0.0;1.6805304955819715;1.8437640713437318;0.0;2.2134581895343413;1.9309948208452659
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;1.0;;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0
50%;0.2773500981126146;0.0;7.0;2.0;;4.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0;0.0;1.0;1.375
75%;1.4478892802884162;0.0;19.0;5.0;;8.0;0.0;1.0;1.0;7.0;0.0;1.0;2.0;0.0;2.75;2.3053613053613056
max;21.361959960016147;6.0;483.0;38.0;;427.0;0.0;35.0;1.0;413.0;0.0;35.0;35.0;0.0;35.0;35.0
