;NumberOfPublicAttributes;Bugged;NumberOfPrivateAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfAncestors;NumberOfAttributes;NumberOfPolymorphicMethods;Cohesion;NumberOfCoupledClasses;NumberOfSubclasses;NumberOfProtectedAttributes
count;289.0;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;2;;;;;;;;;;;;
top;;False;;;;;;;;;;;;
freq;;273;;;;;;;;;;;;
mean;2.110726643598616;;2.342560553633218;0.0;6.532871972318339;0.0657439446366782;7.896193771626297;0.0;4.664359861591696;6.072664359861592;0.28383552470713386;0.020761245674740483;0.0;0.21107266435986158
std;7.090304595842295;;4.662604819044551;0.0;13.755041716618424;0.4238991668456561;16.56184598427261;0.0;8.855013274539582;14.974918156013931;0.3286127149321357;0.14283139494444574;0.0;0.9648772364954583
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;;1.0;0.0;3.0;0.0;4.0;0.0;2.0;1.0;0.16279069767441862;0.0;0.0;0.0
75%;1.0;;3.0;0.0;6.0;0.0;8.0;0.0;4.0;6.0;0.5;0.0;0.0;0.0
max;74.0;;33.0;0.0;110.0;4.0;136.0;0.0;76.0;122.0;1.0;1.0;0.0;9.0
