;MethodLength_mean;AnonymousInnerClassLength_75%;Effort;AnonymousInnerClassLength_std;TotalNumberOfOperators;AnonymousInnerClassLength_count;AnonymousInnerClassLength_min;FileLength_std;TotalNumberOfOperands;Volume;MethodLength_25%;Vocabulary;MethodLength_max;FileLength_50%;NumberOfDistinctOperands;Bugged;FileLength_25%;FileLength_75%;AnonymousInnerClassLength_50%;NumberOfDistinctOperators;Difficulty;Length;FileLength_min;MethodLength_50%;MethodLength_min;MethodLength_count;MethodLength_75%;MethodLength_std;FileLength_count;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_max;FileLength_max;AnonymousInnerClassLength_25%;FileLength_mean
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0
unique;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;538;;;;;;;;;;;;;;;;;;
mean;11.965376403787522;0.10192616372391654;670743.817638298;0.16708158380782911;571.0866773675763;10.062600321027288;0.0;50.398982408409296;372.12359550561797;7374.578095602099;7.25561797752809;110.59871589085073;30.773675762439808;10.58346709470305;89.52327447833066;;8.974719101123595;18.207463884430176;0.03210272873194221;21.075441412520064;35.369152812927155;943.2102728731942;7.365971107544142;9.467897271268058;5.491171749598716;10.062600321027288;13.851524879614768;8.789318350484871;10.062600321027288;0.09009848672638557;0.5906902086677368;188.02247191011236;0.01725521669341894;25.671541355321157
std;14.966930825368575;1.0342041759235159;2625656.194671831;1.3903349428105807;1105.345111549366;17.639046070638916;0.0;46.99438118619588;712.4952907647678;16698.541716439195;11.322789197203422;106.16993051828932;45.53877342110303;24.756617865792055;99.14730841585882;;22.584667042294928;31.4711594811555;0.4699284091083192;9.173344428078565;30.279913843173578;1815.8386790811987;22.17246629030389;14.055062706854422;10.019089612503757;17.639046070638916;19.13133198255236;15.628634654701571;17.639046070638916;0.760129733395048;5.411168931137032;284.93760157837494;0.31794407489324256;23.512311426450008
min;0.0;0.0;390.80933123680984;0.0;12.0;0.0;0.0;0.0;11.0;97.70233280920246;0.0;19.0;0.0;0.0;10.0;;0.0;0.0;0.0;7.0;4.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;3.0;0.0;8455.429618422635;0.0;64.5;2.0;0.0;13.227286004955975;60.0;681.3198406670814;3.0;42.0;3.0;0.0;29.0;;0.0;0.0;0.0;13.0;12.517857142857142;128.5;0.0;3.0;3.0;2.0;3.0;0.0;2.0;0.0;0.0;52.0;0.0;10.975609756097562
50%;8.25;0.0;59966.230539591576;0.0;219.0;5.0;0.0;43.0;153.0;2313.4553116927555;3.0;78.0;17.0;0.0;59.0;;0.0;0.0;0.0;19.0;25.58695652173913;369.0;0.0;3.0;3.0;5.0;7.25;3.1167579202366698;5.0;0.0;0.0;103.0;0.0;19.916666666666668
75%;16.106060606060606;0.0;349250.2904878914;0.0;635.0;11.0;0.0;73.34416295149445;386.5;7342.941042664765;9.0;142.0;43.0;0.0;115.5;;0.0;31.5;0.0;28.0;46.687503534068426;1009.0;0.0;13.0;4.0;11.0;20.0;13.367842045057689;11.0;0.0;0.0;215.0;0.0;33.35185185185185
max;155.5;17.0;31396332.34675321;20.25633452328156;9783.0;178.0;0.0;293.3848987169938;6192.0;155940.78093830054;139.0;868.0;559.0;184.5;815.0;;180.0;276.75;8.0;53.0;201.3349693251534;15975.0;180.0;155.5;139.0;178.0;228.25;205.76807332528531;178.0;10.629629629629632;107.0;3780.0;7.0;184.5
