;all_process_deletions_mean;all_process_changes_min;all_process_insertions_min;all_process_insertions_std;all_process_insertions_count;all_process_insertions_mean;Bugged;all_process_deletions_max;all_process_changes_max;all_process_deletions_count;all_process_count;all_process_insertions_max;all_process_changes_std;all_process_deletions_min;all_process_changes_count;all_process_deletions_std;all_process_changes_mean
count;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;2;;;;;;;;;;
top;;;;;;;False;;;;;;;;;;
freq;;;;;;;409;;;;;;;;;;
mean;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;13.719298245614034;0.0;0.0;0.0;0.0;0.0;0.0
std;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;18.41334838176757;0.0;0.0;0.0;0.0;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0
max;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;193.0;0.0;0.0;0.0;0.0;0.0;0.0
