blamemerge_blamegetEffort_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetVocabulary_max;blamemerge_blamegetDifficulty_count;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;AnonymousInnerClassLength_50%;blame_merge_blame_getDifficulty_count;blame_merge_blame_getLength_std;blame_merge_blame_getDifficulty_mean;MethodLength_25%;NumberOfDistinctOperators;MethodLength_50%;MethodLength_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getLength_count;Length;blamemerge_blamegetVocabulary_std;blamemerge_blamegetVocabulary_count;MethodLength_mean;FileLength_min;blamemerge_blamegetEffort_count;Volume;blame_merge_blame_getVolume_min;FileLength_mean;blamemerge_blamegetVolume_mean;blame_merge_blame_getLength_mean;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_max;blamemerge_blamegetVolume_std;blame_merge_blame_getEffort_max;blamemerge_blamegetEffort_mean;blamemerge_blamegetDifficulty_std;blame_merge_blame_getVolume_mean;blamemerge_blamegetLength_max;NumberOfDistinctOperands;MethodLength_min;blame_merge_blame_getEffort_min;blame_merge_blame_getDifficulty_max;blamemerge_blamegetLength_mean;AnonymousInnerClassLength_mean;blame_merge_blame_getVolume_max;AnonymousInnerClassLength_max;AnonymousInnerClassLength_std;FileLength_25%;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_count;FileLength_std;FileLength_max;blame_merge_blame_getLength_min;blame_merge_blame_getVocabulary_count;blame_merge_blame_getVocabulary_min;Bugged;blamemerge_blamegetLength_std;blame_merge_blame_getVolume_count;blame_merge_blame_getLength_max;blamemerge_blamegetEffort_max;TotalNumberOfOperators;FileLength_75%;Effort;blame_merge_blame_getDifficulty_min;AnonymousInnerClassLength_25%;blamemerge_blamegetDifficulty_max;Vocabulary;AnonymousInnerClassLength_min;AnonymousInnerClassLength_75%;MethodLength_std;blamemerge_blamegetVolume_count;FileLength_50%;blamemerge_blamegetVocabulary_mean;FileLength_count;MethodLength_max;blame_merge_blame_getEffort_std;Difficulty;MethodLength_75%;blamemerge_blamegetLength_count;TotalNumberOfOperands;blame_merge_blame_getEffort_count
5.13738263942101;0.0;7.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;14.0;1.5551403597301237;26.0;0.0;0.0;26.0;50.18947501009619;0.0;0.0;1.2794690114814786;0.0;0.0;25.266194298518442;5.13738263942101;0.0;1.2794690114814786;0.27174648819470304;0.0;9.0;7.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.9022254173629207;0.0;0.0;25.266194298518442;7.0;0.0;125.47368752524048;0.0;0.0;1.0;12.0;0.0;0.0;0.0;26.0;0.0;0.4615384615384616;0.0;0.0;0.0;2.5;0.0;26.0;7.0;0.0
5.13738263942101;0.0;7.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;14.0;1.5551403597301237;26.0;0.0;0.0;26.0;50.18947501009619;0.0;0.0;1.2794690114814786;0.0;0.0;25.266194298518442;5.13738263942101;0.0;1.2794690114814786;0.27174648819470304;0.0;9.0;7.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.9022254173629207;0.0;0.0;25.266194298518442;7.0;0.0;125.47368752524048;0.0;0.0;1.0;12.0;0.0;0.0;0.0;26.0;0.0;0.4615384615384616;0.0;0.0;0.0;2.5;0.0;26.0;7.0;0.0
5.236550180407479;0.0;7.0;25.0;0.0;0.08;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;14.0;1.5842979517754858;25.0;0.0;0.0;25.0;50.18947501009619;0.0;0.0;1.3306477719407377;0.0;0.0;25.266194298518442;5.236550180407479;0.0;1.3306477719407377;0.2768874620972692;0.0;9.0;7.0;0.0;0.0;0.0;0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;1.938212234680884;0.0;0.0;25.266194298518442;7.0;0.0;125.47368752524048;0.0;0.0;1.0;12.0;0.0;0.0;0.0;25.0;0.0;0.48;0.0;0.0;0.0;2.5;0.0;25.0;7.0;0.0
6.598018350523598;0.0;8.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7262676501632068;26.0;0.0;0.0;26.0;59.207035490257475;0.0;0.0;1.5769230769230769;0.0;0.0;33.0;6.598018350523598;0.0;1.5769230769230769;0.27174648819470304;0.0;11.0;8.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.264101112175392;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;26.0;0.0;0.5;0.0;0.0;0.0;2.5;0.0;26.0;8.0;0.0
6.598018350523598;0.0;8.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7262676501632068;26.0;0.0;0.0;26.0;59.207035490257475;0.0;0.0;1.5769230769230769;0.0;0.0;33.0;6.598018350523598;0.0;1.5769230769230769;0.27174648819470304;0.0;11.0;8.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.264101112175392;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;26.0;0.0;0.5;0.0;0.0;0.0;2.5;0.0;26.0;8.0;0.0
6.726068688320093;0.0;8.0;25.0;0.0;0.08;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7587874611030558;25.0;0.0;0.0;25.0;59.207035490257475;0.0;0.0;1.64;0.0;0.0;33.0;6.726068688320093;0.0;1.64;0.2768874620972692;0.0;11.0;8.0;0.0;0.0;0.0;0.64;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.3072349974229613;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;25.0;0.0;0.52;0.0;0.0;0.0;2.5;0.0;25.0;8.0;0.0
6.598018350523598;0.0;8.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7262676501632068;26.0;0.0;0.0;26.0;59.207035490257475;0.0;0.0;1.5769230769230769;0.0;0.0;33.0;6.598018350523598;0.0;1.5769230769230769;0.27174648819470304;0.0;11.0;8.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.264101112175392;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;26.0;0.0;0.5;0.0;0.0;0.0;2.5;0.0;26.0;8.0;0.0
6.598018350523598;0.0;8.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7262676501632068;26.0;0.0;0.0;26.0;59.207035490257475;0.0;0.0;1.5769230769230769;0.0;0.0;33.0;6.598018350523598;0.0;1.5769230769230769;0.27174648819470304;0.0;11.0;8.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.264101112175392;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;26.0;0.0;0.5;0.0;0.0;0.0;2.5;0.0;26.0;8.0;0.0
6.598018350523598;0.0;8.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7262676501632068;26.0;0.0;0.0;26.0;59.207035490257475;0.0;0.0;1.5769230769230769;0.0;0.0;33.0;6.598018350523598;0.0;1.5769230769230769;0.27174648819470304;0.0;11.0;8.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.264101112175392;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;26.0;0.0;0.5;0.0;0.0;0.0;2.5;0.0;26.0;8.0;0.0
6.598018350523598;0.0;8.0;26.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;16.0;1.7262676501632068;26.0;0.0;0.0;26.0;59.207035490257475;0.0;0.0;1.5769230769230769;0.0;0.0;33.0;6.598018350523598;0.0;1.5769230769230769;0.27174648819470304;0.0;11.0;8.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;2.264101112175392;0.0;0.0;33.0;8.0;0.0;148.0175887256437;0.0;0.0;1.0;13.0;0.0;0.0;0.0;26.0;0.0;0.5;0.0;0.0;0.0;2.5;0.0;26.0;8.0;0.0
