;blamemerge_blamegetEffort_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetVocabulary_max;blamemerge_blamegetDifficulty_count;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;AnonymousInnerClassLength_50%;blame_merge_blame_getDifficulty_count;blame_merge_blame_getLength_std;blame_merge_blame_getDifficulty_mean;MethodLength_25%;NumberOfDistinctOperators;MethodLength_50%;MethodLength_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getLength_count;Length;blamemerge_blamegetVocabulary_std;blamemerge_blamegetVocabulary_count;MethodLength_mean;FileLength_min;blamemerge_blamegetEffort_count;Volume;blame_merge_blame_getVolume_min;FileLength_mean;blamemerge_blamegetVolume_mean;blame_merge_blame_getLength_mean;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_max;blamemerge_blamegetVolume_std;blame_merge_blame_getEffort_max;blamemerge_blamegetEffort_mean;blamemerge_blamegetDifficulty_std;blame_merge_blame_getVolume_mean;blamemerge_blamegetLength_max;NumberOfDistinctOperands;MethodLength_min;blame_merge_blame_getEffort_min;blame_merge_blame_getDifficulty_max;blamemerge_blamegetLength_mean;AnonymousInnerClassLength_mean;blame_merge_blame_getVolume_max;AnonymousInnerClassLength_max;AnonymousInnerClassLength_std;FileLength_25%;blame_merge_blame_getDifficulty_std;AnonymousInnerClassLength_count;FileLength_std;FileLength_max;blame_merge_blame_getLength_min;blame_merge_blame_getVocabulary_count;blame_merge_blame_getVocabulary_min;Bugged;blamemerge_blamegetLength_std;blame_merge_blame_getVolume_count;blame_merge_blame_getLength_max;blamemerge_blamegetEffort_max;TotalNumberOfOperators;FileLength_75%;Effort;blame_merge_blame_getDifficulty_min;AnonymousInnerClassLength_25%;blamemerge_blamegetDifficulty_max;Vocabulary;AnonymousInnerClassLength_min;AnonymousInnerClassLength_75%;MethodLength_std;blamemerge_blamegetVolume_count;FileLength_50%;blamemerge_blamegetVocabulary_mean;FileLength_count;MethodLength_max;blame_merge_blame_getEffort_std;Difficulty;MethodLength_75%;blamemerge_blamegetLength_count;TotalNumberOfOperands;blame_merge_blame_getEffort_count
count;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1842;;;;;;;;;;;;;;;;;;;;;;;;;
mean;70.50242687667274;0.0;15.724560468833245;2187.898241875333;0.0;0.796301671053313;0.0;0.06393180607352157;0.0;0.0;0.0;3.785961640916356;20.45764517847629;4.4493873201917955;2.5119872136387853;0.0;0.0;720.5546084176877;4.0358541423214565;2187.898241875333;4.94922211364521;8.769845498135322;2187.898241875333;5511.237999389983;0.0;18.052567013787723;12.986427140152385;0.0;0.0;91.79048614442793;19.437784422399677;0.0;35.24005073187447;1.1010117007597893;0.0;22.67980820458178;79.94459243473628;3.3052743740010655;0.0;0.0;4.063840305932876;0.1691233798339399;0.0;0.6968566862013852;0.2694854283193593;10.209909429941396;0.0;2.5119872136387853;19.546277980507245;55.75173148641449;0.0;0.0;0.0;;5.3419082229794865;0.0;0.0;438.6958603064478;422.6521044219499;16.830181140117208;442145.6909462511;0.0;0.03396377197655834;4.534184191667798;100.40223761321258;0.02557272242940863;0.19712306872669152;2.028203719760102;2187.898241875333;11.649973361747469;3.2943920679095826;2.5119872136387853;8.14917421417155;0.0;32.381076982558284;5.616009589770911;2187.898241875333;297.9025039957379;0.0
std;79.0978560514657;0.0;5.754232601928182;8085.062467289967;0.0;0.5146763254148556;0.0;1.0910881931542014;0.0;0.0;0.0;6.445263115295873;10.701659865467915;7.181462001531027;4.3454863654718405;0.0;0.0;1190.2899159602198;1.2275570997485556;8085.062467289967;7.457702130570531;25.931254175218438;8085.062467289967;10283.674760807055;0.0;26.689659384980356;9.664115550152612;0.0;0.0;58.96925696912918;10.526576800846334;0.0;41.47148997182105;0.45602955296260356;0.0;11.673429562288492;86.8179916037288;6.12424999906204;0.0;0.0;2.644567721287263;1.3563736246045464;0.0;4.320237462776866;1.6519079615387513;25.9369537673066;0.0;4.3454863654718405;30.144922494473498;90.38252723660842;0.0;0.0;0.0;;2.243949402253189;0.0;0.0;486.3591023363864;711.514872333909;29.435813476089866;1302948.8788407934;0.0;0.9528873498261407;2.058866730175938;95.80475912668975;0.9414559419771638;1.8730625334023903;4.655985059160332;8085.062467289967;26.910145561994522;1.9728161905516466;4.3454863654718405;13.658534341276498;0.0;29.214409460100565;8.710566072704129;8085.062467289967;479.6275691565342;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;-0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;29.53194763298495;0.0;11.0;44.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;88.0;3.3681452168653587;44.0;0.0;0.0;44.0;462.9591185537809;0.0;0.0;6.602446659405753;0.0;0.0;51.806156053975286;13.832822361003931;0.0;12.07673284649324;0.7886956423909863;0.0;15.0;25.0;0.0;0.0;0.0;2.2181818181818183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;4.217843420486308;0.0;0.0;141.26012442768962;46.0;0.0;4939.133465222594;0.0;0.0;3.0;39.0;0.0;0.0;0.0;44.0;0.0;1.825;0.0;0.0;0.0;10.652173913043477;0.0;44.0;42.0;0.0
50%;62.67466570569312;0.0;15.0;109.0;0.0;0.7978142076502732;0.0;0.0;0.0;0.0;0.0;3.0;19.0;3.0;1.0;0.0;0.0;276.0;4.265508882850751;109.0;3.0;0.0;109.0;1673.1291632187122;0.0;11.888888888888891;11.843621978745114;0.0;0.0;77.70923408096293;19.28373245191336;0.0;29.49340599341162;1.2099281806461593;0.0;20.0;47.0;3.0;0.0;0.0;3.7794117647058822;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;37.0;0.0;0.0;0.0;;5.4786780578764125;0.0;0.0;337.58546975577417;153.0;0.0;40485.88372267172;0.0;0.0;4.666666666666667;68.0;0.0;0.0;0.0;109.0;0.0;3.133116883116883;1.0;3.0;0.0;23.65;3.0;109.0;120.0;0.0
75%;91.29130602420423;0.0;19.0;400.0;0.0;1.1599706959706961;0.0;0.0;0.0;0.0;0.0;5.0;28.0;6.0;3.0;0.0;0.0;799.0;4.804306500083603;400.0;7.166666666666668;0.0;400.0;5575.193197753748;0.0;30.0;17.179383118852357;0.0;0.0;116.75790004038471;23.77796885276873;0.0;47.193824307503604;1.3944664438148204;0.0;28.0;103.0;3.0;0.0;0.0;5.491228070175438;0.0;0.0;0.0;0.0;0.0;0.0;3.0;36.4159992311072;74.0;0.0;0.0;0.0;;6.326679311767451;0.0;0.0;544.5629399558077;482.0;34.5;260862.1356558688;0.0;0.0;5.7142857142857135;130.0;0.0;0.0;1.4142135623730951;400.0;0.0;4.523809523809524;3.0;11.0;0.0;44.79856115107913;8.0;400.0;337.0;0.0
