;NumberOfMethods_Checkstyle_mean;NCSSForThisClass_count;NumberOfMethods_Checkstyle_25%;FileLength_mean;NPathComplexity_25%;NumberOfPublicMethods_Checkstyle_min;ThrowsCount_count;NumberOfPublicMethods_Checkstyle_25%;NestedTryDepth_std;NumberOfMethods_Checkstyle_75%;NestedForDepth_max;CyclomaticComplexity_25%;MethodLength_75%;NCSSForThisMethod_count;FileLength_25%;NumberOfPrivateMethod_max;NumberOfProtectedMethod_std;AnonymousInnerClassLength_max;NestedIfElseDepth_max;NumberOfPrivateMethod_std;NCSSForThisFile_max;NumberOfPrivateMethod_75%;ClassFanOutComplexity_75%;NestedTryDepth_50%;CyclomaticComplexity_min;AnonymousInnerClassLength_mean;NestedTryDepth_max;AnonymousInnerClassLength_75%;NumberOfProtectedMethod_75%;ClassFanOutComplexity_count;NumberOfPublicMethods_Checkstyle_count;NCSSForThisFile_50%;NCSSForThisMethod_max;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_max;NestedForDepth_75%;AnonymousInnerClassLength_std;AnonymousInnerClassLength_count;CyclomaticComplexity_std;NumberOfPublicMethods_Checkstyle_mean;BooleanExpressionComplexity_25%;NumberOfMethods_Checkstyle_std;ClassFanOutComplexity_max;ClassDataAbstractionCoupling_75%;NestedForDepth_50%;ExecutableStatementCount_std;NCSSForThisFile_25%;NumberOfPublicMethods_Checkstyle_50%;BooleanExpressionComplexity_75%;NumberOfPackageMethod_min;NCSSForThisMethod_25%;Bugged;AnonymousInnerClassLength_25%;NPathComplexity_std;NCSSForThisFile_std;NumberOfProtectedMethod_mean;ExecutableStatementCount_count;ExecutableStatementCount_mean;BooleanExpressionComplexity_std;ThrowsCount_75%;NumberOfPackageMethod_mean;MethodLength_count;NumberOfPackageMethod_std;ThrowsCount_50%;NPathComplexity_min;BooleanExpressionComplexity_count;NestedForDepth_count;ThrowsCount_max;NPathComplexity_count;NestedIfElseDepth_mean;ExecutableStatementCount_25%;BooleanExpressionComplexity_50%;CyclomaticComplexity_75%;NumberOfPrivateMethod_mean;CyclomaticComplexity_max;AnonymousInnerClassLength_50%;ExecutableStatementCount_75%;NCSSForThisClass_min;BooleanExpressionComplexity_mean;NCSSForThisFile_75%;ClassFanOutComplexity_mean;NumberOfMethods_Checkstyle_50%;AnonymousInnerClassLength_min;MethodLength_mean;CyclomaticComplexity_mean;NPathComplexity_max;NumberOfMethods_Checkstyle_max;NumberOfProtectedMethod_count;NCSSForThisFile_count;FileLength_75%;NestedTryDepth_75%;ClassDataAbstractionCoupling_count;ThrowsCount_min;NumberOfProtectedMethod_min;ClassDataAbstractionCoupling_mean;FileLength_50%;NCSSForThisClass_mean;NumberOfProtectedMethod_25%;NestedIfElseDepth_min;ThrowsCount_25%;ExecutableStatementCount_max;ClassDataAbstractionCoupling_25%;NumberOfMethods_Checkstyle_count;NCSSForThisClass_max;NCSSForThisMethod_50%;NumberOfPublicMethods_Checkstyle_std;BooleanExpressionComplexity_min;NumberOfPrivateMethod_50%;CyclomaticComplexity_count;NCSSForThisClass_25%;ClassDataAbstractionCoupling_min;NestedTryDepth_min;NestedIfElseDepth_75%;NumberOfPackageMethod_50%;NCSSForThisFile_mean;NCSSForThisMethod_75%;ClassFanOutComplexity_min;NCSSForThisMethod_std;ThrowsCount_std;ClassDataAbstractionCoupling_std;NCSSForThisClass_75%;NumberOfProtectedMethod_50%;NumberOfPackageMethod_count;MethodLength_std;NestedTryDepth_25%;MethodLength_25%;ThrowsCount_mean;NestedIfElseDepth_25%;NPathComplexity_mean;NumberOfPrivateMethod_25%;NCSSForThisClass_50%;FileLength_min;NumberOfPackageMethod_75%;NPathComplexity_75%;NumberOfMethods_Checkstyle_min;MethodLength_50%;MethodLength_min;NumberOfPackageMethod_25%;CyclomaticComplexity_50%;NPathComplexity_50%;NumberOfPrivateMethod_min;NCSSForThisClass_std;ClassDataAbstractionCoupling_50%;NestedForDepth_25%;NumberOfPackageMethod_max;ClassFanOutComplexity_std;FileLength_count;NumberOfPrivateMethod_count;NumberOfPublicMethods_Checkstyle_75%;NCSSForThisFile_min;FileLength_max;NestedIfElseDepth_std;NestedTryDepth_count;NestedForDepth_min;ClassDataAbstractionCoupling_max;MethodLength_max;FileLength_std;NestedTryDepth_mean;NestedForDepth_mean;ExecutableStatementCount_min;ExecutableStatementCount_50%;ClassFanOutComplexity_25%;NumberOfProtectedMethod_max;NestedForDepth_std;NCSSForThisMethod_mean;NCSSForThisMethod_min;BooleanExpressionComplexity_max;NestedIfElseDepth_count;ClassFanOutComplexity_50%
count;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.8077743905172767;6.850667745851882;0.20113314447592068;18.719596244138323;11.831748280048563;0.12909753136382032;6.850667745851882;0.16946580331849453;0.009577583477811319;0.5213476325374342;0.08012950222581951;1.3522865236746258;10.767199514366654;6.850667745851882;6.413597733711049;0.867664912990692;0.08410328400062737;2.198704977741805;0.2375556454876568;0.2477632896061832;58.17442331040065;0.03702954269526507;1.3537029542695265;0.003642250101173614;1.217320922703359;0.31727759909159015;0.029947389720760824;0.1856535815459328;0.04026709834075273;6.850667745851882;6.850667745851882;3.0297450424929178;13.7146904087414;0.026912181303116147;4.852691218130311;0.014265479562929988;0.7040700700943666;6.850667745851882;0.9521458783584315;0.6597011954298448;0.03055443140428976;1.7321410654262905;6.67867260218535;0.27529340348037235;0.006475111290975314;3.2067925351434563;2.4833063537029543;0.2159044921084581;0.08427762039660057;0.0004046944556859571;4.092978551193848;;0.037535410764872525;44.03159682077245;17.613718318012936;0.050807921306726456;6.850667745851882;4.623147512229052;0.109107935793748;0.198097936058276;0.011192342225797364;6.850667745851882;0.034654528668344516;0.14204775394577093;10.753541076487252;6.850667745851882;6.850667745851882;0.32254148118170783;6.850667745851882;0.05873746715369122;2.786827195467422;0.04107648725212465;2.0731485228652367;0.09083939631384536;3.8053419668150545;0.056454876568191016;5.5319708619991905;1.6151355726426548;0.0803736445377643;5.7421084581141235;1.531560096384432;0.25617159044921084;0.025900445163901255;9.27412635387765;1.8834085879827047;149.014164305949;6.030352084176447;6.850667745851882;6.850667745851882;13.48573452043707;0.006373937677053824;6.850667745851882;0.07284500202347227;0.017806556050182113;0.3421490463116979;7.680291380008094;7.297110890056893;0.021448806151355727;0.012950222581950627;0.10309591258599757;10.457709429380817;0.11685552407932011;6.850667745851882;49.19506272764063;5.192836908134359;1.3919260307777805;0.023067583974099554;0.01396195872116552;6.850667745851882;2.0769931201942535;0.0906515580736544;0.0024281667341157424;0.06373937677053824;0.0006070416835289356;8.641822024934799;7.375657628490489;0.4989882638607851;3.9348590750505914;0.11230055044042096;0.5914269312974454;5.070619182517199;0.02509105625252934;6.850667745851882;5.873353374711175;0.003035208417644678;5.903783893160663;0.1603726091254736;0.018919465803318495;28.46129234626229;0.010117361392148928;2.586806960744638;5.146904087414002;0.002225819506272764;20.807264265479564;0.15337919870497774;7.511938486442736;4.857547551598543;0.0005058680696074464;1.5799271549979765;13.07749898826386;0.006475111290975314;14.588543211021323;0.14467826790772967;0.00424929178470255;0.1282881424524484;2.286200976200312;6.850667745851882;6.850667745851882;0.43717118575475516;1.9368676649129908;112.75637393767705;0.08589735913231186;6.850667745851882;0.0024281667341157424;1.7778227438284095;20.36058276001619;34.5983471135493;0.006732657959987389;0.015597089443674831;2.142452448401457;3.7227842978551196;0.6200930797248078;0.2877377579927155;0.0276169820203303;6.343612736058426;3.3375151760420882;0.311614730878187;6.850667745851882;0.7565762849048968
std;0.5815690587530781;12.950730309362395;0.5435160040310139;18.899733506562605;288.1762376078233;0.42958311751772965;12.950730309362395;0.4413352462002276;0.06357438507868224;0.7805353224736266;0.3039113168105814;1.7263391306415745;12.906888112054778;12.950730309362395;17.598873987675113;2.2211466589092645;0.3212559759404524;9.014954643763936;0.5329449296275239;0.5378647727666305;103.91831076946661;0.22427282117358582;2.5134346403845864;0.0635241028217437;1.6692380700842955;1.4637328820047244;0.17745831826351918;1.5789472636292157;0.25767052347926606;12.950730309362395;12.950730309362395;8.958486437267807;15.877719177852786;0.1658743731544133;11.471605142079694;0.10752956818744146;2.7783720942047334;12.950730309362395;1.532703968935589;0.5146604739811097;0.1968302876007511;1.679325042933416;7.994554473718538;0.7388631058478892;0.073645386846585;4.806420632931603;8.108200449494717;0.5006331834755031;0.2991294288487912;0.020117019055664216;6.419726231688012;;0.8151106059050699;322.3779844436801;21.30244533790202;0.24896613096567946;12.950730309362395;5.920928364363918;0.23995773001983217;0.42458889871823874;0.06720359624024023;12.950730309362395;0.19822081164087274;0.37326724552930457;287.7163589388313;12.950730309362395;12.950730309362395;0.5568616657452645;12.950730309362395;0.1808326452602919;5.116186456371711;0.22771593973207158;2.2671269789451083;0.23837712306596723;4.520818666055014;0.9234626232205171;7.108281914931806;6.700685623556904;0.23760700354405292;11.803107583578472;2.004408324271628;0.6017327823835094;0.777294792818736;11.208431293620789;1.9821798632983891;959.1094567366753;12.517206353505141;12.950730309362395;12.950730309362395;23.73818423012294;0.07684863528769746;12.950730309362395;0.2935803689808313;0.21784415884766187;0.6248133251657788;19.182053756358428;8.657577803283965;0.22051945783765067;0.12659603398527397;0.32196814806421714;13.148318200906749;0.4958105731651829;12.950730309362395;101.59347419940403;7.0973241012431325;1.4901845188392693;0.1840669079564447;0.16986337975868857;12.950730309362395;6.844729334273695;0.4794117730872876;0.0568591946480997;0.24609175748217182;0.02248786841161833;9.887908576700891;8.445277728618729;1.7678811708582574;5.599743785869222;0.2310325460490124;0.9543645044781628;10.214940573101948;0.2289249249427811;12.950730309362395;8.586243404521207;0.058583951101535234;9.931657907608617;0.344057602586443;0.13802102605427494;322.1432129027716;0.16112216046589267;7.474873698225353;17.29179995473585;0.04142090649691914;329.2680896429657;0.5334439642855826;10.815519622389273;9.601869266776141;0.020734173174055848;1.878545434679993;289.6258565895669;0.15830120193525865;19.46044073322833;0.5517830938705636;0.05539838213725518;0.779372907590495;2.6637476743684902;12.950730309362395;12.950730309362395;0.6757986208529366;7.894141510291326;190.9803510010016;0.20436637204899133;12.950730309362395;0.049226531635289984;3.0222538099313323;24.56769315313774;37.151454798454836;0.06686339555377176;0.08079681052923524;4.774165324940417;5.841725080886657;1.802865451853383;1.3623655382995512;0.11088646654608553;7.25648540714414;6.124303227101198;0.6709883510889615;12.950730309362395;1.9689215522964052
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.6568627450980392;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;0.14285714285714285;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.08514492753623187;0.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0
50%;1.0;4.0;0.0;15.666666666666664;0.5;0.0;4.0;0.0;0.0;0.0;0.0;1.0;7.5;4.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;9.0;0.0;2.0;0.0;0.0;4.0;0.2672612419124244;0.8125;0.0;1.7320508075688772;4.0;0.0;0.0;1.2516655570345725;0.0;0.0;0.0;0.0;2.0;;0.0;0.5773502691896257;12.074767078498864;0.0;4.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;3.25;0.0;0.0;0.0;1.0;0.0;0.0;6.625;1.4;2.0;3.0;4.0;4.0;0.0;0.0;4.0;0.0;0.0;0.01405152224824356;0.0;5.5;0.0;0.0;0.0;6.0;0.0;4.0;22.0;3.0;1.378954368902449;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;6.357142857142858;5.0;0.0;1.7888543819998317;0.0;0.0;0.0;0.0;4.0;2.6583202716502514;0.0;3.0;0.0;0.0;1.2;0.0;0.0;0.0;0.0;1.0;0.0;4.0;3.0;0.0;1.0;1.0;0.0;9.814954576223636;0.0;0.0;0.0;1.4142135623730951;4.0;4.0;0.0;0.0;70.0;0.0;4.0;0.0;1.0;13.0;32.25161494664518;0.0;0.0;1.0;1.5;0.0;0.0;0.0;4.5;2.0;0.0;4.0;0.0
75%;1.0;8.0;0.0;26.6;1.0;0.0;8.0;0.0;0.0;1.0;0.0;1.0;15.0;8.0;0.0;1.0;0.0;0.0;0.0;0.2773500981126146;73.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;19.0;0.0;5.0;0.0;0.0;8.0;1.416753956946608;1.0;0.0;2.6457513110645907;10.0;0.0;0.0;4.8141199856474035;0.0;0.0;0.0;0.0;4.5;;0.0;2.8284271247461903;27.5;0.0;8.0;6.5;0.0;0.0;0.0;8.0;0.0;0.0;1.0;8.0;8.0;1.0;8.0;0.0;3.0;0.0;2.75;0.07692307692307693;5.0;0.0;8.0;0.0;0.0;6.75;2.0;0.0;0.0;12.44949494949495;2.333333333333333;9.0;7.0;8.0;8.0;24.75;0.0;8.0;0.0;0.0;0.5;0.0;10.0;0.0;0.0;0.0;15.0;0.0;8.0;58.0;6.5;2.23606797749979;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;12.401785714285714;10.5;0.0;6.019762296899724;0.0;0.8944271909999161;7.0;0.0;8.0;8.884510273480501;0.0;6.5;0.12916666666666665;0.0;3.3229166666666665;0.0;0.0;0.0;0.0;3.0;0.0;9.5;4.0;0.0;2.0;2.0;0.0;21.930624831870478;0.0;0.0;0.0;3.795426547458564;8.0;8.0;1.0;0.0;140.0;0.0;8.0;0.0;2.0;28.0;53.716845202406404;0.0;0.0;1.0;5.0;0.0;0.0;0.0;8.6;3.0;0.0;8.0;0.0
