;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;7760;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;7667;;;;;;;;;;;;;;;;;;;;;;7606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;6.243814432989691;0.023324742268041238;0.042268041237113405;0.8534793814432989;3.7675257731958762;14.34806701030928;0.0970360824742268;4.885051546391753;0.021778350515463916;0.01404639175257732;0.05670103092783505;3.1082474226804124;6.277319587628866;12.774355670103093;0.11224226804123712;0.448840206185567;0.3743556701030928;0.5998711340206185;0.0006443298969072165;0.24510309278350514;0.01804123711340206;;1.2018041237113402;0.8609536082474227;2.1725515463917526;4.576417525773196;0.2658505154639175;0.9493556701030927;0.18041237113402062;0.1711340206185567;0.11649484536082474;0.0034793814432989693;0.04922680412371134;1.147422680412371;0.668041237113402;1.229639175257732;0.36997422680412373;0.19574742268041237;0.006572164948453608;0.0;0.0;6.76159793814433;1.073582474226804;0.03762886597938144;0.5204539643601804;0.31787664477255156;0.05;0.029123711340206186;0.32899484536082474;0.40876288659793814;0.3510309278350515;0.26597938144329897;0.12938144329896908;0.14278350515463917;0.20257731958762887;0.44484536082474224;0.5195876288659794;2.5463917525773194;0.6896907216494845;2.0788659793814435
std;;34.32315872010364;0.17834072966918132;0.27950024502073095;1.8132421659994709;9.49074896023056;317.81757818049675;0.3336851361091414;26.87426741324315;0.5231241792502156;0.2685252414521612;0.5724989647332707;8.681851306111154;16.280396865846846;68.88463292547381;1.2668880815114116;2.8439159472317197;2.509409968764114;2.7855101639474538;0.02537711026276941;1.2987653092305003;0.1570913552001145;;2.738412175462353;1.835093768231113;5.448820490022489;10.790275275525445;0.5663310110699302;3.2119584355448634;0.48103920997968025;0.7639862307466883;0.651832621292009;0.058887368929941446;0.3308269876970865;4.963240936587077;2.747783186611404;3.8675183958577457;1.569739130429288;0.5832719511157975;0.12470603122730527;0.0;0.0;12.199521414625929;16.626233060361198;0.3229049520916688;10.488398322154836;0.6210674716998712;0.5210605145292827;0.4491716023944718;0.6352489264701628;2.6868960250113365;0.7078620363678988;1.9902137994404159;0.3668329905558578;0.8314444622690987;10.473427601021083;1.3371275242239407;1.4247921132942427;8.6338598787185;1.2210707165318009;7.738689962649354
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0
