;NumberOfVariables;CBO;NumberOfUniqueWords;IsConstructor;BuggedMethods;Returns;NumberOfNumbers;NumberOfModifiers;NumberOfLoops;WMC_CK;NumberOfParameters_CK;NumberOfAnonymousClasses;LOCMethod_CK;NumberOfLambdas;NumberOfMathOperations;NumberOfLogStatements;NumberOfStringLiterals;NumberOfParenthesizedExps;NumberOfTryCatch;MaxNumberOfNestedBlocks;RFC;NumberOfAssignments;NumberOfInnerClasses;NumberOfComparisons
count;1228.0;1228.0;1228.0;1228;1228;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0
unique;;;;2;2;;;;;;;;;;;;;;;;;;;
top;;;;False;False;;;;;;;;;;;;;;;;;;;
freq;;;;1155;1186;;;;;;;;;;;;;;;;;;;
mean;0.7141693811074918;0.5716612377850163;10.004071661237784;;;0.2711726384364821;0.5154723127035831;1.0;0.05618892508143322;0.8851791530944625;0.21986970684039087;0.0;5.162866449511401;0.0;0.24674267100977199;0.008143322475570033;3.4185667752442996;0.06270358306188925;0.0016286644951140066;0.1490228013029316;1.525244299674267;0.9543973941368078;0.0;0.13355048859934854
std;1.8241058706104145;0.9974269305185467;12.072214780897989;;;0.7192200743888855;2.767653719615629;2.1098596499438744;0.2602784606410224;1.3982205073860539;0.44651615214502755;0.0;15.458265361252204;0.0;1.1094309248090244;0.1396192481506466;27.90852528822087;0.35903954113438624;0.040340266982101934;0.5040413911684776;2.832201810594233;2.208645355528332;0.0;0.5920539578909728
min;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;6.0;;;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;17.0;;;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0
max;20.0;6.0;70.0;;;9.0;59.0;36.0;3.0;19.0;3.0;0.0;474.0;0.0;21.0;3.0;944.0;6.0;1.0;5.0;23.0;21.0;0.0;7.0
