;NumberOfComparisons;Maximum Depth;ClassDataAbstractionCoupling;RFC;NumberOfInnerClasses;NumberOfAssignments;NumberOfParameters_CK;NumberOfLoops;NumberOfLambdas;NPathComplexity;NumberOfUniqueWords;NumberOfPublicMethods_Checkstyle;NCSSForThisMethod;BooleanExpressionComplexity;NestedIfElseDepth;LOCMethod_CK;NumberOfModifiers;NumberOfPrivateMethod;NestedForDepth;MaxNumberOfNestedBlocks;NumberOfMethods_Checkstyle;NestedTryDepth;CyclomaticComplexity;FileLength;Returns;ClassFanOutComplexity;BuggedMethods;NumberOfMathOperations;NumberOfNumbers;NumberOfAnonymousClasses;NumberOfLogStatements;NumberOfTryCatch;CBO;MethodLength;NumberOfVariables;NCSSForThisClass;NumberOfPackageMethod;NumberOfParenthesizedExps;AnonymousInnerClassLength;IsConstructor;WMC_CK;ThrowsCount;NumberOfStringLiterals;NCSSForThisFile;ExecutableStatementCount;NumberOfProtectedMethod
count;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;False;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;7671;;;;;;;;;;;;;7926;;;;;;
mean;0.12828704841484395;0.8379208650774146;0.17645613172769722;1.665274023101499;0.0;0.7324895551732612;0.1880068812976161;0.045465716392233964;0.01437699680511182;13.401695748341115;5.860162202015237;0.4818137134431064;2.7037355615630374;0.01572868026542148;0.012410911771934137;3.530228557385107;0.8914966822315065;0.03821577783239125;0.0036864094372081593;0.12644384369623987;0.530842958957975;0.0004915212582944212;0.7741459818137134;10.80744654706316;0.2973703612681248;0.5830670926517572;;0.1458589333988695;0.4814450724993856;0.014868518063406243;0.015605799950847874;0.0038092897517817644;1.0410420250675843;4.3463996067829935;0.5436225116736298;4.137748832637012;0.009093143278446793;0.0462029982796756;0.16281641681002704;;0.7815188006881297;0.15396903416072746;1.1151388547554681;4.963750307200787;2.0269107888916196;0.012288031457360531
std;1.0025203780720182;1.2026565991767797;1.4641095206859467;3.6554004391476576;0.0;1.9084564295315858;0.459272775501825;0.298531427599677;0.22208135718475056;315.0878433157301;9.067570039474786;2.507793148429318;4.901621655683576;0.14368298066927887;0.1347492757808553;6.32347740143544;2.3159866093067536;0.5212829218502867;0.06260241231287651;0.4289065531877595;2.7180559676895686;0.027150154201548343;1.4436650065615664;65.32044198545191;0.7468226684009398;2.9050000046612987;;1.1813483009020609;2.5385245605118563;0.14840138239901532;0.2914154291840155;0.06547386568948174;1.7974177524508026;9.112682676403837;1.631575719223603;34.20629494238543;0.25887873941329304;0.45743320400329424;1.2548672964248304;;1.405564024971261;0.38817421141713737;5.316724314883059;37.0038681906598;4.405342519116169;0.2088055406893492
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;1.0;0.0
75%;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;8.0;0.0;3.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;2.0;0.0
max;45.0;8.0;91.0;73.0;0.0;31.0;10.0;8.0;11.0;10000.0;154.0;108.0;96.0;3.0;5.0;140.0;41.0;32.0;2.0;7.0;108.0;2.0;45.0;3237.0;23.0;98.0;;46.0;138.0;5.0;16.0;2.0;19.0;234.0;31.0;2331.0;18.0;20.0;44.0;;36.0;8.0;164.0;2340.0;87.0;10.0
