;IsConstructor_count;NumberOfUniqueWords_mean;NumberOfMathOperations_75%;NumberOfModifiers_min;LOCMethod_CK_mean;NumberOfModifiers_count;NumberOfStringLiterals_75%;NumberOfMathOperations_count;NumberOfAnonymousClasses_min;LOCMethod_CK_25%;CBO_75%;NumberOfAnonymousClasses_std;NumberOfLoops_count;NumberOfLogStatements_max;Returns_50%;NumberOfStringLiterals_50%;NumberOfLoops_max;CBO_50%;NumberOfNumbers_75%;LOCMethod_CK_max;NumberOfAssignments_50%;NumberOfParameters_CK_count;NumberOfUniqueWords_count;LOCMethod_CK_std;NumberOfComparisons_25%;NumberOfNumbers_mean;WMC_CK_min;NumberOfMathOperations_50%;CBO_max;NumberOfNumbers_std;NumberOfParenthesizedExps_max;NumberOfAnonymousClasses_count;IsConstructor_unique;NumberOfTryCatch_75%;NumberOfLambdas_75%;NumberOfInnerClasses_count;RFC_min;LOCMethod_CK_count;NumberOfParenthesizedExps_50%;NumberOfNumbers_max;NumberOfTryCatch_mean;NumberOfAssignments_std;NumberOfVariables_50%;LOCMethod_CK_min;NumberOfLoops_50%;NumberOfComparisons_50%;RFC_mean;NumberOfVariables_std;NumberOfInnerClasses_75%;NumberOfParameters_CK_max;NumberOfLogStatements_50%;NumberOfStringLiterals_max;NumberOfModifiers_50%;NumberOfMathOperations_mean;CBO_min;CBO_count;WMC_CK_50%;NumberOfStringLiterals_std;CBO_mean;NumberOfInnerClasses_25%;MaxNumberOfNestedBlocks_mean;NumberOfLoops_std;NumberOfUniqueWords_min;NumberOfParenthesizedExps_75%;NumberOfMathOperations_25%;WMC_CK_25%;NumberOfMathOperations_std;NumberOfInnerClasses_50%;NumberOfVariables_mean;NumberOfComparisons_max;NumberOfLambdas_mean;NumberOfTryCatch_max;NumberOfNumbers_count;NumberOfParenthesizedExps_count;NumberOfMathOperations_min;IsConstructor_top;NumberOfModifiers_75%;NumberOfNumbers_25%;Returns_std;MaxNumberOfNestedBlocks_75%;NumberOfComparisons_75%;NumberOfTryCatch_25%;NumberOfAssignments_count;NumberOfLogStatements_std;NumberOfAssignments_mean;Returns_max;NumberOfStringLiterals_mean;NumberOfAssignments_75%;MaxNumberOfNestedBlocks_min;NumberOfParameters_CK_50%;NumberOfUniqueWords_std;NumberOfParameters_CK_mean;NumberOfModifiers_25%;NumberOfAssignments_max;WMC_CK_max;NumberOfLogStatements_75%;NumberOfAssignments_25%;NumberOfLambdas_50%;RFC_max;NumberOfNumbers_min;NumberOfAssignments_min;NumberOfVariables_count;NumberOfLoops_min;NumberOfInnerClasses_min;NumberOfVariables_75%;NumberOfInnerClasses_max;MaxNumberOfNestedBlocks_count;Returns_25%;NumberOfLambdas_min;NumberOfParameters_CK_min;RFC_50%;WMC_CK_75%;Returns_min;MaxNumberOfNestedBlocks_50%;NumberOfLoops_75%;Returns_count;NumberOfVariables_min;NumberOfParenthesizedExps_std;RFC_count;NumberOfComparisons_min;MaxNumberOfNestedBlocks_std;NumberOfLogStatements_min;NumberOfAnonymousClasses_max;WMC_CK_count;NumberOfLogStatements_mean;Returns_75%;NumberOfLambdas_max;NumberOfUniqueWords_max;NumberOfTryCatch_min;RFC_std;NumberOfLambdas_count;Returns_mean;NumberOfUniqueWords_25%;NumberOfModifiers_max;RFC_75%;WMC_CK_std;NumberOfVariables_25%;NumberOfAnonymousClasses_mean;NumberOfTryCatch_50%;CBO_25%;NumberOfLoops_mean;RFC_25%;NumberOfParameters_CK_25%;NumberOfComparisons_std;NumberOfParenthesizedExps_mean;NumberOfStringLiterals_min;MaxNumberOfNestedBlocks_25%;NumberOfStringLiterals_25%;NumberOfParameters_CK_75%;NumberOfTryCatch_std;LOCMethod_CK_75%;NumberOfInnerClasses_mean;NumberOfModifiers_mean;NumberOfInnerClasses_std;NumberOfParenthesizedExps_25%;LOCMethod_CK_50%;NumberOfLogStatements_count;NumberOfAnonymousClasses_50%;NumberOfAnonymousClasses_75%;NumberOfComparisons_mean;NumberOfParenthesizedExps_min;NumberOfStringLiterals_count;NumberOfLogStatements_25%;Bugged;NumberOfLoops_25%;CBO_std;NumberOfLambdas_25%;NumberOfComparisons_count;MaxNumberOfNestedBlocks_max;NumberOfTryCatch_count;IsConstructor_freq;NumberOfMathOperations_max;NumberOfUniqueWords_50%;NumberOfUniqueWords_75%;NumberOfNumbers_50%;NumberOfAnonymousClasses_25%;NumberOfVariables_max;NumberOfModifiers_std;NumberOfLambdas_std;NumberOfParameters_CK_std;WMC_CK_mean
count;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;;;
mean;7.206896551724138;17.836004593520208;0.5982758620689655;1.4206896551724137;8.78452593172272;7.206896551724138;5.11896551724138;7.206896551724138;0.0;5.439655172413793;1.2586206896551724;0.00414876738454625;7.206896551724138;0.1103448275862069;0.4827586206896552;3.410344827586207;0.3793103448275862;0.9862068965517241;1.5;21.413793103448278;1.5724137931034483;7.206896551724138;7.206896551724138;6.6179525700004955;0.06724137931034482;1.2319739339176305;0.993103448275862;0.32413793103448274;1.8;1.5589622412981539;0.9172413793103448;7.206896551724138;1.3448275862068966;0.07758620689655173;0.0;7.206896551724138;0.3724137931034483;7.206896551724138;0.09655172413793103;3.896551724137931;0.07603605588827264;1.6969177045923158;1.293103448275862;3.5517241379310347;0.04482758620689655;0.13448275862068965;2.57468116208935;1.4065375520131114;0.0;1.703448275862069;0.0;15.220689655172414;1.6758620689655173;0.4871978622027616;0.20689655172413793;7.206896551724138;1.389655172413793;5.806759979521588;0.9677319270926387;0.0;0.3275189029017248;0.15852175263348403;9.668965517241379;0.2637931034482759;0.16896551724137931;1.1517241379310346;0.6047305444387923;0.0;1.4165582751098962;1.0689655172413792;0.0;0.3448275862068966;7.206896551724138;7.206896551724138;0.07586206896551724;;2.046551724137931;0.3741379310344828;0.4284118596690712;0.4413793103448276;0.35172413793103446;0.017241379310344827;7.206896551724138;0.04023450339939505;1.8018909227193058;1.2689655172413794;4.54981563381459;2.3344827586206898;0.041379310344827586;0.7482758620689656;6.725531795488754;0.8494754630046268;1.5362068965517242;4.606896551724138;3.689655172413793;0.027586206896551724;0.9189655172413793;0.0;5.827586206896552;0.2482758620689655;0.32413793103448274;7.206896551724138;0.0;0.0;1.8793103448275863;0.0;7.206896551724138;0.31896551724137934;0.0;0.3103448275862069;2.406896551724138;1.9655172413793103;0.15172413793103448;0.22758620689655173;0.1396551724137931;7.206896551724138;0.13793103448275862;0.3390802160779085;7.206896551724138;0.027586206896551724;0.38584097630540887;0.0;0.013793103448275862;7.206896551724138;0.02060276577517957;0.7017241379310345;0.0;27.744827586206895;0.0;2.1493150129356104;7.206896551724138;0.554827449132437;14.358620689655172;25.193103448275863;3.5068965517241377;1.0199167963565694;0.7413793103448276;0.0013300492610837436;0.041379310344827586;0.6482758620689655;0.09931783087765717;1.3758620689655172;0.5810344827586207;0.39991380707663843;0.21107815482462797;0.47586206896551725;0.11551724137931034;1.696551724137931;1.006896551724138;0.13791058495879627;9.939655172413794;0.0;4.3612510200521495;0.0;0.04655172413793104;7.448275862068965;7.206896551724138;0.0;0.0;0.28050401650126744;0.013793103448275862;7.206896551724138;0.0;;0.01896551724137931;0.6498244109969324;0.0;7.206896551724138;0.9862068965517241;7.206896551724138;6.7172413793103445;1.6827586206896552;17.855172413793102;21.020689655172415;0.603448275862069;0.0;3.6344827586206896;7.6437257406976356;0.0;0.5470233136865283;1.7115847684382932
std;7.252295184327029;10.110179566757578;1.194350325972001;1.8880801739584625;8.394908652432642;7.252295184327029;8.662563269300607;7.252295184327029;0.0;4.961770155369215;1.2337181948448306;0.03635868415958188;7.252295184327029;0.5285888101995722;0.6857016709978148;6.428741065389378;0.6777102535298278;1.1410047162269343;3.7752621321792565;41.563135743992696;2.3599518226785867;7.252295184327029;7.252295184327029;15.439765614511735;0.3244321594010678;3.02842619437589;0.5712626332682563;0.8966198765726389;1.6524392743927252;3.8431296624212488;1.927518007827186;7.252295184327029;0.6495651359951388;0.32611619406378967;0.0;7.252295184327029;1.2960668470532881;7.252295184327029;0.3550066104829458;8.49078269681881;0.2249659191585304;1.911183754975111;2.181508625941569;3.9597471764178866;0.19469742710833488;0.46493418147459137;2.5461057989997338;1.679884057403002;0.0;1.3699358152596182;0.0;78.82359603055255;1.9627884028025653;0.8682052458270179;0.7158576026555097;7.252295184327029;1.1387568842291627;29.617292186664855;1.0174808615964948;0.0;0.48501941459792813;0.2791499192553028;8.557043210463947;0.6800603210229847;0.5503177417258482;0.751327847535787;1.016661328608167;0.0;1.8124210830775915;1.7975877834143343;0.0;0.8364882806579903;7.252295184327029;7.252295184327029;0.3923355745597563;;2.191560954139495;2.047848663234073;0.7002844073489749;0.7264913977177255;0.7589149279175447;0.11278964416743953;7.252295184327029;0.20207390265313663;2.1912367667058525;1.8865576102675046;12.793359458311299;2.9517562877026853;0.2320159857090047;1.046031086766908;5.843311556421459;0.959087047975305;1.906216828114116;5.179146958562849;4.266336643127265;0.19569419121449616;1.7440082839929447;0.0;5.354573366636909;2.0191136479583434;1.22407991875922;7.252295184327029;0.0;0.0;2.62501710448724;0.0;7.252295184327029;0.5012854644394126;0.0;0.8458825222093848;2.6725106582370826;1.8462190834823908;0.3787962381522738;0.4893991155007062;0.34595362123553064;7.252295184327029;0.5605142685166257;0.6524427322102435;7.252295184327029;0.262065184485731;0.4862893492732323;0.0;0.11703554164296774;7.252295184327029;0.11231862008078002;1.093024184460752;0.0;16.815080578632394;0.0;2.15004767645778;7.252295184327029;0.7894273959182628;9.431211747635382;146.35104754928796;3.5249538053004206;1.539934112238972;1.3515724487763088;0.01254205529989067;0.22440854574257826;1.0002154940225425;0.20399397166996597;1.8856466567669155;0.9744490780677697;0.644064920103231;0.4209251715242242;2.853075238085432;0.32811103099256483;4.015398551429226;1.0780902078066483;0.35570983385171984;8.848663773401757;0.0;18.113715473604938;0.0;0.2103778984429132;6.776625506600242;7.252295184327029;0.0;0.0;0.5374923491677099;0.11703554164296774;7.252295184327029;0.0;;0.09355423366163247;0.6225914881349072;0.0;7.252295184327029;1.2132727027923262;7.252295184327029;7.241569282310159;3.0657232431893484;10.741747032505693;12.056273704266335;2.1561415445543592;0.0;4.156343533790395;47.5194570477887;0.0;0.44678703672281617;1.3502088871504738
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;2.0;12.0;0.0;1.0;3.5;2.0;0.0;2.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;1.51657508881031;0.14285714285714285;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;16.0;0.0;0.5345224838248488;2.0;0.0;8.0;1.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;;0.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;11.0;13.75;0.0;0.0;0.0;0.0;0.0;0.0;1.0
50%;5.0;17.09090909090909;0.0;1.0;6.666666666666668;5.0;0.5;5.0;0.0;3.5;1.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;1.0;5.0;5.0;3.5355339059327378;0.0;0.16666666666666666;1.0;0.0;2.0;0.3415650255319866;0.0;5.0;1.0;0.0;0.0;5.0;0.0;5.0;0.0;1.0;0.0;1.1547005383792517;0.0;3.0;0.0;0.0;2.0;0.8006407690254357;0.0;1.0;0.0;3.0;1.0;0.0;0.0;5.0;1.0;1.0;0.8181818181818182;0.0;0.07142857142857142;0.0;7.0;0.0;0.0;1.0;0.0;0.0;0.9090909090909092;0.0;0.0;0.0;5.0;5.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.125;1.0;0.5;1.0;0.0;0.0;6.15727926214882;0.5333333333333333;1.0;3.0;2.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.2672612419124244;0.0;0.0;5.0;0.0;0.0;0.0;28.0;0.0;1.5892265495016829;5.0;0.18181818181818185;13.0;4.0;2.75;0.5353033790313108;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.75;0.0;1.3333333333333333;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;5.0;0.0;;0.0;0.564400909900732;0.0;5.0;1.0;5.0;5.0;0.0;18.0;21.0;0.0;0.0;2.0;0.0;0.0;0.5188745216627708;1.2666666666666666
75%;10.0;24.625;0.75;1.0;13.0;10.0;6.0;10.0;0.0;6.0;2.0;0.0;10.0;0.0;1.0;3.0;1.0;1.5;1.5;26.0;2.0;10.0;10.0;8.635475005547093;0.0;1.0;1.0;0.0;3.0;1.4142135623730951;1.0;10.0;2.0;0.0;0.0;10.0;0.0;10.0;0.0;4.0;0.0;2.5071326821120348;1.0;3.0;0.0;0.0;3.6666666666666665;2.21153998175685;0.0;3.0;0.0;11.0;1.0;0.5833333333333334;0.0;10.0;1.5;4.277849927241488;1.4;0.0;0.6122448979591837;0.3153017676423057;13.0;0.0;0.0;1.0;0.7867957924694431;0.0;2.0;2.0;0.0;0.0;10.0;10.0;0.0;;2.5;0.0;0.5773502691896258;1.0;0.25;0.0;10.0;0.0;2.5;2.0;4.75;3.0;0.0;1.0;9.604686356149273;1.125;1.0;7.0;5.0;0.0;1.0;0.0;9.0;0.0;0.0;10.0;0.0;0.0;2.0;0.0;10.0;1.0;0.0;0.0;3.0;2.5;0.0;0.0;0.0;10.0;0.0;0.5;10.0;0.0;0.6666666666666666;0.0;0.0;10.0;0.0;1.0;0.0;40.0;0.0;3.271085446759225;10.0;1.0;20.0;4.0;6.0;1.5275252316519463;1.0;0.0;0.0;1.0;0.1;2.0;1.0;0.6992058987801011;0.25;0.0;0.0;1.0;1.5;0.0;15.0;0.0;2.3783783783783785;0.0;0.0;11.0;10.0;0.0;0.0;0.3333333333333333;0.0;10.0;0.0;;0.0;1.0;0.0;10.0;2.0;10.0;10.0;2.0;25.5;28.75;0.5;0.0;6.0;1.4012980994907414;0.0;0.8528028654224418;2.2
