ClassFanOutComplexity_25%;AnonymousInnerClassLength_count;ClassFanOutComplexity_std;NCSSForThisClass_mean;AnonymousInnerClassLength_25%;FileLength_50%;NestedForDepth_max;ClassDataAbstractionCoupling_mean;NCSSForThisMethod_count;CyclomaticComplexity_count;NumberOfProtectedMethod_min;NumberOfPrivateMethod_min;NumberOfPackageMethod_75%;NumberOfPublicMethods_Checkstyle_std;ClassFanOutComplexity_count;NCSSForThisFile_mean;BooleanExpressionComplexity_max;FileLength_mean;BooleanExpressionComplexity_min;ClassDataAbstractionCoupling_min;NCSSForThisFile_count;NCSSForThisMethod_min;NumberOfProtectedMethod_50%;CyclomaticComplexity_std;ThrowsCount_75%;FileLength_min;NumberOfProtectedMethod_mean;NumberOfPrivateMethod_mean;ClassFanOutComplexity_max;NCSSForThisMethod_75%;NumberOfPublicMethods_Checkstyle_75%;NumberOfPackageMethod_25%;ThrowsCount_mean;NumberOfProtectedMethod_25%;MethodLength_std;NumberOfPackageMethod_min;NestedIfElseDepth_count;NumberOfMethods_Checkstyle_count;NPathComplexity_max;Bugged;NCSSForThisClass_count;NumberOfPackageMethod_mean;NumberOfMethods_Checkstyle_mean;NestedForDepth_50%;NCSSForThisClass_50%;ClassDataAbstractionCoupling_50%;NCSSForThisFile_25%;NestedIfElseDepth_50%;ThrowsCount_25%;ExecutableStatementCount_mean;NumberOfPublicMethods_Checkstyle_25%;BooleanExpressionComplexity_50%;NestedIfElseDepth_min;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_std;NumberOfProtectedMethod_75%;AnonymousInnerClassLength_min;NPathComplexity_count;ExecutableStatementCount_50%;MethodLength_count;ClassDataAbstractionCoupling_75%;NCSSForThisFile_max;BooleanExpressionComplexity_std;NPathComplexity_75%;NPathComplexity_mean;ThrowsCount_max;ThrowsCount_50%;ExecutableStatementCount_count;FileLength_25%;NCSSForThisMethod_mean;FileLength_max;ClassDataAbstractionCoupling_std;NumberOfPrivateMethod_max;NumberOfPackageMethod_max;CyclomaticComplexity_mean;FileLength_std;ClassFanOutComplexity_min;NestedForDepth_count;NumberOfPublicMethods_Checkstyle_50%;NestedTryDepth_50%;NestedTryDepth_max;NumberOfPackageMethod_count;NestedTryDepth_count;NumberOfPublicMethods_Checkstyle_max;ClassDataAbstractionCoupling_max;NumberOfPackageMethod_50%;NumberOfPrivateMethod_75%;NestedForDepth_mean;NCSSForThisMethod_25%;NCSSForThisFile_std;BooleanExpressionComplexity_count;ClassFanOutComplexity_75%;NCSSForThisClass_min;NestedIfElseDepth_std;NestedTryDepth_75%;NestedTryDepth_25%;NumberOfPrivateMethod_25%;NestedIfElseDepth_mean;ClassFanOutComplexity_50%;NPathComplexity_50%;NestedForDepth_25%;NestedForDepth_min;NumberOfPrivateMethod_50%;AnonymousInnerClassLength_max;NumberOfPackageMethod_std;NestedIfElseDepth_75%;AnonymousInnerClassLength_std;NumberOfMethods_Checkstyle_min;AnonymousInnerClassLength_mean;ThrowsCount_min;NCSSForThisClass_25%;NestedTryDepth_std;AnonymousInnerClassLength_75%;ThrowsCount_count;NPathComplexity_25%;NumberOfPrivateMethod_std;CyclomaticComplexity_50%;NumberOfPublicMethods_Checkstyle_min;NumberOfMethods_Checkstyle_50%;CyclomaticComplexity_25%;ExecutableStatementCount_75%;NumberOfPrivateMethod_count;NCSSForThisClass_std;NestedTryDepth_min;AnonymousInnerClassLength_50%;NCSSForThisMethod_max;NCSSForThisMethod_std;NumberOfMethods_Checkstyle_std;ExecutableStatementCount_min;NestedIfElseDepth_max;NestedForDepth_75%;MethodLength_25%;MethodLength_mean;NCSSForThisClass_max;NumberOfMethods_Checkstyle_max;NCSSForThisClass_75%;NCSSForThisFile_50%;NCSSForThisMethod_50%;MethodLength_max;NPathComplexity_std;BooleanExpressionComplexity_75%;CyclomaticComplexity_75%;NCSSForThisFile_75%;NumberOfMethods_Checkstyle_75%;MethodLength_min;CyclomaticComplexity_max;NestedTryDepth_mean;NPathComplexity_min;CyclomaticComplexity_min;NumberOfMethods_Checkstyle_25%;NCSSForThisFile_min;FileLength_75%;FileLength_count;NumberOfPublicMethods_Checkstyle_mean;NestedForDepth_std;MethodLength_75%;ClassDataAbstractionCoupling_25%;NumberOfProtectedMethod_max;ExecutableStatementCount_max;NestedIfElseDepth_25%;ExecutableStatementCount_25%;BooleanExpressionComplexity_mean;ExecutableStatementCount_std;NumberOfPublicMethods_Checkstyle_count;ThrowsCount_std;BooleanExpressionComplexity_25%;ClassFanOutComplexity_mean;NumberOfProtectedMethod_count;MethodLength_50%
0.0;56.0;0.2672612419124244;0.0;0.0;0.0;0.0;0.0;56.0;56.0;0.0;0.0;0.0;0.3745126703594155;56.0;0.0;4.0;0.0;0.0;0.0;56.0;1.0;0.0;5.434736758699876;0.0;0.0;0.0;0.0;2.0;13.75;0.0;0.0;0.017857142857142856;0.0;13.390719309893838;0.0;56.0;56.0;900.0;False;56.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;5.946428571428571;0.0;0.0;0.0;56.0;0.0;0.0;0.0;56.0;3.5;56.0;0.0;0.0;0.9200155278192708;11.0;37.232142857142854;1.0;0.0;56.0;0.0;10.232142857142858;0.0;0.0;0.0;0.0;5.25;0.0;0.0;56.0;0.0;0.0;0.0;56.0;56.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;56.0;0.0;0.0;0.648424664440323;0.0;0.0;0.0;0.375;0.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;1.0;0.0;4.0;0.0;0.0;1.0;9.0;56.0;0.0;0.0;0.0;57.0;11.392168077521218;0.3745126703594155;0.0;3.0;0.0;3.0;13.125;0.0;2.0;0.0;0.0;5.5;63.0;132.73884011593844;1.0;7.5;0.0;0.0;0.0;27.0;0.0;0.0;1.0;0.0;0.0;0.0;56.0;0.07142857142857142;0.0;20.0;0.0;0.0;30.0;0.0;1.0;0.6607142857142857;6.411409270290644;56.0;0.13363062095621225;0.0;0.03571428571428571;56.0;8.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;180.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;19.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;19.0;1.0;0.0;0.0;0.0;180.0;180.0;0.0;0.0;1.0;0.0;22.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;22.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;180.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;180.0;0.0;14.0;0.0;0.0;14.0;19.0;1.0;0.0;0.0;0.0;22.0;0.0;0.0;19.0;1.0;0.0;35.0;35.0;0.0;0.0;0.0;0.0;22.0;35.0;0.0;1.0;14.0;0.0;0.0;35.0;14.0;0.0;180.0;14.0;0.0;0.0;0.0;1.0;0.0;0.0;35.0;0.0;0.0;19.0;1.0;19.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;35.0
0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.4142135623730951;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;False;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.4142135623730951;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.5;0.0;1.0;0.0;0.0;1.0;0.5;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0
1.0;1.0;0.0;1.0;0.0;1454.0;0.0;7.0;1.0;1.0;10.0;0.0;0.0;0.0;1.0;641.0;2.0;1454.0;2.0;7.0;1.0;12.0;10.0;0.0;0.0;1454.0;10.0;0.0;1.0;12.0;44.0;0.0;0.0;10.0;0.0;0.0;1.0;1.0;32.0;False;1.0;0.0;54.0;0.0;1.0;7.0;641.0;0.0;0.0;9.0;44.0;2.0;0.0;1.0;0.0;10.0;0.0;1.0;9.0;1.0;7.0;641.0;0.0;32.0;32.0;0.0;0.0;1.0;1454.0;12.0;1454.0;0.0;0.0;0.0;7.0;0.0;1.0;1.0;44.0;0.0;0.0;1.0;1.0;44.0;7.0;0.0;0.0;0.0;12.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;0.0;1.0;0.0;0.0;1.0;32.0;0.0;7.0;44.0;54.0;7.0;9.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;9.0;0.0;0.0;20.0;20.0;1.0;54.0;1.0;641.0;12.0;20.0;0.0;2.0;7.0;641.0;54.0;20.0;7.0;0.0;32.0;7.0;54.0;641.0;1454.0;1.0;44.0;0.0;20.0;7.0;10.0;9.0;0.0;9.0;2.0;0.0;1.0;0.0;2.0;1.0;1.0;20.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;26.0;1.765045216243656;3.1538461538461537;0.0;0.0;0.0;0.038461538461538464;26.0;26.0;0.0;0.0;0.0;5.295135648730969;26.0;3.4230769230769234;0.0;13.576923076923075;0.0;0.0;26.0;2.0;0.0;0.196116135138184;0.0;0.0;0.0;0.0;9.0;3.0;0.0;0.0;0.0;0.0;0.5083911274417939;0.0;26.0;26.0;2.0;True;26.0;0.0;1.0384615384615383;0.0;0.0;0.0;0.0;0.0;0.0;1.4615384615384617;0.0;0.0;0.0;26.0;0.0;0.0;0.0;26.0;1.0;26.0;0.0;89.0;0.0;1.0;1.0384615384615383;0.0;0.0;26.0;0.0;2.4615384615384617;353.0;0.196116135138184;0.0;0.0;1.0384615384615383;69.22899570377896;0.0;26.0;0.0;0.0;0.0;26.0;26.0;27.0;1.0;0.0;0.0;0.0;2.0;17.454336027298382;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;26.0;16.081523081331092;0.0;0.0;3.0;0.5083911274417939;5.295135648730969;1.0;0.0;0.0;3.0;3.4615384615384617;82.0;27.0;0.0;0.0;2.0;4.0;0.196116135138184;0.0;1.0;0.0;0.0;3.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;26.0;1.0384615384615383;0.0;4.0;0.0;0.0;2.0;0.0;1.0;0.0;0.5083911274417939;26.0;0.0;0.0;0.3461538461538461;26.0;3.0
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;True;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;1.0;0.0;0.0;4.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0
0.0;5.0;0.4472135954999579;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;1.224744871391589;5.0;2.0;0.0;24.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;False;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;120.0;0.0;0.0;0.0;1.0;53.66563145999496;0.0;5.0;1.0;0.0;0.0;5.0;5.0;3.0;0.0;0.0;0.0;0.0;1.0;4.47213595499958;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;1.224744871391589;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.2;5.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
