;VG;Si;NCOMP;Fout;IOVars;Di;NOP;Ci;MCLC;NBD;BuggedMethods;Fin;NVAR
count;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225;4225.0;4225.0
unique;;;;;;;;;;;2;;
top;;;;;;;;;;;False;;
freq;;;;;;;;;;;4108;;
mean;1.2142011834319526;2.0123076923076924;0.6840236686390533;0.19076923076923077;0.42650887573964497;0.3826131235583432;0.1455621301775148;2.3949208158660356;1.017041420118343;0.6575147928994083;;0.20023668639053255;0.3330177514792899
std;4.3831943803137605;46.856004636060746;3.103378672518989;1.4058387445783302;0.7070115239240792;0.6755214507512292;0.4217902664459759;46.84826010545777;3.997062516858127;1.2765572695476695;;1.165170824397391;1.2185867240735144
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
75%;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;;0.0;0.0
max;107.0;2704.0;75.0;52.0;7.0;7.0;6.0;2704.018867925;75.0;17.0;;27.0;20.0
