Maximum Block Depth;NumberOfMathOperations_75%;Ma;NumberOfModifiers_min;NumberOfModifiers_count;blame_merge_priorityMajor_max;NumberOfMathOperations_count;PMd;Maximum Depth_50%;NMA;NumberOfMethods_Mood;blamemerge_priorityMajor_std;blame_merge_priorityMajor_std;SIX;Maximum Depth_std;NumberOfMathOperations_50%;blamemerge_priorityMinor_count;Maximum Depth_mean;blamemerge_priorityMajor_min;issues_priorityMajor_max;PMi;Maximum Depth_min;Average Block Depth;Average Complexity*;NMI;issues_priorityMinor_mean;blame_merge_priorityMinor_min;NumberOfModifiers_50%;NumberOfMathOperations_mean;issues_priorityMinor_count;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_25%;Mi;NumberOfMathOperations_std;Mit;Maximum Depth_count;blamemerge_priorityMinor_max;Ad;Average Statements per Method;issues_priorityMajor_count;Maximum Depth_75%;NumberOfMathOperations_min;NumberOfModifiers_75%;NM;Maximum Depth_25%;blamemerge_priorityMajor_count;MaxNumberOfNestedBlocks_75%;issues_priorityMinor_max;blame_merge_priorityMinor_std;HMd;NOPa;issues_priorityMajor_mean;MaxNumberOfNestedBlocks_min;blamemerge_priorityMajor_mean;NumberOfModifiers_25%;blame_merge_priorityMajor_count;blame_merge_priorityMinor_mean;issues_priorityMinor_min;blame_merge_priorityMajor_min;Ao;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_count;Av;issues_priorityMajor_std;issues_priorityMajor_min;MaxNumberOfNestedBlocks_50%;blamemerge_priorityMinor_std;Maximum Complexity*;MaxNumberOfNestedBlocks_std;Mo;Md;NumberOfModifiers_max;blamemerge_priorityMajor_max;Ai;Maximum Depth_max;blamemerge_priorityMinor_mean;MaxNumberOfNestedBlocks_25%;HMi;NumberOfModifiers_mean;PMR;Ait;blame_merge_priorityMinor_max;Bugged;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_max;blamemerge_priorityMinor_min;NumberOfMathOperations_max;issues_priorityMinor_std;NumberOfModifiers_std;NF
5.0;0.0;49.0;0.0;49.0;0.0;49.0;36.0;2.0;49.0;49.0;0.2440732066059325;0.0;0.0;0.5773502691896257;0.0;787.0;2.25;0.0;0.0;0.0;2.0;2.15;2.49;0.0;1.0;0.0;1.0;0.32653061224489793;2.0;0.6122448979591837;0.0;0.0;1.106566670344976;0.0;16.0;1.0;18.0;4.98;2.0;2.0;0.0;1.0;49.0;2.0;787.0;1.0;1.0;0.0;13.0;0.0;0.0;0.0;0.9364675984752224;1.0;0.0;0.0;1.0;0.0;0.0;0.0;49.0;1.0;0.0;0.0;0.0;0.2440732066059325;11.0;0.8615955772724871;0.0;49.0;4.0;1.0;0.0;4.0;0.06353240152477764;0.0;0.0;1.2653061224489797;0.734693878;0.0;0.0;False;0.0;3.0;0.0;7.0;0.0;0.7295977831449793;18.0
6.0;0.0;16.0;0.0;16.0;0.0;16.0;11.0;2.0;16.0;16.0;0.0;0.0;0.0;0.3779644730092273;0.0;275.0;2.142857142857143;1.0;0.0;0.0;2.0;2.38;2.13;0.0;0.0;0.0;1.0;0.0625;0.0;0.6875;0.0;0.0;0.25;0.0;7.0;0.0;6.0;4.75;0.0;2.0;0.0;1.0;16.0;2.0;275.0;0.25;0.0;0.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;8.0;1.3524668819112229;0.0;16.0;4.0;1.0;0.0;3.0;0.0;0.0;0.0;1.4375;0.6875;0.0;0.0;False;0.0;4.0;0.0;1.0;0.0;1.3149778198382918;6.0
5.0;0.0;18.0;1.0;18.0;0.0;18.0;13.0;2.0;18.0;18.0;0.0;0.0;0.0;0.8432740427115678;0.0;275.0;2.6;1.0;0.0;0.0;2.0;2.01;2.5;0.0;0.0;0.0;1.0;0.1111111111111111;0.0;0.6666666666666666;0.0;0.0;0.3233808333817773;0.0;10.0;0.0;13.0;4.44;0.0;3.0;0.0;1.75;18.0;2.0;275.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;0.0;10.0;0.9074852129730302;0.0;18.0;32.0;1.0;0.0;4.0;0.0;0.0;0.0;3.2777777777777777;0.7222222220000001;0.0;0.0;False;0.0;3.0;0.0;1.0;0.0;7.258306037633553;13.0
4.0;1.0;3.0;1.0;3.0;0.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;1.68;2.33;0.0;0.0;0.0;2.0;0.6666666666666666;0.0;1.0;0.0;0.0;1.1547005383792517;0.0;1.0;0.0;1.0;7.0;0.0;3.0;0.0;2.0;3.0;3.0;0.0;1.5;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;0.0;3.0;2.0;0.0;0.0;3.0;0.0;0.5;0.0;1.6666666666666667;0.333333333;0.0;0.0;False;0.0;2.0;0.0;2.0;0.0;0.5773502691896257;1.0
4.0;0.5;15.0;9.0;15.0;0.0;15.0;15.0;0.0;15.0;15.0;0.2721624724198464;0.0;0.0;0.0;0.0;299.0;0.0;0.0;0.0;0.0;0.0;2.49;5.47;0.0;0.0;0.0;9.0;0.26666666666666666;2.0;1.4666666666666666;0.0;0.0;0.4577377082170635;0.0;0.0;0.0;2.0;9.87;2.0;0.0;0.0;9.0;15.0;0.0;299.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.919732441471572;9.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;2.0;0.0;8.0;0.6399404734221844;0.0;15.0;9.0;1.0;0.0;0.0;0.0;1.0;0.0;9.0;1.0;0.0;0.0;False;0.0;2.0;0.0;1.0;0.0;0.0;2.0
4.0;0.0;32.0;9.0;32.0;0.0;32.0;31.0;0.0;32.0;32.0;0.0;0.0;0.0;0.0;0.0;277.0;0.0;1.0;1.0;0.0;0.0;1.47;1.38;0.0;0.0;0.0;9.0;0.15625;1.0;0.09375;0.0;0.0;0.5741403110513958;0.0;0.0;0.0;3.0;1.34;1.0;0.0;0.0;9.0;32.0;0.0;277.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;0.0;0.0;1.0;0.0;0.0;4.0;0.3901509219974802;0.0;32.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;9.03125;0.96875;0.0;0.0;False;0.0;2.0;0.0;3.0;0.0;0.1767766952966369;3.0
2.0;0.0;2.0;1.0;1.0;0.0;1.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;30.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;30.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;10.0;1.0;10.0;0.0;10.0;10.0;2.0;10.0;10.0;0.0;0.0;0.0;0.0;0.0;275.0;2.0;1.0;0.0;0.0;2.0;1.54;1.1;0.0;0.0;0.0;1.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;5.0;0.0;5.0;2.3;0.0;2.0;0.0;1.0;10.0;2.0;275.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;2.0;0.31622776601683794;0.0;10.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;5.0
5.0;0.5;11.0;1.0;7.0;0.0;7.0;5.0;0.0;11.0;7.0;0.310469423708567;0.0;0.0;0.0;0.0;325.0;0.0;0.0;1.0;0.0;0.0;2.06;4.82;0.0;0.52;0.0;4.0;0.42857142857142855;25.0;1.4285714285714286;0.0;0.0;0.7867957924694431;0.0;0.0;1.0;32.0;9.55;25.0;0.0;0.0;4.0;7.0;0.0;325.0;1.5;1.0;0.0;6.0;0.0;0.48;1.0;0.8923076923076924;4.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;3.0;0.5099019513592785;0.0;1.0;0.310469423708567;19.0;0.7867957924694431;0.0;11.0;4.0;1.0;0.0;0.0;0.1076923076923077;1.0;0.0;3.571428571428572;0.454545455;0.0;0.0;False;0.0;3.0;0.0;2.0;0.5099019513592785;1.1338934190276817;32.0
4.0;0.0;18.0;1.0;15.0;0.0;15.0;18.0;2.0;18.0;15.0;0.0;0.0;0.0;0.7867957924694432;0.0;279.0;2.4285714285714284;1.0;0.0;0.0;2.0;1.56;1.39;0.0;0.0;0.0;1.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;7.0;0.0;16.0;2.33;0.0;2.5;0.0;1.0;15.0;2.0;279.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;7.0;0.0;0.0;0.0;0.0;4.0;0.5936168397046637;0.0;18.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;False;0.0;2.0;0.0;0.0;0.0;0.0;16.0
