all_process_deletions_min;all_process_deletions_mean;all_process_insertions_mean;all_process_insertions_count;all_process_deletions_count;all_process_changes_mean;all_process_count;all_process_changes_count;all_process_insertions_max;all_process_insertions_min;all_process_changes_min;all_process_insertions_std;all_process_deletions_max;all_process_deletions_std;Bugged;all_process_changes_max;all_process_changes_std
0.0;0.0;30.0;1.0;1.0;30.0;1.0;1.0;30.0;30.0;30.0;0.0;0.0;0.0;False;30.0;0.0
0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
0.0;0.0;10.0;1.0;1.0;10.0;1.0;1.0;10.0;10.0;10.0;0.0;0.0;0.0;False;10.0;0.0
0.0;3.4615384615384617;11.384615384615385;13.0;13.0;14.846153846153848;13.0;13.0;69.0;0.0;2.0;18.51368170452356;25.0;6.959590320981362;False;69.0;20.723763147033864
0.0;0.0;43.0;1.0;1.0;43.0;1.0;1.0;43.0;43.0;43.0;0.0;0.0;0.0;False;43.0;0.0
0.0;7.0;38.692307692307686;13.0;13.0;45.69230769230769;13.0;13.0;334.0;0.0;1.0;90.08920080988676;50.0;14.053469322555197;True;334.0;90.63699080708773
0.0;0.0;48.0;1.0;1.0;48.0;1.0;1.0;48.0;48.0;48.0;0.0;0.0;0.0;False;48.0;0.0
0.0;0.0;44.0;1.0;1.0;44.0;1.0;1.0;44.0;44.0;44.0;0.0;0.0;0.0;False;44.0;0.0
0.0;0.0;71.0;1.0;1.0;71.0;1.0;1.0;71.0;71.0;71.0;0.0;0.0;0.0;False;71.0;0.0
0.0;0.0;20.0;1.0;1.0;20.0;1.0;1.0;20.0;20.0;20.0;0.0;0.0;0.0;False;20.0;0.0
0.0;0.0;62.0;1.0;1.0;62.0;1.0;1.0;62.0;62.0;62.0;0.0;0.0;0.0;False;62.0;0.0
0.0;0.3333333333333333;4.333333333333333;3.0;3.0;4.666666666666667;3.0;3.0;13.0;0.0;0.0;7.505553499465135;1.0;0.5773502691896258;False;14.0;8.082903768654761
0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0
