;RTLOC;NSM;Bugged;TLOC;NOD;ClRCi;ClTCi;NPF;NSF;NOA;NOL;PMd
count;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;;2;;;;;;;;;
top;;;False;;;;;;;;;
freq;;;2437;;;;;;;;;
mean;170.9283690813436;1.0125455281262647;;118.00242816673412;0.023067583974099554;1.5734867280137597;19.518159998589233;0.4840145690004047;1.1687575880210441;0.0;0.0028328611898017;6.058680696074464
std;542.6427946257481;4.398316345552913;;349.6727747291947;0.33529559604340725;1.2804439531448835;63.02885925947492;2.211958534166651;2.387944425074635;0.0;0.05315994493616361;12.862185912078479
min;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;5.0;0.0;;3.0;0.0;0.8166666665;1.0;0.0;0.0;0.0;0.0;0.0
50%;61.0;0.0;;42.0;0.0;1.65;8.0;0.0;0.0;0.0;0.0;3.0
75%;153.0;1.0;;111.5;0.0;2.2;21.0;0.0;1.0;0.0;0.0;8.0
max;5762.0;103.0;;3667.0;6.0;14.0;1597.963577864;41.0;25.0;0.0;1.0;415.0
