;FileLength;NumberOfMethods_Checkstyle;Maximum Depth;NCSSForThisFile;NumberOfParameters_CK;NumberOfLogStatements;BooleanExpressionComplexity;NestedTryDepth;NestedForDepth;NumberOfLoops;Returns;NumberOfVariables;ClassFanOutComplexity;NumberOfTryCatch;NumberOfInnerClasses;NumberOfProtectedMethod;ThrowsCount;NumberOfAnonymousClasses;NumberOfMathOperations;NumberOfUniqueWords;NPathComplexity;CBO;RFC;NumberOfPrivateMethod;NCSSForThisClass;WMC_CK;NumberOfComparisons;IsConstructor;AnonymousInnerClassLength;MaxNumberOfNestedBlocks;BuggedMethods;NumberOfParenthesizedExps;NumberOfLambdas;NumberOfModifiers;NestedIfElseDepth;CyclomaticComplexity;MethodLength;NumberOfNumbers;NumberOfAssignments;ExecutableStatementCount;NumberOfPublicMethods_Checkstyle;NCSSForThisMethod;LOCMethod_CK;NumberOfStringLiterals;ClassDataAbstractionCoupling;NumberOfPackageMethod
count;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;False;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;2134;;;2150;;;;;;;;;;;;;;;
mean;16.122207022343822;0.6073871409028728;0.8394892840857273;4.92704058367533;0.253077975376197;0.00045599635202918376;0.07432740538075695;0.0013679890560875513;0.002279981760145919;0.05107159142726858;0.43365253077975374;0.41997264021887826;0.29913360693114455;0.0031919744642042863;0.0;0.047879616963064295;0.2188782489740082;0.0;0.1326949384404925;17.251709986320108;7.875512995896033;0.7150022799817601;1.3711810305517556;0.052895576835385316;4.127222982216142;1.039671682626539;0.19015047879616964;;0.009575923392612859;0.20109439124487005;;0.10989512083903329;0.0;1.68718650250798;0.047879616963064295;1.046967624259006;5.14546283629731;0.5467396260829913;0.7624259005927952;2.3638850889192886;0.47697218422252624;3.253077975376197;4.154582763337893;0.4354765161878705;0.11171910624715002;0.03739170086639307
std;113.537774769045;4.283570736193067;1.2036100329064379;30.661460319882245;0.4749864210824214;0.021354071087949105;0.35153770195457024;0.03696945889366507;0.05646441329379777;0.28518784768502997;0.722613250800149;1.4264519428415745;1.4966154568435215;0.056420185287042124;0.0;0.4870459893277956;0.444419185717076;0.0;0.7848897398371052;23.1276315930887;218.51441121428303;1.1169881837516387;2.8523471767255653;0.5274681784980535;22.500785720141092;1.7968886029141078;0.9517816683116579;;0.2605431104687922;0.596644117729543;;0.5199115923047511;0.0;4.962055379184628;0.30504624531156804;1.8159072975447152;11.123653805109276;2.098559115116369;2.5112178878394373;5.679776668266805;3.3529515741815037;6.650165388278216;7.773439842857469;2.3433708259747243;0.703104695641771;0.9385629935928872
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0
75%;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;;0.0;0.0;;0.0;0.0;1.0;0.0;1.0;5.0;0.0;1.0;2.0;0.0;3.0;4.0;0.0;0.0;0.0
max;3919.0;136.0;7.0;814.0;6.0;1.0;7.0;1.0;2.0;6.0;9.0;24.0;18.0;1.0;0.0;13.0;4.0;0.0;14.0;169.0;10000.0;9.0;32.0;13.0;372.0;32.0;27.0;;8.0;6.0;;9.0;0.0;48.0;4.0;32.0;178.0;27.0;50.0;126.0;107.0;127.0;133.0;51.0;11.0;42.0
