;DispersedCoupling_top;AntiSingleton;NumberOfDistinctOperators;Difficulty;DispersedCoupling_unique;DispersedCoupling_freq;Bugged;DispersedCoupling_count;NumberOfDistinctOperands
count;623;623;623.0;623.0;623.0;623.0;623;623.0;623.0
unique;2;1;;;;;2;;
top;False;False;;;;;False;;
freq;610;623;;;;;538;;
mean;;;21.075441412520064;35.369152812927155;0.4157303370786517;1.2728731942215088;;1.2985553772070626;89.52327447833066
std;;;9.173344428078565;30.279913843173578;0.5339379919569602;3.1733444570956957;;3.20381321733567;99.14730841585882
min;;;7.0;4.0;0.0;0.0;;0.0;10.0
25%;;;13.0;12.517857142857142;0.0;0.0;;0.0;29.0
50%;;;19.0;25.58695652173913;0.0;0.0;;0.0;59.0
75%;;;28.0;46.687503534068426;1.0;1.0;;1.0;115.5
max;;;53.0;201.3349693251534;2.0;39.0;;39.0;815.0
