DispersedCoupling_top;AntiSingleton;NumberOfDistinctOperators;Difficulty;DispersedCoupling_unique;DispersedCoupling_freq;Bugged;DispersedCoupling_count;NumberOfDistinctOperands
False;False;21.0;57.3370786516854;0.0;0.0;False;0.0;89.0
False;False;31.0;78.44656488549619;1.0;2.0;True;2.0;131.0
False;False;26.0;45.444444444444436;1.0;2.0;True;2.0;117.0
False;False;8.0;11.034482758620687;0.0;0.0;False;0.0;29.0
False;False;13.0;15.6;0.0;0.0;False;0.0;35.0
False;False;26.0;42.86138613861386;1.0;1.0;True;1.0;101.0
False;False;14.0;13.695652173913045;0.0;0.0;False;0.0;23.0
False;False;15.0;28.58108108108108;0.0;0.0;False;0.0;37.0
False;False;17.0;16.378048780487806;0.0;0.0;False;0.0;41.0
False;False;23.0;32.394366197183096;0.0;0.0;False;0.0;71.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;13.0;21.53125;1.0;4.0;False;4.0;80.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;9.0;9.0;0.0;0.0;False;0.0;13.0
False;False;41.0;121.69148936170212;2.0;16.0;True;17.0;423.0
False;False;25.0;31.77083333333333;1.0;1.0;True;1.0;96.0
False;False;17.0;16.209302325581394;0.0;0.0;False;0.0;43.0
True;False;32.0;47.232876712328775;2.0;1.0;False;2.0;146.0
False;False;14.0;14.954545454545455;0.0;0.0;False;0.0;44.0
False;False;26.0;34.30555555555556;1.0;1.0;False;1.0;72.0
False;False;23.0;32.223958333333336;1.0;1.0;False;1.0;96.0
False;False;16.0;17.655172413793107;0.0;0.0;False;0.0;58.0
False;False;34.0;56.73255813953488;1.0;2.0;True;2.0;172.0
False;False;36.0;76.58823529411767;1.0;3.0;False;3.0;255.0
False;False;9.0;7.9411764705882355;0.0;0.0;False;0.0;17.0
False;False;14.0;12.352941176470587;0.0;0.0;False;0.0;17.0
False;False;13.0;16.25;1.0;1.0;False;1.0;42.0
False;False;9.0;8.4;0.0;0.0;False;0.0;15.0
False;False;26.0;37.16470588235294;1.0;1.0;False;1.0;85.0
False;False;9.0;7.7727272727272725;0.0;0.0;False;0.0;22.0
False;False;25.0;25.735294117647058;0.0;0.0;False;0.0;51.0
False;False;11.0;8.642857142857142;0.0;0.0;False;0.0;28.0
False;False;9.0;7.9411764705882355;0.0;0.0;False;0.0;17.0
False;False;31.0;62.21830985915493;1.0;1.0;False;1.0;142.0
False;False;33.0;47.34782608695652;1.0;1.0;False;1.0;115.0
False;False;11.0;10.24137931034483;0.0;0.0;False;0.0;29.0
False;False;40.0;88.15047021943573;1.0;3.0;False;3.0;319.0
False;False;34.0;60.9;1.0;2.0;False;2.0;170.0
False;False;18.0;19.666666666666668;0.0;0.0;False;0.0;27.0
False;False;17.0;25.122222222222234;1.0;1.0;False;1.0;45.0
False;False;18.0;25.153846153846153;0.0;0.0;True;0.0;117.0
False;False;13.0;10.173913043478262;0.0;0.0;False;0.0;23.0
False;False;20.0;25.277777777777786;0.0;0.0;False;0.0;36.0
False;False;10.0;8.91304347826087;0.0;0.0;False;0.0;23.0
False;False;9.0;8.678571428571429;0.0;0.0;False;0.0;14.0
False;False;12.0;12.4;0.0;0.0;False;0.0;30.0
False;False;28.0;48.13483146067415;1.0;2.0;False;2.0;89.0
False;False;31.0;38.94871794871795;0.0;0.0;False;0.0;78.0
False;False;15.0;19.921875;0.0;0.0;False;0.0;32.0
False;False;10.0;7.5;0.0;0.0;False;0.0;28.0
False;False;20.0;23.137254901960784;0.0;0.0;False;0.0;51.0
False;False;14.0;15.06060606060606;0.0;0.0;False;0.0;33.0
False;False;14.0;18.0;1.0;3.0;False;3.0;49.0
False;False;27.0;68.4;0.0;0.0;False;0.0;75.0
False;False;32.0;60.07843137254902;1.0;6.0;False;6.0;204.0
False;False;18.0;21.75;0.0;0.0;False;0.0;36.0
False;False;38.0;83.54794520547945;1.0;5.0;True;5.0;292.0
False;False;34.0;74.59183673469387;1.0;4.0;True;4.0;196.0
False;False;16.0;19.74468085106383;0.0;0.0;False;0.0;47.0
False;False;37.0;81.4280303030303;0.0;0.0;False;0.0;132.0
False;False;13.0;12.071428571428573;1.0;1.0;False;1.0;28.0
False;False;12.0;12.0;1.0;1.0;False;1.0;37.0
False;False;36.0;84.67012987012987;0.0;0.0;True;0.0;385.0
False;False;32.0;66.84745762711864;1.0;2.0;False;2.0;118.0
False;False;20.0;42.83018867924528;1.0;3.0;False;3.0;106.0
False;False;26.0;55.226950354609926;0.0;0.0;False;0.0;141.0
False;False;16.0;10.871794871794872;0.0;0.0;False;0.0;39.0
False;False;17.0;17.0;1.0;1.0;False;1.0;43.0
False;False;28.0;39.35135135135136;1.0;2.0;False;2.0;185.0
False;False;15.0;16.842105263157894;0.0;0.0;False;0.0;57.0
False;False;36.0;73.64315352697095;2.0;2.0;True;3.0;241.0
False;False;42.0;66.24;0.0;0.0;False;0.0;175.0
False;False;42.0;66.24;0.0;0.0;False;0.0;175.0
False;False;27.0;44.57142857142857;0.0;0.0;False;0.0;63.0
False;False;32.0;74.41176470588233;0.0;0.0;False;0.0;272.0
False;False;22.0;33.982142857142854;0.0;0.0;False;0.0;56.0
False;False;38.0;84.9836956521739;1.0;1.0;False;1.0;184.0
False;False;29.0;69.65420560747664;0.0;0.0;False;0.0;107.0
False;False;17.0;18.0;0.0;0.0;False;0.0;34.0
False;False;36.0;89.19282511210763;1.0;4.0;True;4.0;223.0
False;False;16.0;17.488372093023255;0.0;0.0;True;0.0;43.0
False;False;35.0;40.6875;0.0;0.0;False;0.0;80.0
False;False;22.0;25.58695652173913;1.0;1.0;True;1.0;46.0
False;False;13.0;13.0;0.0;0.0;False;0.0;14.0
False;False;27.0;60.98275862068966;1.0;3.0;False;3.0;116.0
False;False;27.0;75.25984251968505;1.0;3.0;False;3.0;127.0
False;False;14.0;11.136363636363637;0.0;0.0;False;0.0;22.0
False;False;22.0;46.2;1.0;2.0;False;2.0;95.0
False;False;17.0;24.54225352112676;1.0;1.0;False;1.0;71.0
False;False;42.0;96.6;1.0;7.0;False;7.0;355.0
False;False;38.0;159.14577259475215;2.0;8.0;False;10.0;343.0
False;False;29.0;48.853846153846156;1.0;4.0;False;4.0;130.0
False;False;45.0;168.71681415929203;1.0;9.0;True;9.0;339.0
False;False;30.0;46.14130434782609;1.0;1.0;False;1.0;92.0
False;False;30.0;61.91275167785236;0.0;0.0;False;0.0;149.0
False;False;36.0;131.7735849056604;1.0;9.0;True;9.0;265.0
False;False;27.0;49.125;0.0;0.0;False;0.0;108.0
False;False;37.0;78.25899280575541;1.0;1.0;False;1.0;139.0
False;False;35.0;69.67592592592592;1.0;1.0;False;1.0;162.0
False;False;42.0;68.21965317919076;0.0;0.0;False;0.0;173.0
False;False;42.0;68.21965317919076;0.0;0.0;False;0.0;173.0
False;False;53.0;201.3349693251534;1.0;14.0;True;14.0;815.0
False;False;34.0;61.61073825503356;1.0;1.0;False;1.0;149.0
False;False;20.0;31.66666666666667;0.0;0.0;False;0.0;60.0
False;False;12.0;9.214285714285714;1.0;1.0;False;1.0;28.0
False;False;12.0;12.0;1.0;1.0;False;1.0;28.0
False;False;41.0;88.56796116504854;2.0;6.0;True;8.0;309.0
False;False;34.0;93.78333333333332;0.0;0.0;False;0.0;180.0
False;False;25.0;37.0;1.0;1.0;False;1.0;50.0
False;False;32.0;49.729729729729726;0.0;0.0;False;0.0;111.0
False;False;30.0;82.39436619718309;0.0;0.0;True;0.0;142.0
False;False;16.0;11.428571428571427;0.0;0.0;False;0.0;28.0
False;False;23.0;29.22916666666667;0.0;0.0;False;0.0;48.0
False;False;19.0;23.19767441860465;1.0;1.0;False;1.0;43.0
False;False;19.0;22.01219512195122;0.0;0.0;False;0.0;41.0
False;False;16.0;19.076923076923077;0.0;0.0;True;0.0;52.0
False;False;28.0;28.466666666666665;0.0;0.0;True;0.0;60.0
False;False;35.0;58.42741935483871;1.0;2.0;True;2.0;186.0
False;False;14.0;14.651162790697676;0.0;0.0;True;0.0;43.0
False;False;31.0;40.87912087912088;1.0;1.0;False;1.0;91.0
False;False;39.0;71.38392857142857;1.0;1.0;True;1.0;168.0
False;False;22.0;29.72619047619048;0.0;0.0;True;0.0;84.0
False;False;29.0;45.026315789473685;1.0;1.0;True;1.0;133.0
False;False;23.0;29.22916666666667;0.0;0.0;False;0.0;48.0
False;False;12.0;11.4375;0.0;0.0;False;0.0;32.0
False;False;18.0;16.714285714285715;0.0;0.0;False;0.0;42.0
False;False;18.0;16.434782608695652;0.0;0.0;True;0.0;46.0
False;False;20.0;23.0;0.0;0.0;False;0.0;50.0
False;False;12.0;12.0;0.0;0.0;False;0.0;31.0
False;False;13.0;12.257142857142858;0.0;0.0;False;0.0;35.0
False;False;13.0;11.916666666666664;0.0;0.0;False;0.0;36.0
False;False;15.0;19.125;0.0;0.0;True;0.0;60.0
False;False;34.0;58.346733668341706;1.0;2.0;True;2.0;199.0
False;False;23.0;24.301886792452827;0.0;0.0;False;0.0;53.0
False;False;12.0;8.275862068965518;0.0;0.0;False;0.0;29.0
False;False;40.0;71.82186234817814;1.0;3.0;True;3.0;247.0
False;False;27.0;40.37142857142858;1.0;3.0;True;3.0;105.0
False;False;9.0;8.1;0.0;0.0;False;0.0;20.0
False;False;12.0;6.75;0.0;0.0;False;0.0;16.0
False;False;25.0;25.223214285714285;0.0;0.0;False;0.0;56.0
False;False;32.0;65.21379310344828;1.0;1.0;False;1.0;145.0
False;False;35.0;53.54477611940298;1.0;3.0;True;3.0;134.0
False;False;11.0;10.214285714285714;1.0;1.0;False;1.0;28.0
False;False;14.0;10.5;0.0;0.0;False;0.0;18.0
False;False;42.0;93.69230769230772;1.0;4.0;False;4.0;325.0
False;False;11.0;11.6875;1.0;2.0;False;2.0;40.0
False;False;9.0;7.2;0.0;0.0;False;0.0;15.0
False;False;47.0;86.44346289752649;1.0;5.0;True;5.0;283.0
False;False;18.0;20.88;0.0;0.0;False;0.0;25.0
False;False;22.0;31.959459459459467;1.0;1.0;True;1.0;74.0
False;False;34.0;46.31034482758621;0.0;0.0;False;0.0;145.0
False;False;27.0;57.25;1.0;1.0;False;1.0;108.0
False;False;23.0;43.55625;1.0;1.0;False;1.0;80.0
