;MethodLength_mean;NumberOfProtectedMethod_std;NestedIfElseDepth_max;NumberOfMethods_Checkstyle_50%;NumberOfPrivateMethod_75%;CyclomaticComplexity_25%;NestedIfElseDepth_min;NCSSForThisClass_min;NestedTryDepth_mean;NumberOfProtectedMethod_75%;NumberOfPrivateMethod_mean;NestedTryDepth_std;CyclomaticComplexity_min;NCSSForThisClass_50%;ClassDataAbstractionCoupling_50%;NumberOfPublicMethods_Checkstyle_std;NestedForDepth_min;ClassDataAbstractionCoupling_count;NestedTryDepth_count;NCSSForThisFile_count;ClassDataAbstractionCoupling_75%;NumberOfPackageMethod_max;NCSSForThisClass_75%;NPathComplexity_mean;ExecutableStatementCount_75%;NCSSForThisMethod_max;NestedTryDepth_max;NumberOfPrivateMethod_count;NestedTryDepth_25%;NCSSForThisClass_std;FileLength_count;NumberOfMethods_Checkstyle_std;ThrowsCount_75%;ClassFanOutComplexity_max;NCSSForThisFile_std;NCSSForThisClass_25%;BooleanExpressionComplexity_mean;CyclomaticComplexity_count;NestedIfElseDepth_std;NumberOfPackageMethod_mean;NCSSForThisFile_75%;NestedForDepth_75%;NPathComplexity_std;NumberOfPackageMethod_75%;ClassFanOutComplexity_50%;AnonymousInnerClassLength_count;NPathComplexity_max;NumberOfPublicMethods_Checkstyle_max;NestedTryDepth_min;ThrowsCount_25%;NumberOfProtectedMethod_count;NumberOfPublicMethods_Checkstyle_count;NPathComplexity_count;NestedIfElseDepth_mean;NumberOfMethods_Checkstyle_max;NCSSForThisMethod_mean;MethodLength_25%;NumberOfMethods_Checkstyle_min;NCSSForThisClass_max;ClassDataAbstractionCoupling_25%;NCSSForThisClass_count;NestedTryDepth_50%;MethodLength_max;FileLength_50%;ClassDataAbstractionCoupling_max;NumberOfPublicMethods_Checkstyle_mean;CyclomaticComplexity_Designite_75%;NCSSForThisFile_max;NestedIfElseDepth_25%;NPathComplexity_25%;NestedForDepth_std;FileLength_min;NPathComplexity_75%;BooleanExpressionComplexity_count;ClassFanOutComplexity_mean;MethodLength_75%;CyclomaticComplexity_50%;NumberOfPackageMethod_count;NumberOfMethods_Checkstyle_25%;NestedIfElseDepth_75%;ClassDataAbstractionCoupling_std;NumberOfPublicMethods_Checkstyle_min;CyclomaticComplexity_max;NestedForDepth_count;ThrowsCount_max;ThrowsCount_min;NCSSForThisMethod_25%;ClassFanOutComplexity_count;NCSSForThisMethod_min;ExecutableStatementCount_mean;AnonymousInnerClassLength_std;NestedTryDepth_75%;NCSSForThisClass_mean;NCSSForThisMethod_count;NumberOfPrivateMethod_max;NCSSForThisMethod_75%;ExecutableStatementCount_25%;CyclomaticComplexity_Designite_count;CyclomaticComplexity_Designite_std;NumberOfMethods_Checkstyle_mean;FileLength_std;ThrowsCount_std;NCSSForThisFile_mean;NumberOfPublicMethods_Checkstyle_25%;NestedForDepth_50%;NumberOfPackageMethod_25%;CyclomaticComplexity_Designite_max;NCSSForThisFile_25%;NestedIfElseDepth_50%;NestedIfElseDepth_count;Bugged;ClassFanOutComplexity_min;NumberOfProtectedMethod_max;FileLength_25%;BooleanExpressionComplexity_50%;NestedForDepth_25%;AnonymousInnerClassLength_50%;NumberOfPrivateMethod_std;NumberOfProtectedMethod_min;ThrowsCount_mean;CyclomaticComplexity_std;BooleanExpressionComplexity_min;CyclomaticComplexity_Designite_min;MethodLength_min;NumberOfPackageMethod_min;NCSSForThisFile_min;ClassFanOutComplexity_std;NestedForDepth_mean;ExecutableStatementCount_min;MethodLength_std;NumberOfPackageMethod_std;AnonymousInnerClassLength_mean;AnonymousInnerClassLength_max;FileLength_max;ThrowsCount_count;NumberOfProtectedMethod_50%;ClassFanOutComplexity_75%;AnonymousInnerClassLength_25%;BooleanExpressionComplexity_25%;CyclomaticComplexity_75%;ExecutableStatementCount_count;CyclomaticComplexity_mean;CyclomaticComplexity_Designite_mean;ExecutableStatementCount_std;NumberOfPublicMethods_Checkstyle_50%;AnonymousInnerClassLength_75%;BooleanExpressionComplexity_std;ExecutableStatementCount_50%;NCSSForThisMethod_std;NumberOfProtectedMethod_mean;NumberOfPrivateMethod_25%;NumberOfPublicMethods_Checkstyle_75%;ClassDataAbstractionCoupling_mean;BooleanExpressionComplexity_max;NumberOfProtectedMethod_25%;BooleanExpressionComplexity_75%;AnonymousInnerClassLength_min;NCSSForThisFile_50%;NumberOfPrivateMethod_50%;ExecutableStatementCount_max;ThrowsCount_50%;NumberOfMethods_Checkstyle_75%;NPathComplexity_min;FileLength_75%;NPathComplexity_50%;MethodLength_50%;NumberOfPackageMethod_50%;MethodLength_count;NumberOfMethods_Checkstyle_count;ClassFanOutComplexity_25%;NCSSForThisMethod_50%;CyclomaticComplexity_Designite_25%;NumberOfPrivateMethod_min;CyclomaticComplexity_Designite_50%;ClassDataAbstractionCoupling_min;NestedForDepth_max;FileLength_mean
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;11.965376403787522;0.15440027016779087;0.3306581059390048;0.22070626003210272;0.028089887640449437;1.3451043338683788;0.01765650080256822;1.3146067415730338;0.002669443685692511;0.0521669341894061;0.0908008878183225;0.007369480990942779;1.2054574638844302;2.036115569823435;0.09069020866773676;1.9554814555273579;0.0032102728731942215;10.062600321027288;10.062600321027288;10.062600321027288;0.1869983948635634;0.0032102728731942215;4.193017656500802;42.520953409081145;5.808587479935794;15.582664526484752;0.02247191011235955;10.062600321027288;0.0;16.464884538471583;10.062600321027288;2.3901518349974373;0.5120385232744783;7.125200642054574;20.013129913739366;1.6753611556982344;0.08267565961844728;10.062600321027288;0.11181355926826496;1.9338993212013383e-05;5.845906902086678;0.009630818619582664;94.21495812066978;0.0;0.6998394863563403;10.062600321027288;309.88121990369183;8.337078651685394;0.0;0.26324237560192615;10.062600321027288;10.062600321027288;10.062600321027288;0.07793703912928168;10.014446227929374;6.3131914683927315;7.25561797752809;0.12680577849117175;63.504012841091495;0.07263242375601926;10.062600321027288;0.0;30.773675762439808;10.58346709470305;1.5329052969502408;0.7291599602938226;1.6926163723916532;75.1621187800963;0.023274478330658106;8.773675762439808;0.01789322632058921;7.365971107544142;30.857142857142858;10.062600321027288;1.4194107576294845;13.851524879614768;1.5353130016051364;10.062600321027288;0.17375601926163725;0.08386837881219904;0.49420947445035174;0.11235955056179775;4.091492776886035;10.062600321027288;0.7913322632423756;0.17335473515248795;4.020866773675762;10.062600321027288;3.0979133226324236;4.935502231850577;0.16708158380782911;0.0008025682182985554;6.942935286327723;10.062600321027288;1.0786516853932584;7.268860353130016;2.898876404494382;9.552166934189406;0.7229158229083359;0.8897933665305415;50.398982408409296;0.2618241458629459;9.089228390950678;0.15248796147672553;0.0040128410914927765;0.0;3.176565008025682;2.5557784911717496;0.03451043338683788;10.062600321027288;;0.5008025682182986;0.5987158908507223;8.974719101123595;0.04654895666131621;0.0036115569823434992;0.03210272873194221;0.2811190302293714;0.014446227929373997;0.4096093158664893;0.9640599304179217;0.028892455858747994;1.117174959871589;5.491171749598716;0.0;2.0353130016051364;2.220261299717394;0.010886306945243313;2.0609951845906904;8.789318350484871;0.0002491654978190475;0.09009848672638557;0.5906902086677368;188.02247191011236;10.062600321027288;0.02247191011235955;1.1645264847512038;0.01725521669341894;0.03531300160513644;1.9943820224719102;10.062600321027288;1.847742161642239;1.5863181997815938;3.7782709712554814;0.1926163723916533;0.10192616372391654;0.10036371732470573;3.9502407704654896;4.272643589354492;0.06981317942518425;0.0028089887640449437;0.37479935794542535;0.2554589539154318;0.3162118780096308;0.018459069020866775;0.08868378812199038;0.0;3.076243980738363;0.0056179775280898875;13.02728731942215;0.3900481540930979;0.4570626003210273;4.417335473515249;18.207463884430176;13.329052969502408;9.467897271268058;0.0;10.062600321027288;10.062600321027288;0.6003210272873194;5.174959871589085;1.2090690208667736;0.0;1.3707865168539326;0.05457463884430177;0.056179775280898875;25.671541355321157
std;14.966930825368575;0.5518274311084564;0.6943553189581964;0.41650607906686765;0.14599931157775048;1.4339294427039335;0.1434854289249642;4.8657767195637955;0.020996453857446185;0.2007004400143063;0.19944105583705274;0.05096619595705969;1.3150754900041424;5.977911834664414;0.37426455902894845;1.9234850174761517;0.08012830802150038;17.639046070638916;17.639046070638916;17.639046070638916;0.5478908506644297;0.08012830802150038;9.006426530727127;302.9201437052867;7.744460374378921;22.61098005959591;0.14833152047126283;17.639046070638916;0.0;19.255736904219024;17.639046070638916;2.054081119051099;0.5633639646915024;8.564887036712127;21.24567901386002;5.120125207871042;0.2594237112390027;17.639046070638916;0.2455613803146408;0.00048270065073193006;11.404474079919265;0.10275321705232443;572.933308641484;0.0;1.879347044006116;17.639046070638916;1593.8853826038599;16.10941355099019;0.0;0.46080847867780933;17.639046070638916;17.639046070638916;17.639046070638916;0.21642351729354375;18.068593401211665;6.648595379925696;11.322789197203422;0.3330226557263117;115.22333786335486;0.318950960419933;17.639046070638916;0.0;45.53877342110303;24.756617865792055;2.6539648921139074;0.37312305133073453;1.8248292151569572;122.5543427334778;0.15548658229455753;128.86474042035437;0.08370830071547568;22.17246629030389;383.12350729495097;17.639046070638916;1.9067116812557177;19.13133198255236;1.6903466766918063;17.639046070638916;0.34725244696201313;0.29308860091383837;0.8721716938137828;0.3160620626217841;5.432098377617229;17.639046070638916;0.7927253594612527;0.41529768621180624;4.8862632656122535;17.639046070638916;4.184458169529153;5.906758407174637;1.3903349428105807;0.020032077005375095;7.239335509922598;17.639046070638916;3.464367554419612;8.649778902704762;4.33117191790499;16.122922836608726;1.4422800220490803;0.31527082223628544;46.99438118619588;0.3131616569923976;8.816223176383517;0.32945839716992104;0.08256311915819713;0.0;4.038913978284583;7.099360756222804;0.18810283874953032;17.639046070638916;;1.7170179032993886;3.3737398439873587;22.584667042294928;0.24765809935262506;0.08073590383758783;0.4699284091083192;0.6422552539072804;0.11941701869800499;0.4504492667628089;1.7834074144101826;0.21019029731287203;1.0257506293364886;10.019089612503757;0.0;6.8450022975393825;2.640231237043059;0.09079211844355912;3.673508661898635;15.628634654701571;0.00621916283948465;0.760129733395048;5.411168931137032;284.93760157837494;17.639046070638916;0.13706496956449296;2.265314453769763;0.31794407489324256;0.22043188375847603;2.2658357830933786;17.639046070638916;1.8499249313720798;1.4690379522845987;6.129918875679529;0.3905763638542536;1.0342041759235159;0.24664660681785197;5.729985082145925;6.875925174642144;0.19029769150664683;0.026371824023983692;0.5589944893281735;0.4811614545747817;0.6883344220500259;0.12383035217340344;0.3236714639407525;0.0;8.079949023560477;0.052743648047967384;19.800635611106276;0.5231279570179649;0.6246078185093962;81.25229151136037;31.4711594811555;216.00818559628726;14.055062706854422;0.0;17.639046070638916;17.639046070638916;1.7447578517044917;6.402550407976726;1.1290032453566679;0.0;1.3772662205009694;0.30044035815641335;0.23732738816305354;23.512311426450008
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;2.0;1.4142135623730951;0.0;2.0;4.0824829046386295;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;2.0;2.0;3.0;0.0;3.0;0.0;2.0;0.0;3.0;0.0;0.0;0.5;1.0;12.0;0.0;0.0;0.0;0.0;0.0;2.0;0.2060185185185185;3.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;2.566964285714286;2.0;0.0;2.0;1.0;2.0;0.0;1.0;13.227286004955975;0.0;3.3603896103896105;0.0;0.0;0.0;1.0;0.0;0.0;2.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;10.975609756097562
50%;8.25;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.6329931618554518;0.0;5.0;5.0;5.0;0.0;0.0;0.0;1.0;3.0;9.0;0.0;5.0;0.0;10.666666666666668;5.0;2.23606797749979;0.25;4.0;14.142135623730953;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.5773502691896258;0.0;0.0;5.0;2.0;3.0;0.0;0.0;5.0;5.0;5.0;0.0;5.0;4.5;3.0;0.0;26.0;0.0;5.0;0.0;17.0;0.0;0.0;1.0;1.0;36.0;0.0;0.0;0.0;0.0;1.0;5.0;0.6666666666666666;7.25;1.0;5.0;0.0;0.0;0.0;0.0;2.0;5.0;1.0;0.0;2.0;5.0;2.0;3.0;0.0;0.0;5.142857142857143;5.0;0.0;4.0;1.0;5.0;0.0;1.0;43.0;0.0;6.6923076923076925;0.0;0.0;0.0;1.0;0.0;0.0;5.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;1.0;3.0;0.0;0.0;1.224744871391589;0.0;1.0;3.1167579202366698;0.0;0.0;0.0;103.0;5.0;0.0;0.0;0.0;0.0;1.0;5.0;1.1428571428571428;1.0;1.4142135623730951;0.0;0.0;0.0;1.0;1.6329931618554518;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;5.0;5.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;19.916666666666668
75%;16.106060606060606;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.039230769230769236;0.0;1.0;0.0;0.0;2.832629848907046;0.0;11.0;11.0;11.0;0.0;0.0;4.875;3.0;9.0;22.0;0.0;11.0;0.0;24.942569616812925;11.0;3.3166247903554;1.0;10.0;30.642644225728198;0.0;0.0;11.0;0.0;0.0;7.0;0.0;2.8284271247461903;0.0;0.0;11.0;10.0;9.0;0.0;0.5;11.0;11.0;11.0;0.0;11.0;9.0;9.0;0.0;77.0;0.0;11.0;0.0;43.0;0.0;2.0;1.0;2.0;90.5;0.0;1.0;0.0;0.0;2.5;11.0;2.0;20.0;1.25;11.0;0.0;0.0;0.7071067811865476;0.0;6.0;11.0;1.0;0.0;5.0;11.0;3.0;7.636243386243386;0.0;0.0;10.144318181818182;11.0;1.0;11.0;4.0;11.0;1.0690449676496976;1.0;73.34416295149445;0.5052021950650933;12.554006968641117;0.0;0.0;0.0;4.0;0.0;0.0;11.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.20465842574689724;0.0;0.75;1.3615283500625972;0.0;1.0;4.0;0.0;0.0;3.4641016151377544;0.0;2.0;13.367842045057689;0.0;0.0;0.0;215.0;11.0;0.0;1.5;0.0;0.0;2.0;11.0;2.1558704453441297;1.8819444444444444;5.884008212240154;0.0;0.0;0.0;6.0;6.556123098983324;0.0;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;18.0;1.0;1.0;0.0;31.5;1.25;13.0;0.0;11.0;11.0;0.0;7.0;1.0;0.0;1.0;0.0;0.0;33.35185185185185
