;MCLC;Fout;NCOMP;NVAR;BuggedMethods;Di;NBD;Ci;Fin;IOVars;NOP;VG;Si
count;1572.0;1572.0;1572.0;1572.0;1572;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0;1572.0
unique;;;;;2;;;;;;;;
top;;;;;False;;;;;;;;
freq;;;;;1570;;;;;;;;
mean;0.39185750636132316;0.04389312977099236;0.2729007633587786;0.11895674300254452;;0.27259574606997455;0.27099236641221375;0.4589825145178117;0.04071246819338423;0.2970737913486005;0.1361323155216285;0.40076335877862596;0.18638676844783714
std;2.9145059376591043;0.429624926381639;2.2574476177729124;0.7763020474728777;;0.664089395385839;0.7638211970577456;4.234269779491137;0.3837852960030515;0.7029385168870483;0.39801199525022196;2.6477377158764748;4.1813130916607015
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
max;72.0;12.0;61.0;17.0;;6.0;15.0;144.153846154;10.0;6.0;5.0;91.0;144.0
