NumberOfComparisons;Maximum Depth;RFC;NumberOfInnerClasses;Di;NumberOfAssignments;NumberOfParameters_CK;NumberOfLoops;NumberOfLambdas;NumberOfUniqueWords;NOP;Fin;LOCMethod_CK;NumberOfModifiers;Fout;MaxNumberOfNestedBlocks;NCOMP;FileLength;MCLC;Ci;Returns;BuggedMethods;NumberOfMathOperations;VG;NumberOfNumbers;NumberOfAnonymousClasses;NumberOfLogStatements;NumberOfTryCatch;CBO;MethodLength;NumberOfVariables;NumberOfParenthesizedExps;NVAR;AnonymousInnerClassLength;NBD;WMC_CK;IOVars;NumberOfStringLiterals;Si;IsConstructor
2.0;2.0;3.0;0.0;0.2;2.0;0.0;0.0;0.0;7.0;0.0;0.0;5.0;1.0;4.0;0.0;4.0;0.0;4.0;16.2;1.0;False;2.0;3.0;3.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;16.0;False
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
11.0;0.0;7.0;0.0;0.117647059;1.0;1.0;0.0;0.0;15.0;1.0;0.0;9.0;1.0;16.0;1.0;12.0;0.0;14.0;256.11764705900003;6.0;False;0.0;11.0;0.0;0.0;0.0;0.0;2.0;12.0;1.0;0.0;2.0;0.0;1.0;8.0;2.0;0.0;256.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;90.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;7.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
4.0;2.0;6.0;0.0;0.111111111;4.0;0.0;0.0;0.0;10.0;0.0;0.0;7.0;1.0;8.0;0.0;10.0;0.0;10.0;64.111111111;1.0;False;6.0;5.0;7.0;0.0;0.0;0.0;2.0;7.0;1.0;3.0;0.0;0.0;1.0;5.0;1.0;0.0;64.0;False
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
