;LOCMethod_CK_25%;NumberOfStringLiterals_count;NumberOfMathOperations_std;Returns_min;NumberOfVariables_std;NumberOfLambdas_count;NumberOfMathOperations_count;NumberOfParameters_CK_75%;CBO_max;CBO_min;Returns_mean;NumberOfNumbers_25%;NumberOfMathOperations_50%;MaxNumberOfNestedBlocks_min;NumberOfAnonymousClasses_75%;NumberOfInnerClasses_50%;Returns_50%;NumberOfTryCatch_min;NumberOfModifiers_50%;WMC_CK_max;NumberOfLoops_max;NumberOfLambdas_mean;LOCMethod_CK_75%;NumberOfStringLiterals_max;NumberOfVariables_25%;NumberOfAssignments_count;IsConstructor_count;NumberOfLogStatements_75%;NumberOfVariables_max;NumberOfModifiers_75%;WMC_CK_count;NumberOfInnerClasses_75%;NumberOfTryCatch_75%;NumberOfModifiers_mean;NumberOfAssignments_50%;NumberOfModifiers_max;NumberOfParenthesizedExps_mean;MaxNumberOfNestedBlocks_mean;NumberOfNumbers_max;CBO_std;NumberOfLogStatements_max;NumberOfParenthesizedExps_max;NumberOfParameters_CK_count;RFC_25%;NumberOfMathOperations_min;NumberOfLambdas_25%;WMC_CK_75%;NumberOfLambdas_75%;NumberOfMathOperations_max;NumberOfVariables_min;NumberOfAssignments_75%;Returns_75%;WMC_CK_mean;NumberOfParenthesizedExps_min;LOCMethod_CK_max;NumberOfNumbers_count;Returns_std;MaxNumberOfNestedBlocks_std;CBO_count;NumberOfAnonymousClasses_count;LOCMethod_CK_min;NumberOfVariables_75%;MaxNumberOfNestedBlocks_max;NumberOfNumbers_std;NumberOfUniqueWords_max;NumberOfTryCatch_std;NumberOfNumbers_min;NumberOfUniqueWords_50%;NumberOfComparisons_min;RFC_min;NumberOfAssignments_mean;CBO_mean;NumberOfVariables_50%;NumberOfInnerClasses_max;NumberOfStringLiterals_50%;NumberOfComparisons_25%;NumberOfTryCatch_50%;CBO_25%;RFC_50%;NumberOfLoops_count;NumberOfComparisons_max;NumberOfParameters_CK_max;NumberOfModifiers_min;NumberOfAnonymousClasses_25%;NumberOfNumbers_75%;NumberOfTryCatch_25%;CBO_75%;RFC_count;NumberOfStringLiterals_25%;NumberOfTryCatch_mean;NumberOfUniqueWords_mean;NumberOfAnonymousClasses_max;RFC_std;NumberOfStringLiterals_std;WMC_CK_std;NumberOfParameters_CK_25%;CBO_50%;NumberOfLogStatements_mean;WMC_CK_min;MaxNumberOfNestedBlocks_25%;RFC_75%;NumberOfUniqueWords_25%;LOCMethod_CK_std;LOCMethod_CK_50%;WMC_CK_25%;NumberOfUniqueWords_75%;NumberOfLambdas_max;IsConstructor_freq;NumberOfParameters_CK_50%;NumberOfLogStatements_count;NumberOfAnonymousClasses_min;LOCMethod_CK_count;NumberOfLogStatements_min;NumberOfAnonymousClasses_50%;MaxNumberOfNestedBlocks_50%;NumberOfVariables_mean;NumberOfAssignments_25%;MaxNumberOfNestedBlocks_count;NumberOfInnerClasses_25%;NumberOfStringLiterals_min;NumberOfModifiers_count;IsConstructor_unique;NumberOfInnerClasses_std;NumberOfAssignments_max;NumberOfInnerClasses_count;NumberOfLoops_25%;NumberOfAssignments_std;NumberOfInnerClasses_min;NumberOfLoops_50%;NumberOfParenthesizedExps_std;NumberOfMathOperations_25%;MaxNumberOfNestedBlocks_75%;Returns_25%;NumberOfLogStatements_25%;NumberOfParenthesizedExps_25%;WMC_CK_50%;NumberOfUniqueWords_std;NumberOfLambdas_min;Bugged;NumberOfLoops_std;NumberOfParenthesizedExps_50%;NumberOfStringLiterals_75%;NumberOfLambdas_50%;RFC_max;NumberOfAssignments_min;Returns_count;NumberOfLogStatements_50%;NumberOfComparisons_75%;NumberOfLogStatements_std;IsConstructor_top;NumberOfAnonymousClasses_std;NumberOfVariables_count;NumberOfComparisons_50%;NumberOfInnerClasses_mean;LOCMethod_CK_mean;NumberOfTryCatch_count;NumberOfParameters_CK_std;NumberOfComparisons_count;NumberOfModifiers_std;NumberOfParenthesizedExps_count;NumberOfNumbers_mean;NumberOfUniqueWords_count;NumberOfTryCatch_max;NumberOfAnonymousClasses_mean;NumberOfLambdas_std;NumberOfModifiers_25%;NumberOfNumbers_50%;NumberOfLoops_75%;NumberOfComparisons_mean;NumberOfMathOperations_mean;NumberOfUniqueWords_min;NumberOfParameters_CK_min;Returns_max;NumberOfMathOperations_75%;NumberOfStringLiterals_mean;NumberOfParenthesizedExps_75%;RFC_mean;NumberOfComparisons_std;NumberOfLoops_mean;NumberOfLoops_min;NumberOfParameters_CK_mean
count;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0;1877.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1842;;;;;;;;;;;1695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;3.118939797549281;2.45924347362813;0.16868147532412775;0.10122535961640916;0.35333009048744196;2.45924347362813;2.45924347362813;0.6074853489611082;2.4848161960575386;0.9504528502930207;0.24263555758024744;0.10388918486947256;0.1228023441662227;0.1241342567927544;0.013319126265316995;0.0;0.22056473095364945;0.022376132125732553;4.35588705380927;1.509323388385722;0.18433670751198722;0.0;4.533164624400639;1.1688865210442194;0.2733084709643047;2.45924347362813;2.45924347362813;0.24960042621204048;0.996803409696324;5.678476291955247;2.45924347362813;0.0;0.07738412360149174;4.531211233390454;0.5756526371870005;8.090570058604156;0.04465551725692996;0.25737561289072847;0.5082578582844965;0.665356571591335;0.4064997336174747;0.11933937133724028;2.45924347362813;1.2164358018114012;0.0633990410229089;0.0;1.0978955780500799;0.0;0.44539158231220033;0.19605753862546618;0.8604155567394779;0.29714970697922216;1.0188512029863745;0.018646776771443795;6.541822056473095;2.45924347362813;0.1639843766919208;0.1716371130117874;2.45924347362813;2.45924347362813;2.759190197123069;0.590170484816196;0.49973361747469364;0.1901062484245266;10.654235482152371;0.06336494696157893;0.07565263718700053;6.865743207245605;0.04421949920085243;0.9323388385721897;0.7047143058558661;1.5451166679604942;0.38225892381459775;0.0005327650506126798;0.4291422482685136;0.05500799147575919;0.04288758657432072;1.1824720298348428;1.5316995205114545;2.45924347362813;0.3036760788492275;0.9286094832179009;1.9648375066595631;0.001997868939797549;0.25106553010122534;0.03050079914757592;1.7872935535428875;2.45924347362813;0.33271177410761854;0.06261491717139292;7.222957423965872;0.03516249334043687;0.8767458349982926;0.3852618651809847;0.29467819676286044;0.4041022908897176;1.4339371337240276;0.21603507289559812;0.8098028769312733;0.15876398508257858;2.020511454448588;5.872802344166223;1.5512291092186357;3.6212040490143846;0.8546883324453916;8.220031965903036;0.0;2.3090037293553545;0.4792221630261055;2.45924347362813;0.0005327650506126798;2.45924347362813;0.12306872669152903;0.005860415556739478;0.21976558337773042;0.4714832963137197;0.432605221097496;2.45924347362813;0.0;0.2509323388385722;2.45924347362813;0.7762386787426745;0.00013319126265316994;1.4661694192860948;2.45924347362813;0.03569525839104955;0.4932441710647977;0.0;0.051678209909429944;0.042540750493039854;0.08790623335109217;0.32205647309536495;0.16462440063931805;0.15197123068726692;0.02424080980287693;0.9342035162493341;2.419350338423376;0.0;;0.06392529445166462;0.03116675546084177;0.6250665956313266;0.0;2.9728289824187533;0.32498668087373467;2.45924347362813;0.18353755993606818;0.12293553542887586;0.12382605350976797;;0.015369381192846048;2.45924347362813;0.07298881193393714;3.3297815663292486e-05;4.013373065817003;2.45924347362813;0.2683463237670027;2.45924347362813;2.9626697338432475;2.45924347362813;0.20719674744923106;2.45924347362813;0.1582312200319659;0.010366120284366056;0.0;3.0121204049014385;0.1529035695258391;0.08164624400639318;0.109777236502376;0.17670435584093241;4.916888652104422;0.32551944592434734;0.4619072988811934;0.21510388918486947;0.5341459792159136;0.047416089504528504;1.7006885383703227;0.11057206724756805;0.06990743885965965;0.02930207778369739;0.5346001031556483
std;4.927046899123298;4.318116008932041;0.5711603689148189;0.3222118236717938;0.92164563168777;4.318116008932041;4.318116008932041;0.881922005447467;3.9668682000302606;1.8191694423726725;0.4979801890713679;0.6024964097383287;0.5327464642145404;0.4810240930842782;0.11466792195679065;0.0;0.4802530213242172;0.17440150850196448;44.971981134099806;2.3919158936229157;0.6357422249200508;0.0;6.726381049771289;3.038967162390529;1.1322274954663651;4.318116008932041;4.318116008932041;0.7331301732411937;2.3877776935211257;55.05012476742887;4.318116008932041;0.0;0.27844322022750484;38.754615827452014;1.5227936476579;71.30635504850783;0.2609420706185518;0.5594885843993557;1.7392867327128476;1.4173945456365862;1.2814988025108787;0.6096540233246186;4.318116008932041;2.7510547943683954;0.363188552091172;0.0;1.412506804620343;0.0;1.378260359645309;1.0564682549228932;1.8998167732135236;0.6243663102775183;1.2395274642273524;0.16382189548337295;10.998884586027925;4.318116008932041;0.4619752655116387;0.3846426272907958;4.318116008932041;4.318116008932041;4.6863883312423535;1.6382091712039286;0.9738723911955897;0.7279239798044354;13.93230279634027;0.1968128361380829;0.5547129559479446;8.315896845532428;0.2802391812411928;2.641558045658164;1.5607762792469597;2.21117349065313;1.3102188211752854;0.02308170380653646;1.1325000927292808;0.3054305263710564;0.21134853498746356;1.9247404955898102;3.018145538884051;4.318116008932041;1.2681317443514895;1.6404458919089722;24.07202765878365;0.03309713036050233;1.0256889278043129;0.18515873621114898;2.579430013736237;4.318116008932041;0.9682723984863272;0.22019332886866655;8.422161926750917;0.21618823660367253;1.9127412444011447;1.1153105306607316;0.7688159012609872;0.741193288283896;2.1566834935014625;0.6248240994311706;1.0265919633441547;0.5014309653687061;3.5862031514094346;7.383063841991336;3.5629713740969824;5.4809554012289485;1.0834524751081394;9.76048454369773;0.0;4.198231544440153;0.7852211890645038;4.318116008932041;0.023081703806536465;4.318116008932041;0.5175857953119131;0.06705634993470015;0.560610340208188;1.3288868551976525;1.3380949766594343;4.318116008932041;0.0;0.8708776999292299;4.318116008932041;0.6810018038605818;0.005770425951634115;2.9711747511692117;4.318116008932041;0.22883013141776004;1.096778959386629;0.0;0.2637348745031708;0.2553050936276593;0.43630576970584367;0.6784714343391376;0.39096680517895566;0.5466449844679394;0.22177809645968166;1.167963468742061;4.534269285849376;0.0;;0.2216172235358401;0.26668895420919964;1.4668881086076735;0.0;5.252454714896459;1.2432671820931498;4.318116008932041;0.5947179146246502;0.6628748387231583;0.4626812438882856;;0.09541596455271603;4.318116008932041;0.36832222957640454;0.0014426064879085288;5.748248880405787;4.318116008932041;0.6050127283512235;4.318116008932041;33.84509200188111;4.318116008932041;0.7882224058382041;4.318116008932041;0.4663548524758535;0.07549624476850872;0.0;30.013974062064626;0.7404749367495179;0.32172179136223306;0.5044986381277983;0.5662978955096204;6.9137634519233835;0.7205880455697484;1.116967025841721;0.7690246310259022;1.1987978107865855;0.3192099188615937;3.1021200667438196;0.559623722499509;0.2684602212692499;0.22071359569127735;0.7924647476858004
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;5.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;3.0;1.0;5.5;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;4.0;3.0;0.0;0.0;0.0;3.0;3.0;1.0;3.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;6.0;1.0;0.0;3.0;3.0;0.0;1.0;1.0;3.0;0.0;0.0;1.0;0.5;1.0;0.0;0.25;0.0;0.7071067811865476;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.75;1.3333333333333333;0.0;8.0;3.0;0.0;0.0;3.0;3.0;3.0;0.0;1.0;0.0;16.0;0.0;0.0;11.0;0.0;1.0;1.0;2.333333333333333;0.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;11.5;0.0;0.7071067811865476;0.0;0.0;1.0;2.0;0.0;1.0;0.0;3.0;9.0;1.1547005383792517;5.0;1.0;13.0;0.0;3.0;1.0;3.0;0.0;3.0;0.0;0.0;0.0;0.2857142857142857;0.0;3.0;0.0;0.0;3.0;1.0;0.0;2.0;3.0;0.0;0.5773502691896257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.304037933599835;0.0;;0.0;0.0;1.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;;0.0;3.0;0.0;0.0;5.8;3.0;0.4629100498862757;3.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;7.0;1.0;1.0;0.0;0.6363636363636364;0.0;2.5;0.0;0.0;0.0;1.0
