;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;2193;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;2150;;;;;;;;;;;;;;;;;;;;;;2134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;4.92704058367533;0.047879616963064295;0.07432740538075695;1.046967624259006;3.253077975376197;7.875512995896033;0.2188782489740082;4.127222982216142;0.047879616963064295;0.03739170086639307;0.052895576835385316;2.3638850889192886;5.14546283629731;16.122207022343822;0.009575923392612859;0.6073871409028728;0.47697218422252624;0.29913360693114455;0.0013679890560875513;0.11171910624715002;0.002279981760145919;;0.7150022799817601;1.039671682626539;1.3711810305517556;4.154582763337893;0.43365253077975374;0.41997264021887826;0.253077975376197;0.05107159142726858;0.19015047879616964;0.0031919744642042863;0.10989512083903329;0.4354765161878705;0.5467396260829913;0.7624259005927952;0.1326949384404925;0.20109439124487005;0.0;0.0;0.0;17.251709986320108;1.68718650250798;0.00045599635202918376;0.8969741384911081;0.5321770568677611;0.12448700410396717;0.10852713178294573;0.5699954400364797;0.6662106703146374;0.6315549475604195;0.4240766073871409;0.22891016871865025;0.2421340629274966;0.364797081623347;0.7861377108983129;0.5563155494756042;1.6019151846785227;0.8394892840857273;1.1226630186958504
std;;30.661460319882245;0.30504624531156804;0.35153770195457024;1.8159072975447152;6.650165388278216;218.51441121428303;0.444419185717076;22.500785720141092;0.4870459893277956;0.9385629935928872;0.5274681784980535;5.679776668266805;11.123653805109276;113.537774769045;0.2605431104687922;4.283570736193067;3.3529515741815037;1.4966154568435215;0.03696945889366507;0.703104695641771;0.05646441329379777;;1.1169881837516387;1.7968886029141078;2.8523471767255653;7.773439842857469;0.722613250800149;1.4264519428415745;0.4749864210824214;0.28518784768502997;0.9517816683116579;0.056420185287042124;0.5199115923047511;2.3433708259747243;2.098559115116369;2.5112178878394373;0.7848897398371052;0.596644117729543;0.0;0.0;0.0;23.1276315930887;4.962055379184628;0.021354071087949105;4.024490224816357;0.7038630584455827;0.6245491249166328;0.5942894850813966;0.7279313066529524;2.66736034826485;0.8812463173885934;2.037245433822906;0.4277589151182659;0.8956573078141159;3.9901888306842106;1.6889370856258203;1.260230946719384;5.16998778554235;1.2036100329064379;4.2514490685492685
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;25.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0
max;;814.0;4.0;7.0;32.0;127.0;10000.0;4.0;372.0;13.0;42.0;13.0;126.0;178.0;3919.0;8.0;136.0;107.0;18.0;1.0;11.0;2.0;;9.0;32.0;32.0;133.0;9.0;24.0;6.0;6.0;27.0;1.0;9.0;51.0;27.0;50.0;14.0;6.0;0.0;0.0;0.0;169.0;48.0;1.0;121.166666667;4.0;12.0;11.0;4.0;55.0;7.0;48.0;3.0;11.0;121.0;32.0;26.0;126.0;7.0;100.0
