;BuggedMethods;Fout;Si;VG;NCOMP;NVAR;NOP;MCLC;Fin;Ci;IOVars;NBD;Di
count;19313;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0
unique;2;;;;;;;;;;;;
top;False;;;;;;;;;;;;
freq;19254;;;;;;;;;;;;
mean;;0.0536944027339098;0.17692745818878475;0.7203438098690002;0.39885051519701753;0.20260964117433852;0.2032309843110858;0.6014601563713561;0.07311137575726195;0.6922943670233521;0.5387562781546109;0.5614353026458861;0.5153669088345675
std;;0.4171970536129631;9.427316574066243;1.4266187791800873;1.7323894129073487;0.8334910658053767;0.46139929740919533;2.3509133634570327;0.4921066436323129;9.449292569265381;0.7348737318130565;0.7729288884238988;0.7181765460089413
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
max;;36.0;1296.0;27.0;53.0;15.0;11.0;61.0;22.0;1296.0540540539998;12.0;9.0;12.0
