;all_process_insertions_max;Bugged;all_process_deletions_count;all_process_deletions_std;all_process_deletions_max;all_process_deletions_mean;all_process_deletions_min;all_process_changes_count;all_process_changes_max;all_process_insertions_count;all_process_count;all_process_changes_mean;all_process_insertions_min;all_process_changes_min;all_process_insertions_std;all_process_insertions_mean;all_process_changes_std
count;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;2;;;;;;;;;;;;;;;
top;;False;;;;;;;;;;;;;;;
freq;;825;;;;;;;;;;;;;;;
mean;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.09823399558499;0.0;0.0;0.0;0.0;0.0;0.0
std;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.252833865995208;0.0;0.0;0.0;0.0;0.0;0.0
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0
max;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0
