;NumberOfModifiers;ThrowsCount;NBD;Si;WMC_CK;Maximum Depth;NumberOfPackageMethod;NestedForDepth;VG;MethodLength;NVAR;BooleanExpressionComplexity;NPathComplexity;NumberOfMathOperations;MaxNumberOfNestedBlocks;NCSSForThisFile;ExecutableStatementCount;MCLC;Di;NCOMP;IOVars;Ci;FileLength;NumberOfPrivateMethod;ClassDataAbstractionCoupling;Fout;NestedIfElseDepth;NCSSForThisMethod;CyclomaticComplexity;NumberOfProtectedMethod;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;BuggedMethods;AnonymousInnerClassLength;Fin;NestedTryDepth;ClassFanOutComplexity;NCSSForThisClass;NOP
count;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4752;;;;;;
mean;1.5040197897340755;0.0292723149866007;0.3745619459905174;0.08761080189651618;0.8612657184085756;0.9882498453927026;0.013605442176870748;0.0024737167594310453;0.4475365903937332;4.865388579674294;0.11626468769325912;0.03360131931560503;3.2104720676149245;0.07421150278293136;0.1401772830344259;5.229231086373944;2.0822510822510822;0.2987012987012987;0.30142925857225317;0.18243661100803957;0.31931560502989076;0.3890400604687693;14.436611008039579;0.05029890744176459;0.11626468769325912;0.04885590599876314;0.02391259534116677;2.836322407750979;0.8631210059781488;0.04596990311276026;0.6456400742115028;0.5357658214801072;;0.0707070707070707;0.0676149247577819;0.001443001443001443;0.935271078128221;3.8573490002061432;0.11688311688311688
std;3.402142187919955;0.1734093133397674;0.7389629043791717;0.8971622397146978;1.1360659038245877;1.1308540920757235;0.2346754902739633;0.053670079204640044;1.063295602647411;9.782090712613508;0.5829938225594459;0.23042899702603403;144.0586379093339;0.48168173155630617;0.48240793097047496;18.59761150295477;5.962428444199766;1.3675308336810603;0.6191410525388471;0.911500812838776;0.6402931235647217;1.0891399306435914;45.06009562928837;0.48899793741985037;0.6489367538863371;0.2919614260209457;0.18119087101808895;6.277993638258261;1.1188278428111178;0.40632847197215666;2.330871050295818;2.0065123165042205;;1.1550648194198172;0.6125529313849863;0.04305330905514383;2.7198269774612944;15.52467464345659;0.3623313038618117
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
max;42.0;3.0;11.0;36.0;19.0;7.0;9.0;2.0;17.0;186.0;11.0;5.0;10000.0;14.0;6.0;325.0;130.0;23.0;7.0;19.0;7.0;36.0;977.0;11.0;21.0;6.0;3.0;131.0;18.0;16.0;43.0;42.0;;44.0;28.0;2.0;42.0;308.0;6.0
